section	method	samples	F1	L1	Pearson	FP_plus_FN_or_pooled	decision	source
hmp_airskin_gtdb_source_abundance_17sample	MinCO current-code GTDB source-abundance samples0,1,3,4,5,6,11,13,15,16,17,18,21,22,24,25,28	0,1,3,4,5,6,11,13,15,16,17,18,21,22,24,25,28	0.8704578282713136	20.864057095713633	0.9789426527326458	TP/FP/FN=572/188/32	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample4_0_1_3_5_6_11_13_15_16_17_18_21_22_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_17sample	Sylph r232 GTDB source-abundance samples0,1,3,4,5,6,11,13,15,16,17,18,21,22,24,25,28	0,1,3,4,5,6,11,13,15,16,17,18,21,22,24,25,28	0.9606785529051085	3.6701948160496993	0.9990100087523598	TP/FP/FN=588/25/16	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample4_0_1_3_5_6_11_13_15_16_17_18_21_22_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_18sample	MinCO current-code GTDB source-abundance samples0,1,3,4,5,6,11,13,15,16,17,18,21,22,23,24,25,28	0,1,3,4,5,6,11,13,15,16,17,18,21,22,23,24,25,28	0.8720185447361117	21.28378903034706	0.9792484511811946	TP/FP/FN=603/193/34	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample23_0_1_3_4_5_6_11_13_15_16_17_18_21_22_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_18sample	Sylph r232 GTDB source-abundance samples0,1,3,4,5,6,11,13,15,16,17,18,21,22,23,24,25,28	0,1,3,4,5,6,11,13,15,16,17,18,21,22,23,24,25,28	0.961179576060212	4.62716238549389	0.9981279350343137	TP/FP/FN=620/26/17	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample23_0_1_3_4_5_6_11_13_15_16_17_18_21_22_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_19sample	MinCO current-code GTDB source-abundance samples0,1,3,4,5,6,11,13,15,16,17,18,20,21,22,23,24,25,28	0,1,3,4,5,6,11,13,15,16,17,18,20,21,22,23,24,25,28	0.8693660750985068	21.52953625817373	0.9798397064046325	TP/FP/FN=679/223/37	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample20_0_1_3_4_5_6_11_13_15_16_17_18_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_19sample	Sylph r232 GTDB source-abundance samples0,1,3,4,5,6,11,13,15,16,17,18,20,21,22,23,24,25,28	0,1,3,4,5,6,11,13,15,16,17,18,20,21,22,23,24,25,28	0.9615465913329396	4.59863275454686	0.9982167944154489	TP/FP/FN=696/28/20	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample20_0_1_3_4_5_6_11_13_15_16_17_18_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_20sample	MinCO current-code GTDB source-abundance samples0,1,3,4,5,6,7,11,13,15,16,17,18,20,21,22,23,24,25,28	0,1,3,4,5,6,7,11,13,15,16,17,18,20,21,22,23,24,25,28	0.8679709420752889	21.83352942962744	0.9802254349977909	TP/FP/FN=748/243/43	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample7_0_1_3_4_5_6_11_13_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_20sample	Sylph r232 GTDB source-abundance samples0,1,3,4,5,6,7,11,13,15,16,17,18,20,21,22,23,24,25,28	0,1,3,4,5,6,7,11,13,15,16,17,18,20,21,22,23,24,25,28	0.9614955775557663	4.628987034775629	0.998278175368114	TP/FP/FN=769/32/22	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample7_0_1_3_4_5_6_11_13_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_21sample	MinCO current-code GTDB source-abundance samples0,1,3,4,5,6,7,11,13,14,15,16,17,18,20,21,22,23,24,25,28	0,1,3,4,5,6,7,11,13,14,15,16,17,18,20,21,22,23,24,25,28	0.8676898955725246	21.499750312609976	0.9811021490626638	TP/FP/FN=773/248/46	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample14_0_1_3_4_5_6_7_11_13_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_21sample	Sylph r232 GTDB source-abundance samples0,1,3,4,5,6,7,11,13,14,15,16,17,18,20,21,22,23,24,25,28	0,1,3,4,5,6,7,11,13,14,15,16,17,18,20,21,22,23,24,25,28	0.960907813975629	4.602505000064701	0.9983526467192695	TP/FP/FN=797/35/22	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample14_0_1_3_4_5_6_7_11_13_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_22sample	MinCO current-code GTDB source-abundance expanded 22sample	0,1,3,4,5,6,7,9,11,13,14,15,16,17,18,20,21,22,23,24,25,28	0.8704900334689067	21.955531218866085	0.9813550811791013	TP/FP/FN=865/258/50	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample9_0_1_3_4_5_6_7_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_22sample	Sylph r232 GTDB source-abundance expanded 22sample	0,1,3,4,5,6,7,9,11,13,14,15,16,17,18,20,21,22,23,24,25,28	0.9614948219553184	4.742717683494834	0.9983410899863099	TP/FP/FN=890/37/25	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample9_0_1_3_4_5_6_7_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_23sample	MinCO current-code GTDB source-abundance expanded 23sample	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,20,21,22,23,24,25,28	0.8723401832424702	21.90221283366134	0.9816852814128323	TP/FP/FN=928/264/56	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample10_0_1_3_4_5_6_7_9_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_23sample	Sylph r232 GTDB source-abundance expanded 23sample	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,20,21,22,23,24,25,28	0.9606114153741409	5.022283783087933	0.9981147391630323	TP/FP/FN=954/40/30	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample10_0_1_3_4_5_6_7_9_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_24sample	MinCO current-code GTDB source-abundance expanded 24sample	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8695844068735173	22.538526482578405	0.9809237855745333	TP/FP/FN=1032/307/63	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_24sample	Sylph r232 GTDB source-abundance expanded 24sample	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.9609328477275184	5.356745059601248	0.9979498059022434	TP/FP/FN=1061/43/34	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_7sample	MinCO current-code GTDB source-abundance samples0,5,6,11,21,22,28	0,5,6,11,21,22,28	0.8767414631139762	21.203633268509538	0.9684898984579302	TP/FP/FN=165/39/10	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample21_0_5_6_11_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_7sample	Sylph r232 GTDB source-abundance samples0,5,6,11,21,22,28	0,5,6,11,21,22,28	0.9415077958452703	4.112546835771246	0.9983003155716849	TP/FP/FN=167/11/8	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample21_0_5_6_11_22_28_summary.tsv
hmp_gastrooral_gtdb_source_abundance	MinCO current raw default GTDB source-abundance	0,6	0.9195678271308523	48.98699110632436	0.8822766995655476	TP/FP/FN=76/9/5	release_grade_counterexample_abundance	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_raw_default_r232_source_abundance_summary.tsv
hmp_gastrooral_gtdb_source_abundance	Sylph r232 GTDB source-abundance	0,6	0.9552995391705069	5.063129406373072	0.9991248095933805	TP/FP/FN=78/4/3	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_raw_default_r232_source_abundance_summary.tsv
hmp_gastrooral_exact_sidecar_speed	MinCO sample0 same-stream exact sidecar	0	0.9195678271308523	48.98699110632436	0.8822766995655476	seconds=145.93;RSS_GiB=4.6302;source=sidecar	exact_needed_speed_substrate_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_exact_sidecar_speed.tsv
hmp_gastrooral_exact_sidecar_speed	MinCO sample0 legacy exact rerun	0	0.9195678271308523	48.98699110632436	0.8822766995655476	seconds=240.22;RSS_GiB=3.7958;source=rerun	current_default_exact_needed_but_slower	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_exact_sidecar_speed.tsv
hmp_gastrooral_exact_sidecar_speed	Sylph r232 sample0 chunked profile	0	0.9552995391705069	5.063129406373072	0.9991248095933805	seconds=207.18;RSS_GiB=25.9178	accuracy_baseline_better_but_slower_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_exact_sidecar_speed.tsv
hmp_gastrooral_exact_sidecar_speed	MinCO sample6 current default	6	0.9195678271308523	48.98699110632436	0.8822766995655476	seconds=123.11;RSS_GiB=3.3268;exact=False	current_no_exact_path_close_to_sylph_time	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_exact_sidecar_speed.tsv
hmp_gastrooral_exact_sidecar_speed	Sylph r232 sample6 chunked profile	6	0.9552995391705069	5.063129406373072	0.9991248095933805	seconds=118.40;RSS_GiB=25.9110	slightly_faster_than_current_minco_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_exact_sidecar_speed.tsv
exact_sidecar_policy_audit	evaluated_instances	6 profiled instances		6		exact_sidecar_policy_instances.tsv	diagnostic_dataset_small	research/experiments/2026-06-27_universal_strategy_decision/results/exact_sidecar_policy_audit.tsv
exact_sidecar_policy_audit	block_policy_exact_candidates	6 profiled instances		3		policy_from_block_features==exact_candidate	exact_candidates_require_sidecar_or_rerun	research/experiments/2026-06-27_universal_strategy_decision/results/exact_sidecar_policy_audit.tsv
exact_sidecar_policy_audit	timed_exact_candidates_with_sidecar_win	6 profiled instances		1		HMP gastrooral sample0 sidecar timing	sidecar_helps_when_exact_needed_in_available_timed_case	research/experiments/2026-06-27_universal_strategy_decision/results/exact_sidecar_policy_audit.tsv
exact_sidecar_policy_audit	avoid_exact_rows	6 profiled instances		3		policy_from_block_features starts avoid_exact	avoid_sidecar_when_exact_not_needed	research/experiments/2026-06-27_universal_strategy_decision/results/exact_sidecar_policy_audit.tsv
exact_sidecar_policy_audit	avoid_exact_contradictions	6 profiled instances		0		exact_sidecar_policy_instances.tsv	no_observed_contradiction_but_small_n	research/experiments/2026-06-27_universal_strategy_decision/results/exact_sidecar_policy_audit.tsv
exact_sidecar_policy_audit	toy_mouse_lowextra_eager_sidecar_penalty	6 profiled instances		seconds_delta=40.61;rss_gib_delta=1.0685;L1_delta=0.231379		exact_split_lowextra_skip_runtime.tsv;exact_split_lowextra_skip_sample6_score.tsv	unconditional_sidecar_rejected	research/experiments/2026-06-27_universal_strategy_decision/results/exact_sidecar_policy_audit.tsv
exact_sidecar_policy_audit	promotion_decision	6 profiled instances		do_not_promote_auto_sidecar_default_without_preflight		exact_sidecar_policy_instances.tsv;hmp_gastrooral_exact_sidecar_speed_audit.tsv	need validated preflight or cheaper conditional sidecar before default	research/experiments/2026-06-27_universal_strategy_decision/results/exact_sidecar_policy_audit.tsv
exact_preflight_policy_audit	evaluated_preflights	HMP gastrooral sample0/sample6 prefixes		4		exact_preflight_policy_instances.tsv	diagnostic_small_hmp_prefix_test	research/experiments/2026-06-27_universal_strategy_decision/results/exact_preflight_policy_audit.tsv
exact_preflight_policy_audit	raw_policy_mismatches	HMP gastrooral sample0/sample6 prefixes		2		raw prefix policy without support floor	raw_prefix_policy_unstable	research/experiments/2026-06-27_universal_strategy_decision/results/exact_preflight_policy_audit.tsv
exact_preflight_policy_audit	support_aware_decisive_preflights	HMP gastrooral sample0/sample6 prefixes		0		joined_base_n>=10;raw_unique95_n>=10	support_floor_removes_unstable_decisions	research/experiments/2026-06-27_universal_strategy_decision/results/exact_preflight_policy_audit.tsv
exact_preflight_policy_audit	support_aware_insufficient_preflights	HMP gastrooral sample0/sample6 prefixes		4		exact_preflight_policy_instances.tsv	first50k_and_first200k_too_sparse_here	research/experiments/2026-06-27_universal_strategy_decision/results/exact_preflight_policy_audit.tsv
exact_preflight_policy_audit	support_aware_mismatches	HMP gastrooral sample0/sample6 prefixes		0		only counts decisive support-aware rows	no_decisive_rows_to_validate	research/experiments/2026-06-27_universal_strategy_decision/results/exact_preflight_policy_audit.tsv
exact_preflight_policy_audit	promotion_decision	HMP gastrooral sample0/sample6 prefixes		reject_prefix_preflight_default		first50k/first200k HMP gastrooral sample0/sample6	cheap_prefix_preflight_not_stable_or_decisive	research/experiments/2026-06-27_universal_strategy_decision/results/exact_preflight_policy_audit.tsv
block_exact_split_semantics_audit	evaluated_pairs	HMP sample0; Toy Mouse sample6; Toy Mouse first50k		3		block_exact_split_semantics.tsv	cached_real_tables	research/experiments/2026-06-27_universal_strategy_decision/results/block_exact_split_semantics_audit.tsv
block_exact_split_semantics_audit	not_interchangeable_pairs	HMP sample0; Toy Mouse sample6; Toy Mouse first50k		3/3		block_exact_split_semantics.tsv	do_not_synthesize_block_split_from_exact_per_read	research/experiments/2026-06-27_universal_strategy_decision/results/block_exact_split_semantics_audit.tsv
block_exact_split_semantics_audit	max_shared_normalized_abundance_abs_delta	HMP sample0; Toy Mouse sample6; Toy Mouse first50k		0.871858999999		block_exact_split_semantics.tsv	grouping_changes_abundance_evidence	research/experiments/2026-06-27_universal_strategy_decision/results/block_exact_split_semantics_audit.tsv
block_exact_split_semantics_audit	speed_optimization_boundary	HMP sample0; Toy Mouse sample6; Toy Mouse first50k		exact sidecar can replace exact rerun, but exact per-read rows cannot replace block split rows		block_exact_split_semantics.tsv; command_ani.c density-unit grouping	next_speed_fix_must_preserve_both_evidence_channels_or_predict_exact_need	research/experiments/2026-06-27_universal_strategy_decision/results/block_exact_split_semantics_audit.tsv
candidate_restricted_exact_audit	evaluated_cases	HMP sample0; Toy Mouse sample6		2		candidate_restricted_exact_feasibility.tsv	cached_real_exact_tables	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_restricted_exact_feasibility_audit.tsv
candidate_restricted_exact_audit	min_exact_called_taxid_keep_fraction	HMP sample0; Toy Mouse sample6		0.00140213		candidate_restricted_exact_feasibility.tsv	posthoc_filter_can_remove_many_ref_rows	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_restricted_exact_feasibility_audit.tsv
candidate_restricted_exact_audit	max_exact_rows_eliminable_posthoc_fraction	HMP sample0; Toy Mouse sample6		0.99859787		candidate_restricted_exact_feasibility.tsv	output_size_reduction_not_scan_cost_reduction	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_restricted_exact_feasibility_audit.tsv
candidate_restricted_exact_audit	final_called_taxids_missing_in_exact_total	HMP sample0; Toy Mouse sample6		0		candidate_restricted_exact_feasibility.tsv	sanity_check_final_calls_have_exact_or_unique_support	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_restricted_exact_feasibility_audit.tsv
candidate_restricted_exact_audit	candidate_restricted_exact_decision	HMP sample0; Toy Mouse sample6		posthoc_filter_only_not_safe_as_candidate_subset_rerun		candidate_restricted_exact_feasibility.tsv; command_ani.c best-diff candidate competition	do_not_promote_candidate_only_exact_rerun	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_restricted_exact_feasibility_audit.tsv
candidate_restricted_exact_audit	required_evidence_for_safe_subset_exact	HMP sample0; Toy Mouse sample6		context_or_read_level_competitor_closure		aggregate raw MinCO tables lack per-context alternative refs	needs_C_level_ambiguity_groups_or_full_candidate_scan_sidecar	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_restricted_exact_feasibility_audit.tsv
next_release_grade_action	restore_profile_hmp_airskin_sample0	sample=NA;truth_mapped_pct=NA;positive_sources=NA;same_release_outputs=NA;tmp_free_GiB=11.738;estimated_required_GiB=6.531;headroom_pass=False;alternate_work_root=/mnt/new3T/minco_release_holdouts_20260628;alternate_free_GiB=10.217;alternate_headroom_pass=False				best available high-quality HMP airskin truth sample without local same-release outputs	needs_tmp_cleanup_before_network_run	research/experiments/2026-06-27_universal_strategy_decision/results/next_release_grade_actions.tsv
next_release_grade_action	abundance_matched_tp_allocation_model	hmp_gastrooral MinCO-Sylph L1 delta=43.92386169995139 pp; main gap=matched_abs_error				current fixed formulas, adaptive switches, supervised RF blends, and edge-EM were not stable defaults	needed_before_sylph_beating_abundance_claim	research/experiments/2026-06-27_universal_strategy_decision/results/next_release_grade_actions.tsv
next_release_grade_action	conditional_exact_sidecar	default_faster_cases=1/3; sidecar_policy=do_not_promote_auto_sidecar_default_without_preflight				current default has memory advantage but cannot be claimed generally faster than Sylph	needed_before_default_speed_claim	research/experiments/2026-06-27_universal_strategy_decision/results/next_release_grade_actions.tsv
next_release_grade_action	clean_holdout_bundle_expansion	4/8 panels audited release-grade; 0 high-quality diagnostic panel(s); HMP same-release-ready=true; GTDB r232 Sylph preflight=chunked_output_complete; chunked_output_complete=true; chunked_ready_to_build=false (20 chunks)				broad universal claim remains blocked until more panels have clean comparable GTDB species truth	fail	research/experiments/2026-06-27_universal_strategy_decision/results/next_release_grade_actions.tsv
cami2_toy_mouse_gut	MinCO current-code default refresh	5,6,7	0.8938387600398774	13.76783712292629	0.9879766077266372	TP/FP/FN=373/10/94	current_minco_default_recheck	research/experiments/2026-06-27_universal_strategy_decision/results/toymouse_current_refresh_summary.tsv
cami2_toy_mouse_gut	Sylph GTDB profile	5,6,7	0.9528057837924289	6.73152294577699	0.9940402726623159	TP/FP/FN=429/13/38	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/toymouse_current_refresh_summary.tsv
exact_lowextra_speed_sample6	MinCO universal-auto-exact low-extra skip	6	0.8547486033519553	19.831577274036665	0.9743309596769615	seconds=107.90;RSS_GiB=3.4335;TP/FP/FN=153/4/48	runtime_win_not_accuracy_win	research/experiments/2026-06-27_universal_strategy_decision/results/exact_split_lowextra_skip_sample6_score.tsv
exact_lowextra_speed_sample6	MinCO exact sidecar allow	6	0.8547486033519553	20.062955823580346	0.973754513728038	seconds=148.51;RSS_GiB=4.5020;TP/FP/FN=153/4/48	slower_same_calls_on_sample6	research/experiments/2026-06-27_universal_strategy_decision/results/exact_split_lowextra_skip_sample6_score.tsv
exact_lowextra_speed_sample6	MinCO one-stream exact sidecar	6				seconds=235.94;RSS_GiB=6.0030	rejected_slower_than_concurrent	research/experiments/2026-06-27_universal_strategy_decision/results/exact_split_lowextra_skip_runtime.tsv
exact_lowextra_speed_sample6	Sylph GTDB profile	6	0.9390862944162437	11.759074897164671	0.9848757313686317	seconds=110.98;RSS_GiB=18.814;TP/FP/FN=185/8/16	accuracy_baseline_better	research/experiments/2026-06-27_universal_strategy_decision/results/exact_split_lowextra_skip_sample6_score.tsv
lowextra_offline_all29	MinCO low-extra split rescue candidate	29	0.7284332262672971	0.5747352158935956	0.944192163933067	TP/FP/FN=2125/471/732	promote_with_caveat	research/experiments/2026-06-26_cami2_toymouse_current_default/results/low_extra_split_rescue_summary.tsv
lowextra_offline_all29	MinCO current guarded tail before low-extra	29	0.7267472902081212	0.5754648933072689	0.9441909342221457	TP/FP/FN=2116/471/741	superseded	research/experiments/2026-06-26_cami2_toymouse_current_default/results/low_extra_split_rescue_summary.tsv
near_split_rescue_all29	best lowered-split-ANI candidate	29	0.7260880382629552	0.5802695744816478	0.9441915948367978	TP/FP/FN=2123/488/734	rejected	research/experiments/2026-06-26_cami2_toymouse_current_default/results/near_split_rescue_summary.tsv
loose_cami3_split_rescue_crossval	readiness baseline tail-low-uAF probability	26	0.709347972370461	0.623300343952851	0.9391545161294315	42.26923076923077	baseline_reference	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_loose_split_rescue_crossval_summary.tsv
loose_cami3_split_rescue_crossval	loose CAMI3 source-readmap split rescue	26	0.7026186107909951	0.6458903021630268	0.9378524067168723	44.38461538461539	rejected_cross_panel	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_loose_split_rescue_crossval_summary.tsv
extended_panel_marine_species_taxid	MinCO S1000 unique ZIP-AAF domain recipe	0,1,2,3,4,5	0.847097203722751	0.0024815769727866833	0.9833772126238512	TP/FP/FN=1533/270/286	supports_minco_domain_recipe_not_release_default	research/experiments/2026-06-25_cami2_marine_samples3_5_minco_vs_sylph/summary_samples0_5.tsv
extended_panel_marine_species_taxid	Sylph GTDB r226 c200	0,1,2,3,4,5	0.8290469716811065	0.0019770196096126	0.9924363174881891	TP/FP/FN=1575/404/244	abundance_baseline_better	research/experiments/2026-06-25_cami2_marine_samples3_5_minco_vs_sylph/summary_samples0_5.tsv
extended_panel_marine_gtdb_taxid_transfer	MinCO S1000 unique ZIP-AAF GTDB taxid transfer	0,3,4,5	0.730691061437881	50.8945065835943	0.9415448833777624	TP/FP/FN=768/493/69	supports_minco_F1_in_partial_gtdb_transfer	research/experiments/2026-06-27_universal_strategy_decision/results/marine_gtdb_taxid_transfer_summary.tsv
extended_panel_marine_gtdb_taxid_transfer	Sylph marine r226 GTDB taxid transfer	0,3,4,5	0.7035039776559944	73.86497052856129	0.8942444430765695	TP/FP/FN=793/619/44	lower_F1_in_partial_gtdb_transfer	research/experiments/2026-06-27_universal_strategy_decision/results/marine_gtdb_taxid_transfer_summary.tsv
extended_panel_plant_bacteria_scope	MinCO RF/HGB P>=0.35 train12	3,4,5	0.615014782839021	1.0503420477859609	0.7337669675107613	TP/FP/FN=139/87/85	supports_calibrated_gate_slightly	research/experiments/2026-06-25_cami2_plant_samples3_5_minco_vs_sylph/summary.tsv
extended_panel_plant_bacteria_scope	Sylph default	3,4,5	0.5999925716183384	1.0700007515455439	0.6112482571280909	TP/FP/FN=132/84/92	close_external_baseline	research/experiments/2026-06-25_cami2_plant_samples3_5_minco_vs_sylph/summary.tsv
extended_panel_plant_bacteria_scope	C minco profile direct	3,4,5	0.17551945357633014	1.2360954535172468	0.9979345668903475	TP/FP/FN=22/14/202	direct_profile_too_conservative_for_calibrated_species_default	research/experiments/2026-06-25_cami2_plant_samples3_5_minco_vs_sylph/summary.tsv
extended_panel_plant_current_exactsplit	MinCO current universal exact-split	3,4,5	0.6120155806430317	0.822986278423823	0.9223542155631529	TP/FP/FN=137/85/87	current_exactsplit_supports_minco_slightly	research/experiments/2026-06-27_universal_strategy_decision/results/plant_holdout_exactsplit_current_summary.tsv
extended_panel_plant_current_exactsplit	Sylph default	3,4,5	0.5999925716183384	1.070000751545544	0.6112482571280909	TP/FP/FN=132/84/92	close_external_baseline	research/experiments/2026-06-27_universal_strategy_decision/results/plant_holdout_exactsplit_current_summary.tsv
extended_panel_strain_current_exactsplit	MinCO current universal exact-split	0,1,2	0.6287371239491623	0.7597788927390331	0.8238216511400669	TP/FP/FN=37/19/23	current_exactsplit_supports_minco_F1_but_not_abundance	research/experiments/2026-06-27_universal_strategy_decision/results/strain_holdout_exactsplit_current_summary.tsv
extended_panel_strain_current_exactsplit	Sylph default	0,1,2	0.5273739905318853	0.20300030921542742	0.994005571100983	TP/FP/FN=31/27/29	abundance_baseline_better	research/experiments/2026-06-27_universal_strategy_decision/results/strain_holdout_exactsplit_current_summary.tsv
extended_panel_hmp_gastrooral_pilot	MinCO calibrated train12	gastrooral0,gastrooral6	0.7799558931634403	0.8213017609389066	0.8202240637163002	TP/FP/FN=71/31/10	counterexample_calibrated_gate	research/experiments/2026-06-25_cami2_hmp_pilot_default_strategy/summary.tsv
extended_panel_hmp_gastrooral_pilot	MinCO unique direct ANI>=0.95	gastrooral0,gastrooral6	0.8329962925513987	0.9865464438705666	0.8413528753734447	TP/FP/FN=64/10/17	best_minco_signal_here	research/experiments/2026-06-25_cami2_hmp_pilot_default_strategy/summary.tsv
extended_panel_hmp_gastrooral_pilot	Sylph default	gastrooral0,gastrooral6	0.9015873015873016	0.31162833477433816	0.9968388046816735	TP/FP/FN=72/7/9	sylph_better_here	research/experiments/2026-06-25_cami2_hmp_pilot_default_strategy/summary.tsv
extended_panel_hmp_gastrooral_current	MinCO current universal table-mode	gastrooral0,gastrooral6	0.8616464963394592	0.7661912197893734	0.8670239982831627	TP/FP/FN=71/14/10	current_default_improves_old_calibrated_but_below_sylph	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_current_universal_summary.tsv
extended_panel_hmp_gastrooral_current	MinCO unique direct ANI>=0.95	gastrooral0,gastrooral6	0.8329962925513987	0.9865464438705666	0.8413528753734447	TP/FP/FN=64/10/17	current_universal_beats_unique_direct_on_mean_F1	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_current_universal_summary.tsv
extended_panel_hmp_gastrooral_current	Sylph default	gastrooral0,gastrooral6	0.9015873015873017	0.3116283347743381	0.9968388046816734	TP/FP/FN=72/7/9	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_current_universal_summary.tsv
extended_panel_cami3_toygut_profile_gap	C minco profile direct	0,1,2	0.284080	60.011872	0.875887	TP/FP/FN=64/16/306	direct_profile_too_conservative_for_calibrated_species_default	research/experiments/2026-06-25_cami3_toygut_more_minco_vs_sylph/summary.tsv
extended_panel_cami3_toygut_profile_gap	Prior MinCO full-candidate offline gate	0,1,2	0.555312	NA	NA	TP/FP/FN=155/33/215	offline_gate_better_than_c_profile	research/experiments/2026-06-25_cami3_toygut_more_minco_vs_sylph/summary.tsv
extended_panel_cami3_toygut_profile_gap	Sylph GTDB r226	0,1,2	0.603485	27.789743	0.923617	TP/FP/FN=176/37/194	sylph_better_here	research/experiments/2026-06-25_cami3_toygut_more_minco_vs_sylph/summary.tsv
abundance_formula_crosscheck	broad fixed-calls max(split,unique) mean / zip AF^1	20	0.7036094920794688	0.6072949222290874	0.9337954346225981	40.75	current_abundance_default	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/fixed_call_abundance_summary.tsv
abundance_formula_crosscheck	broad fixed-calls split mean / zip AF^1	20	0.7036094920794688	0.6096772077207027	0.9325278307833521	40.75	superseded_abundance_baseline	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/fixed_call_abundance_summary.tsv
