section	method	samples	F1	L1	Pearson	FP_plus_FN_or_pooled	decision	source
hmp_airskin_gtdb_source_abundance_sample4	MinCO current-code GTDB source-abundance sample4	4	0.8395061728395061	28.72674092295887	0.9883782682234047	TP/FP/FN=102/35/4	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin4_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample4	Sylph r232 GTDB source-abundance sample4	4	0.9719626168224299	4.592947589588322	0.9997707840387126	TP/FP/FN=104/4/2	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin4_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample23	MinCO current-code GTDB source-abundance sample23	23	0.8985507246376813	28.41923191911534	0.984447024806524	TP/FP/FN=31/5/2	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin23_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample23	Sylph r232 GTDB source-abundance sample23	23	0.9696969696969697	20.89561106604513	0.9831326818275297	TP/FP/FN=32/1/1	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin23_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample20	MinCO current-code GTDB source-abundance sample20	20	0.8216216216216216	25.95298635905384	0.9904823004265118	TP/FP/FN=76/30/3	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin20_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample20	Sylph r232 GTDB source-abundance sample20	20	0.9681528662420382	4.085099397500308	0.999816263275884	TP/FP/FN=76/2/3	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin20_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample7	MinCO current-code GTDB source-abundance sample7	7	0.8414634146341463	27.609399687247855	0.9875542782678018	TP/FP/FN=69/20/6	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin7_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample7	Sylph r232 GTDB source-abundance sample7	7	0.9605263157894737	5.205718359122242	0.9994444134687467	TP/FP/FN=73/4/2	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin7_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample9	MinCO current-code GTDB source-abundance sample9	9	0.9292929292929293	31.526930250244316	0.9866666556242831	TP/FP/FN=92/10/4	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin9_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample9	Sylph r232 GTDB source-abundance sample9	9	0.9738219895287958	7.687184035527627	0.9980983985941577	TP/FP/FN=93/2/3	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin9_r232_source_abundance_summary.tsv
