panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only	official_L1_pp	official_Pearson	current_official_L1_pp	current_official_Pearson	delta_current_L1_pp	delta_current_Pearson
cami2_toy_mouse_gut	current_calibrated_abundance	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975057	13.767837122926558	0.9875965696706616	0.987976607726638	13.767837122926558	0.987976607726638	13.767837122926558	0.987976607726638	0.0	0.0
cami2_toy_mouse_gut	current_calibrated_raw	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
cami2_toy_mouse_gut	exact_hit_abund_ge_0.05	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
cami2_toy_mouse_gut	exact_hit_abund_ge_0.10	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
cami2_toy_mouse_gut	exact_hit_abund_ge_0.15	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
cami2_toy_mouse_gut	exact_hit_abund_ge_0.20	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
cami2_toy_mouse_gut	exact_hit_abund_ge_0.25	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
cami2_toy_mouse_gut	exact_hit_abund_ge_0.30	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
cami2_toy_mouse_gut	exact_hit_abund_ge_0.40	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
cami2_toy_mouse_gut	exact_hit_abund_ge_0.50	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	15.339987166975376	13.767837122926872	0.9875965696706613	0.987976607726638	13.767837122926872	0.987976607726638	13.767837122926558	0.987976607726638	3.1441516057384433e-13	0.0
