sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	panel	collapse_rule	profile	called_rows_mapped	called_species_mapped
0	validated_current_no_exact	93	96	80	16	13	0.8333333333333334	0.8602150537634409	0.8465608465608465	62.229112552091635	51.34032277230055	0.9168100125114247	0.9279167037769093	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample0_baseline_table.tsv	96	96
0	validated_exact_hit_ge_0.10	93	96	80	16	13	0.8333333333333334	0.8602150537634409	0.8465608465608465	58.07420869992988	47.14209063050532	0.9398862375916972	0.951047934945715	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample0_trigger010.tsv	96	96
1	validated_current_no_exact	104	101	88	13	16	0.8712871287128713	0.8461538461538461	0.8585365853658536	67.19360511221431	57.62110828776238	0.7216589081849197	0.738517015915491	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample1_baseline_table.tsv	101	101
1	validated_exact_hit_ge_0.10	104	101	88	13	16	0.8712871287128713	0.8461538461538461	0.8585365853658536	66.92314172496732	58.23209320885461	0.7042420454737607	0.7180022805361024	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample1_trigger010.tsv	101	101
2	validated_current_no_exact	99	116	83	33	16	0.7155172413793104	0.8383838383838383	0.772093023255814	43.81898504973305	33.20731346381674	0.9544933525370352	0.965283703719262	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample2_baseline_table.tsv	116	116
2	validated_exact_hit_ge_0.10	99	116	83	33	16	0.7155172413793104	0.8383838383838383	0.772093023255814	107.85090676161819	77.8873203988268	0.6920518276157906	0.7808349844497002	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample2_trigger010.tsv	116	116
13	validated_current_no_exact	40	40	37	3	3	0.925	0.925	0.925	54.74798404447638	54.19229885851233	0.9105244185423925	0.9100458154509375	hmp_airskin_gtdb_source_abundance	sum	/tmp/minco_exact_trigger_validation_20260630/run/hmp_airskin13_baseline_table.tsv	40	40
13	validated_exact_hit_ge_0.10	40	40	37	3	3	0.925	0.925	0.925	34.6865067105835	33.96309577501465	0.9569958134423097	0.9567680276933461	hmp_airskin_gtdb_source_abundance	sum	/tmp/minco_exact_trigger_validation_20260630/run/hmp_airskin13_trigger010.tsv	40	40
