panel	sample	method	profile	exact_path	exact_available	exact_applied	p_extra	guard_passed	low_extra_gate_passed	threshold	trigger_requested	exact_accessions	exact_matched_rows	exact_fallback_rows
hmp_airskin_gtdb_source_abundance	1	exact_hit_abund_ge_0.15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0467510617965887	True	True	0.15	False	0	0	0
hmp_airskin_gtdb_source_abundance	1	exact_hit_abund_ge_0.10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0467510617965887	True	True	0.1	False	0	0	0
hmp_airskin_gtdb_source_abundance	1	exact_hit_abund_ge_0.05	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0467510617965887	True	True	0.05	False	0	0	0
hmp_airskin_gtdb_source_abundance	1	exact_hit_abund_ge_0.00	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	True	0.0467510617965887	True	True	0.0	True	121279	99	0
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.50	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0103193387004973	True	True	0.5	False	0	0	0
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.40	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0103193387004973	True	True	0.4	False	0	0	0
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.30	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0103193387004973	True	True	0.3	False	0	0	0
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.25	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0103193387004973	True	True	0.25	False	0	0	0
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.20	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0103193387004973	True	True	0.2	False	0	0	0
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0103193387004973	True	True	0.15	False	0	0	0
