method	mean_delta_F1	min_delta_F1	sample_worsen_n	sample_improve_n	mean_delta_L1_union_pp	mean_delta_Pearson_union	total_TP_delta	total_FP_delta	total_FN_delta	rescued_TP	rescued_FP	panel_worsen_n	panel_improve_n	min_panel_delta_pooled_F1	mean_panel_delta_pooled_F1	strict_pass
wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.006464010590173822	-0.0037535833258541818	3	20	-0.44471750929499554	0.004544971500361398	30	12	-30	0	0	1	6	-0.0029322988529655314	0.005716748179898408	False
wrapper_accession-current-or-ani93-xny650-br20_zero	0.006464010590173822	-0.0037535833258541818	3	20	-0.018777001680657022	0.0003272552707973682	30	12	-30	0	0	1	6	-0.0029322988529655314	0.005716748179898408	False
