panel	samples	sample_count	total_FN	mean_FN_truth_mass_pct	mean_FN_candidate_visible_truth_mass_pct	total_high_truth_FN	total_high_truth_FN_candidate_visible	total_high_truth_FN_candidate_absent	mean_high_truth_FN_mass_pct	mean_candidate_rows_mapped	samples_with_uncalled_candidate_rows
cami2_toy_mouse_gut	5,6,7	3	94	1.6759262491462439	1.6759262491462439	0	0	0	0.0	98868.66666666667	3
cami3_toy_human_gut_gtdb_source_readmap	0,1,2	3	50	20.916752082959366	20.75643471557196	8	8	0	19.724715560244245	18793.0	3
hmp_airskin_gtdb_source_abundance	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	63	1.2927701055303171	0.07883645276575667	10	1	9	0.8999425710531187	3865.7083333333335	3
hmp_gastrooral_gtdb_source_abundance	0,6	2	5	4.476436881868939	0.0	1	0	1	4.305555555555606	42.5	0
