variant_method	feature	op	threshold	switched_samples	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	cami2_toy_mouse_gut_delta_F1	cami2_toy_mouse_gut_delta_L1_pp	cami2_toy_mouse_gut_delta_Pearson	cami2_toy_mouse_gut_switched_samples	cami2_toy_mouse_gut_improved_samples	cami2_toy_mouse_gut_worsened_samples	cami3_toy_human_gut_gtdb_source_readmap_delta_F1	cami3_toy_human_gut_gtdb_source_readmap_delta_L1_pp	cami3_toy_human_gut_gtdb_source_readmap_delta_Pearson	cami3_toy_human_gut_gtdb_source_readmap_switched_samples	cami3_toy_human_gut_gtdb_source_readmap_improved_samples	cami3_toy_human_gut_gtdb_source_readmap_worsened_samples	hmp_airskin_gtdb_source_abundance_delta_F1	hmp_airskin_gtdb_source_abundance_delta_L1_pp	hmp_airskin_gtdb_source_abundance_delta_Pearson	hmp_airskin_gtdb_source_abundance_switched_samples	hmp_airskin_gtdb_source_abundance_improved_samples	hmp_airskin_gtdb_source_abundance_worsened_samples	hmp_gastrooral_gtdb_source_abundance_delta_F1	hmp_gastrooral_gtdb_source_abundance_delta_L1_pp	hmp_gastrooral_gtdb_source_abundance_delta_Pearson	hmp_gastrooral_gtdb_source_abundance_switched_samples	hmp_gastrooral_gtdb_source_abundance_improved_samples	hmp_gastrooral_gtdb_source_abundance_worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	mean_panel_delta_Pearson
min_xny_ge_50	low_breadth05_frac	<=	0.3263157894736842	31	35	0.03523276473004744	-0.09173441734417342	15	3	-2.3419609649442563	0.19677882569514793	0.0015334490753572722	-0.032722804651518556	0.018204470476597123	5.486628311309379e-06	3	0	2	0.0	0.0	0.0	0	0	0	0.04861509987085256	-3.029699524916396	0.0019982075915258722	26	14	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.006311509178983156	-0.032722804651518556	2	1	-0.7805437650769581	0.018204470476597123	0.0004637551526308014
min_xny_ge_50	method_dropped_rows	<=	39.800000000000004	31	35	0.03523276473004744	-0.09173441734417342	15	3	-2.3419609649442563	0.19677882569514793	0.0015334490753572722	-0.032722804651518556	0.018204470476597123	5.486628311309379e-06	3	0	2	0.0	0.0	0.0	0	0	0	0.04861509987085256	-3.029699524916396	0.0019982075915258722	26	14	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.006311509178983156	-0.032722804651518556	2	1	-0.7805437650769581	0.018204470476597123	0.0004637551526308014
min_xny_ge_50	method_dropped_fraction	<=	0.40797448165869227	31	35	0.03523276473004744	-0.09173441734417342	15	3	-2.3419609649442563	0.19677882569514793	0.0015334490753572722	-0.032722804651518556	0.018204470476597123	5.486628311309379e-06	3	0	2	0.0	0.0	0.0	0	0	0	0.04861509987085256	-3.029699524916396	0.0019982075915258722	26	14	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.006311509178983156	-0.032722804651518556	2	1	-0.7805437650769581	0.018204470476597123	0.0004637551526308014
min_xny_ge_50	method_kept_fraction	>=	0.5920255183413078	31	35	0.03523276473004744	-0.09173441734417342	15	3	-2.3419609649442563	0.19677882569514793	0.0015334490753572722	-0.032722804651518556	0.018204470476597123	5.486628311309379e-06	3	0	2	0.0	0.0	0.0	0	0	0	0.04861509987085256	-3.029699524916396	0.0019982075915258722	26	14	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	0.006311509178983156	-0.032722804651518556	2	1	-0.7805437650769581	0.018204470476597123	0.0004637551526308014
drop_prob_lt_0.7_and_breadth_lt_0.1	max_depth_cv_mean	<=	13.645272558356167	31	35	0.03517809581475267	-0.040826873385012896	16	4	-1.7956279353988853	0.11705400251215181	0.0014278390094240828	-0.02345352567450043	-0.08907093129994041	2.678399505055366e-05	3	0	2	0.0	0.0	0.0	0	0	0	0.04751431287209805	-2.261759746380119	0.0017651192720460793	26	15	2	0.009353741496598622	-0.7561258963989701	0.0011178964997235474	2	1	0	0.00835363217354906	-0.02345352567450043	2	1	-0.7767391435197574	0.0	0.0007274499417050451
drop_prob_lt_0.7_and_breadth_lt_0.2	method_kept_rows	<=	51.0	23	35	0.034975485420743836	-0.04500000000000004	12	4	-1.8840724313225532	0.7654741840761368	0.0012801036455752732	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.044259640189994606	-2.4547290316065946	0.0017437515523596222	21	10	4	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.014706373122021135	0.0	2	0	-0.5717886632655639	0.1675743785443391	0.00015122984826800126
min_xny_ge_25	low_real_frac	<=	0.29185471738663227	31	35	0.03488778361167676	-0.007815442561205255	16	1	-1.8221568412691873	0.0	0.0014466882014379718	-0.0026051475204017516	-0.06003890740786488	7.569152403371268e-07	3	0	1	0.0	0.0	0.0	0	0	0	0.04517150214066668	-2.352964126694514	0.0018772720119687777	26	15	0	0.004628655585945718	-0.032670650723041206	-2.7264009274496903e-05	2	1	0	0.011798752551552662	-0.0026051475204017516	2	1	-0.611418421206355	0.0	0.00046269122948365446
drop_prob_lt_0.7_and_breadth_lt_0.2	max_depth_cv_mean	<=	11.6193571374269	28	35	0.03466590280415662	-0.0615713346482577	14	6	-2.9516585135564455	0.2065900194613164	0.0019236740556525594	-0.03721840498938104	0.09458650559942801	6.216530798600998e-05	3	0	2	0.0	0.0	0.0	0	0	0	0.04855238530017946	-3.8352664571767408	0.002496834743994943	24	13	4	0.0070237050043898686	-0.0198065737509463	-0.00013622103199095736	1	1	0	0.004589421328797073	-0.03721840498938104	2	1	-0.9401216313320647	0.09458650559942801	0.0006056947549974989
drop_prob_lt_0.7_and_breadth_lt_0.1	max_zip_af_median	>=	0.999174	28	35	0.03452800225653807	-0.127301885749046	17	3	-1.8210712059167662	0.11705400251215181	0.0013919371609893761	0.0	0.0	0.0	0	0	0	-0.04243396191634866	-0.16614494508540645	-0.0003070538903569379	1	0	1	0.048780536360543754	-2.2861779844086167	0.001755672937268588	25	16	2	0.009353741496598622	-0.7561258963989701	0.0011178964997235474	2	1	0	0.003925078985198428	-0.04243396191634866	2	1	-0.8021122064732483	0.0	0.0006416288866587993
drop_prob_lt_0.7_and_breadth_lt_0.1	max_zip_af_median	>=	1.0	28	35	0.03452800225653807	-0.127301885749046	17	3	-1.8210712059167662	0.11705400251215181	0.0013919371609893761	0.0	0.0	0.0	0	0	0	-0.04243396191634866	-0.16614494508540645	-0.0003070538903569379	1	0	1	0.048780536360543754	-2.2861779844086167	0.001755672937268588	25	16	2	0.009353741496598622	-0.7561258963989701	0.0011178964997235474	2	1	0	0.003925078985198428	-0.04243396191634866	2	1	-0.8021122064732483	0.0	0.0006416288866587993
