panel	rescued_species	rescued_TP	rescued_FP	rescued_truth_mass_pct	samples_with_rescue	candidate_sources
cami2_toy_mouse_gut	1	1	0	0.775594622544518	1	emitted_profile
cami3_toy_human_gut_gtdb_source_readmap	5	5	0	38.22291124158479	3	emitted_profile
hmp_airskin_gtdb_source_abundance	12	11	1	9.272690851282494	7	hmp_raw_best_row_cache
hmp_gastrooral_gtdb_source_abundance	2	2	0	8.948023680489303	2	hmp_raw_best_row_cache
