method	panel	samples	mean_F1	mean_official_L1_pp	mean_delta_current_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_official_Pearson	mean_delta_current_Pearson
current_calibrated_abundance	cami2_toy_mouse_gut	5,6,7	0.8938387600398774	13.767837122926872	0.0	0.0	0	0	0.987976607726638	0.0
current_calibrated_abundance	cami3_toy_human_gut_gtdb_source_readmap	0,1,2	0.8159567931704953	62.73202903342466	0.0	0.0	0	0	0.8239151096773086	0.0
current_calibrated_abundance	hmp_airskin_gtdb_source_abundance	11,28,6	0.9370014245014245	21.304591335405153	0.0	0.0	0	0	0.9467539686727336	0.0
current_calibrated_abundance	hmp_gastrooral_gtdb_source_abundance	0,6	0.9195678271308523	48.986991106324524	0.0	0.0	0	0	0.8822766995655473	0.0
lopo_hgb_log_l2_0.1_blend0.25	cami2_toy_mouse_gut	5,6,7	0.8938387600398774	13.773117478817644	0.005280355890769843	0.014095634523375367	1	2	0.987964801754137	-1.1805972500981513e-05
lopo_hgb_log_l2_0.1_blend0.25	cami3_toy_human_gut_gtdb_source_readmap	0,1,2	0.8159567931704953	62.726203454546784	-0.005825578877884634	0.004201092987180743	2	1	0.823925641291591	1.0531614282364524e-05
lopo_hgb_log_l2_0.1_blend0.25	hmp_airskin_gtdb_source_abundance	11,28,6	0.9370014245014245	21.296623461632	-0.00796787377315411	0.004118160882867983	2	1	0.9467593963327875	5.427660053736183e-06
lopo_hgb_log_l2_0.1_blend0.25	hmp_gastrooral_gtdb_source_abundance	0,6	0.9195678271308523	48.951968865048784	-0.035022241275740384	-0.01735754124548805	2	0	0.8825230957856554	0.000246396220108025
lopo_hgb_log_l2_0.1_blend0.5	cami2_toy_mouse_gut	5,6,7	0.8938387600398774	13.793748994822188	0.025911871895313077	0.04314867305311765	0	3	0.9879410270982817	-3.558062835617992e-05
lopo_hgb_log_l2_0.1_blend0.5	cami3_toy_human_gut_gtdb_source_readmap	0,1,2	0.8159567931704953	62.71457197283073	-0.01745706059392897	0.012597651352962203	2	1	0.8239465225394361	3.1412862127525955e-05
lopo_hgb_log_l2_0.1_blend0.5	hmp_airskin_gtdb_source_abundance	11,28,6	0.9370014245014245	21.280998345951176	-0.023592989453978436	0.01301163643049108	2	1	0.9467699361658949	1.596749316138772e-05
