sample	gtdb_species	truth_abundance	minco_current_calibrated_abundance	minco_current_calibrated_abundance_abs_error_pp	minco_max_split_unique_zip_p1	minco_max_split_unique_zip_p1_abs_error_pp	minco_split_mean_depth	minco_split_mean_depth_abs_error_pp	minco_split_mean_over_zip_p0.25	minco_split_mean_over_zip_p0.25_abs_error_pp	minco_current_raw_power_p0.5	minco_current_raw_power_p0.5_abs_error_pp	sylph_r232_taxonomic_abundance	sylph_r232_taxonomic_abundance_abs_error_pp
6	s__Adlercreutzia equolifaciens	0.11320754716981025	0.11310178802366405	0.010575914614620319	0.113101788023664	0.01057591461462587	0.10679394292845441	0.6413604241355841	0.10873555992573229	0.4471987244077963	0.10214526183717988	1.1062285332630373	0.11293822587645176	0.02693212933584932
6	s__Allisonella pneumosinta	0.15566037735848912	0.1582776051891367	0.2617227830647578	0.1582776051891366	0.2617227830647495	0.2155109682869741	5.985059092848499	0.20024015038674786	4.457977302825874	0.12083513342228518	3.482524393620394	0.15590431180862363	0.02439344501345142
6	s__Bifidobacterium pseudocatenulatum	0.009433962264150855	0.009432542351141703	0.00014199130091516882	0.009432542351141734	0.00014199130091204631	0.0071680896825164235	0.2265872581634431	0.007705556783253561	0.1728405480897294	0.029498360074116155	2.00643978099653	0.009522019044038089	0.00880567798872342
6	s__Bifidobacterium sp947289115	0.0	0.11012429121004756	11.012429121004756	0.11012429121004752	11.012429121004752	0.09229140901999432	9.22914090199943	0.09681351768938622	9.681351768938622	0.10079176579040032	10.079176579040032	0.013736027472054945	1.3736027472054946
6	s__Bifidobacterium swidsinskii	0.01886792452830171	0.0	1.886792452830171	0.0	1.886792452830171	0.0	1.886792452830171	0.0	1.886792452830171	0.0	1.886792452830171	0.01673203346406693	0.2135891064234778
6	s__Bifidobacterium vaginale	0.19811320754716796	0.19496431214018878	0.3148895406979185	0.1949643121401887	0.31488954069792685	0.16830954955319952	2.9803657993968447	0.17525265667598344	2.286055087118452	0.13410996574329237	6.4003241803875595	0.19887039774079548	0.07571901936275216
6	s__Bifidobacterium vaginale_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001397002794005588	0.1397002794005588
6	s__Clostridioides difficile	0.023584905660377138	0.018441837588684708	0.514306807169243	0.018441837588684742	0.5143068071692396	0.019077422755091167	0.4507482905285971	0.018986070429005644	0.4598835231371494	0.04124635612231868	1.7661450461941544	0.019641039282078564	0.3943866378298574
6	s__Cryptobacterium curtum	0.000743571813264144	0.0008846552609370004	0.014108344767285643	0.0008846552609370464	0.01410834476729024	0.001028041782605316	0.0284469969341172	0.0009937928140928876	0.025022100082874355	0.009033801070935245	0.8290229257671101	0.000776001552003104	0.003242973873896003
6	s__Denitrobacterium detoxificans	0.032275296111273284	0.03260471535039482	0.032941923912153254	0.03260471535039483	0.03294192391215464	0.034697611528226466	0.24223154169531816	0.03428775496333767	0.2012458852064386	0.05484331492035129	2.2568018809078008	0.03191706383412767	0.0358232277145612
