method	samples	mean_F1	mean_L1	mean_Pearson	mean_FP_plus_FN	min_F1	max_L1	mean_added
baseline_tail_low_uaf_probability	26	0.709347972370461	0.623300343952851	0.9391545161294315	42.26923076923077	0.4848484848484849	1.0455307922308632	0.0
loose_cami3_split_rescue_tail_safe	26	0.7026186107909951	0.6458903021630268	0.9378524067168723	44.38461538461539	0.4848484848484849	1.131360326012038	2.6538461538461537
loose_cami3_split_rescue_zip_p025	26	0.7026186107909951	0.7002619289405723	0.892875523092681	44.38461538461539	0.4848484848484849	1.251840489058735	2.6538461538461537
