method	panel	sample_count	mean_L1_delta_pp	max_worse_L1_delta_pp	improved_samples	worsened_samples	mean_Pearson_delta
genus_max_mean_breadth_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.12157788547788091	0.01875457196349828	2	1	-0.00022177204841148748
genus_max_mean_breadth_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.2572672841151025	0.2978027162117307	16	8	0.0005027661014383086
genus_max_mean_breadth_a0.05	hmp_gastrooral_gtdb_source_abundance	2	0.3318638181538951	0.6121546925833599	0	2	-0.0027551857022151682
genus_max_mean_breadth_a0.1	cami2_toy_mouse_gut	3	-0.016272031343573506	0.2960442460052972	2	1	-0.0002463729004866429
genus_max_mean_breadth_a0.1	cami3_toy_human_gut_gtdb_source_readmap	3	-0.21762582444572112	0.03753134136547942	2	1	-0.0005340882919265081
genus_max_mean_breadth_a0.1	hmp_airskin_gtdb_source_abundance	24	-0.37439596681124154	0.633721133792811	14	10	0.0008737980953160649
genus_max_mean_breadth_a0.1	hmp_gastrooral_gtdb_source_abundance	2	0.6648151183880122	1.224309385166734	0	2	-0.005690538479438123
genus_max_mean_breadth_a0.25	cami2_toy_mouse_gut	3	0.29625039318095	0.8554187619746925	1	2	-0.0007433013171335526
genus_max_mean_breadth_a0.25	cami3_toy_human_gut_gtdb_source_readmap	3	-0.4883564221686593	0.15240238743293588	1	2	-0.001998905114697136
genus_max_mean_breadth_a0.25	hmp_airskin_gtdb_source_abundance	24	-0.3748978821515374	1.7219548443085717	11	13	0.0012468374641584623
genus_max_mean_breadth_a0.25	hmp_gastrooral_gtdb_source_abundance	2	1.685310731823055	3.0607734629168704	0	2	-0.015589696492109895
genus_max_norm_depth_a0.005	cami2_toy_mouse_gut	3	-0.009553964067383328	-0.0021823012840673783	3	0	-2.5733233367149686e-06
genus_max_norm_depth_a0.005	cami3_toy_human_gut_gtdb_source_readmap	3	-0.0049718731799259785	-0.00047630297157752466	3	0	-1.4175213525350708e-05
genus_max_norm_depth_a0.005	hmp_airskin_gtdb_source_abundance	24	-0.017126273676451958	0.031982671546376906	15	9	3.914226864476511e-05
genus_max_norm_depth_a0.005	hmp_gastrooral_gtdb_source_abundance	2	0.028811710233243915	0.048060407514626036	0	2	-0.00021262685359069167
genus_max_norm_depth_a0.01	cami2_toy_mouse_gut	3	-0.01905921892391434	-0.004364602568130316	3	0	-5.21930020928411e-06
genus_max_norm_depth_a0.01	cami3_toy_human_gut_gtdb_source_readmap	3	-0.009943746359837746	-0.0009526059430982059	3	0	-2.9009149417465647e-05
genus_max_norm_depth_a0.01	hmp_airskin_gtdb_source_abundance	24	-0.03313810916261976	0.06396534309275737	15	9	7.770137438499469e-05
genus_max_norm_depth_a0.01	hmp_gastrooral_gtdb_source_abundance	2	0.057623420466504705	0.0961208150292947	0	2	-0.00042636202223694797
genus_max_norm_depth_a0.02	cami2_toy_mouse_gut	3	-0.035841051244792865	-0.002192304943251955	3	0	-1.0729003028046394e-05
genus_max_norm_depth_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.019887492719668387	-0.0019052118861395684	3	0	-6.065046566546458e-05
genus_max_norm_depth_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.06128941343597427	0.12793068618551828	14	10	0.00015307240642483308
genus_max_norm_depth_a0.02	hmp_gastrooral_gtdb_source_abundance	2	0.1152468409330174	0.1922416300585894	0	2	-0.0008571648832865764
genus_max_norm_depth_a0.05	cami2_toy_mouse_gut	3	-0.06979191285726631	0.046347132127101176	2	1	-2.8996298549022193e-05
genus_max_norm_depth_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.04529494421412986	-0.004763029715377343	3	0	-0.00017131239475535556
genus_max_norm_depth_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.11442265971125025	0.32301155455060737	14	10	0.00036525114050328655
genus_max_norm_depth_a0.05	hmp_gastrooral_gtdb_source_abundance	2	0.2881171023324649	0.48060407514635983	0	2	-0.002176367273913793
genus_max_norm_depth_a0.1	cami2_toy_mouse_gut	3	-0.0687019298949642	0.14228819339135335	2	1	-6.521040125007094e-05
genus_max_norm_depth_a0.1	cami3_toy_human_gut_gtdb_source_readmap	3	-0.07040709738181523	-0.009526059430783107	3	0	-0.00040787127738757995
genus_max_norm_depth_a0.1	hmp_airskin_gtdb_source_abundance	24	-0.12513633807825889	0.704345929286859	12	12	0.0006727401576092686
genus_max_norm_depth_a0.1	hmp_gastrooral_gtdb_source_abundance	2	0.5762342046649396	0.9612081502927339	0	2	-0.004465204582608795
genus_max_norm_depth_a0.25	cami2_toy_mouse_gut	3	0.025182186635616628	0.44617284872724117	2	1	-0.00021663264778426505
genus_max_norm_depth_a0.25	cami3_toy_human_gut_gtdb_source_readmap	3	-0.11967520497860089	-0.023610898152483628	3	0	-0.0015016626280921486
genus_max_norm_depth_a0.25	hmp_airskin_gtdb_source_abundance	24	0.02123374434531174	2.0724902186096905	11	13	0.0012558248484500257
genus_max_norm_depth_a0.25	hmp_gastrooral_gtdb_source_abundance	2	1.4537128274963882	2.403020375731799	0	2	-0.012022388120513094
genus_max_rel_depth_a0.005	cami2_toy_mouse_gut	3	-0.009553964067383328	-0.0021823012840673783	3	0	-2.5733233367149686e-06
genus_max_rel_depth_a0.005	cami3_toy_human_gut_gtdb_source_readmap	3	-0.0049718731799259785	-0.00047630297157752466	3	0	-1.4175213525350708e-05
genus_max_rel_depth_a0.005	hmp_airskin_gtdb_source_abundance	24	-0.017126273676451958	0.031982671546376906	15	9	3.914226864476511e-05
genus_max_rel_depth_a0.005	hmp_gastrooral_gtdb_source_abundance	2	0.028811710233243915	0.048060407514626036	0	2	-0.00021262685359069167
genus_max_rel_depth_a0.01	cami2_toy_mouse_gut	3	-0.01905921892391434	-0.004364602568130316	3	0	-5.21930020928411e-06
genus_max_rel_depth_a0.01	cami3_toy_human_gut_gtdb_source_readmap	3	-0.009943746359837746	-0.0009526059430982059	3	0	-2.9009149417465647e-05
genus_max_rel_depth_a0.01	hmp_airskin_gtdb_source_abundance	24	-0.03313810916261976	0.06396534309275737	15	9	7.770137438499469e-05
genus_max_rel_depth_a0.01	hmp_gastrooral_gtdb_source_abundance	2	0.057623420466504705	0.0961208150292947	0	2	-0.00042636202223694797
genus_max_rel_depth_a0.02	cami2_toy_mouse_gut	3	-0.035841051244792865	-0.002192304943251955	3	0	-1.0729003028046394e-05
genus_max_rel_depth_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.019887492719668387	-0.0019052118861395684	3	0	-6.065046566546458e-05
genus_max_rel_depth_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.06128941343597427	0.12793068618551828	14	10	0.00015307240642483308
genus_max_rel_depth_a0.02	hmp_gastrooral_gtdb_source_abundance	2	0.1152468409330174	0.1922416300585894	0	2	-0.0008571648832865764
genus_max_rel_depth_a0.05	cami2_toy_mouse_gut	3	-0.06979191285726631	0.046347132127101176	2	1	-2.8996298549022193e-05
genus_max_rel_depth_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.04529494421412986	-0.004763029715377343	3	0	-0.00017131239475535556
genus_max_rel_depth_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.11442265971125025	0.32301155455060737	14	10	0.00036525114050328655
genus_max_rel_depth_a0.05	hmp_gastrooral_gtdb_source_abundance	2	0.2881171023324649	0.48060407514635983	0	2	-0.002176367273913793
genus_max_rel_depth_a0.1	cami2_toy_mouse_gut	3	-0.0687019298949642	0.14228819339135335	2	1	-6.521040125007094e-05
genus_max_rel_depth_a0.1	cami3_toy_human_gut_gtdb_source_readmap	3	-0.07040709738181523	-0.009526059430783107	3	0	-0.00040787127738757995
genus_max_rel_depth_a0.1	hmp_airskin_gtdb_source_abundance	24	-0.12513633807825889	0.704345929286859	12	12	0.0006727401576092686
genus_max_rel_depth_a0.1	hmp_gastrooral_gtdb_source_abundance	2	0.5762342046649396	0.9612081502927339	0	2	-0.004465204582608795
genus_max_rel_depth_a0.25	cami2_toy_mouse_gut	3	0.025182186635616628	0.44617284872724117	2	1	-0.00021663264778426505
genus_max_rel_depth_a0.25	cami3_toy_human_gut_gtdb_source_readmap	3	-0.11967520497860089	-0.023610898152483628	3	0	-0.0015016626280921486
genus_max_rel_depth_a0.25	hmp_airskin_gtdb_source_abundance	24	0.02123374434531174	2.0724902186096905	11	13	0.0012558248484500257
genus_max_rel_depth_a0.25	hmp_gastrooral_gtdb_source_abundance	2	1.4537128274963882	2.403020375731799	0	2	-0.012022388120513094
genus_prob_norm_depth_a0.005	cami2_toy_mouse_gut	3	-0.01187963014355553	-0.0040120367475946495	3	0	-2.9885189228492e-06
genus_prob_norm_depth_a0.005	cami3_toy_human_gut_gtdb_source_readmap	3	-0.011337646434024387	0.00013466011363050256	2	1	-5.126417695862824e-06
genus_prob_norm_depth_a0.005	hmp_airskin_gtdb_source_abundance	24	-0.02293696218294698	0.029269651616314007	16	8	4.612637914282643e-05
genus_prob_norm_depth_a0.005	hmp_gastrooral_gtdb_source_abundance	2	0.03134723496933667	0.05208065503225612	0	2	-0.00022316995139742835
genus_prob_norm_depth_a0.01	cami2_toy_mouse_gut	3	-0.023693284717770585	-0.008024073495184858	3	0	-6.07887319907056e-06
genus_prob_norm_depth_a0.01	cami3_toy_human_gut_gtdb_source_readmap	3	-0.022675292868036934	0.0002693202272467943	2	1	-1.096190092375604e-05
genus_prob_norm_depth_a0.01	hmp_airskin_gtdb_source_abundance	24	-0.044197925571511	0.058539303232628015	16	8	9.141685248166553e-05
genus_prob_norm_depth_a0.01	hmp_gastrooral_gtdb_source_abundance	2	0.06269446993871064	0.10416131006456908	0	2	-0.0004476254143097047
genus_prob_norm_depth_a0.02	cami2_toy_mouse_gut	3	-0.046408370987759184	-0.01604814699036794	3	0	-1.256466243245343e-05
genus_prob_norm_depth_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.045350585736050185	0.0005386404545788537	2	1	-2.4757802314071913e-05
genus_prob_norm_depth_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.08116343194244961	0.11707860646529156	16	8	0.0001794947512701317
genus_prob_norm_depth_a0.02	hmp_gastrooral_gtdb_source_abundance	2	0.12538893987738664	0.20832262012909553	0	2	-0.0009003963363027334
genus_prob_norm_depth_a0.05	cami2_toy_mouse_gut	3	-0.09409949392432033	0.011919444251845768	2	1	-3.44550272915282e-05
genus_prob_norm_depth_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.10843000476134534	0.0013466011364187125	2	1	-8.310348945550494e-05
genus_prob_norm_depth_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.14878551824180017	0.2963742089621526	14	10	0.0004237909725981759
genus_prob_norm_depth_a0.05	hmp_gastrooral_gtdb_source_abundance	2	0.31347234969347415	0.5208065503227601	0	2	-0.0022896460546897313
genus_prob_norm_depth_a0.1	cami2_toy_mouse_gut	3	-0.08253206355196714	0.08794936273808318	2	1	-7.899807973225463e-05
genus_prob_norm_depth_a0.1	cami3_toy_human_gut_gtdb_source_readmap	3	-0.19333855916724238	0.0026932022728090033	2	1	-0.0002365863616045072
genus_prob_norm_depth_a0.1	hmp_airskin_gtdb_source_abundance	24	-0.1751294279249914	0.7000307793429812	12	12	0.0007651073327366772
genus_prob_norm_depth_a0.1	hmp_gastrooral_gtdb_source_abundance	2	0.6269779347555495	1.041613100645563	0	2	-0.0047084965975154325
genus_prob_norm_depth_a0.25	cami2_toy_mouse_gut	3	0.06824598078740873	0.3364706123057788	2	1	-0.000272100766102142
genus_prob_norm_depth_a0.25	cami3_toy_human_gut_gtdb_source_readmap	3	-0.4244491258388455	0.007657722381438248	2	1	-0.0011128712878121967
genus_prob_norm_depth_a0.25	hmp_airskin_gtdb_source_abundance	24	0.010453659519199743	2.2294843988739323	11	13	0.0013085214269719092
genus_prob_norm_depth_a0.25	hmp_gastrooral_gtdb_source_abundance	2	1.5874147808669106	2.6040327516139	0	2	-0.012743309523043311
genus_raw_breadth_a0.005	cami2_toy_mouse_gut	3	-0.011543508219805432	-0.003400744100890307	3	0	-1.1449338272647343e-06
genus_raw_breadth_a0.005	cami3_toy_human_gut_gtdb_source_readmap	3	-0.015406457447456981	-5.489466836650081e-05	3	0	-3.482346311756146e-06
genus_raw_breadth_a0.005	hmp_airskin_gtdb_source_abundance	24	-0.029139728210595812	0.008162517747731357	18	6	4.1604262716247543e-05
genus_raw_breadth_a0.005	hmp_gastrooral_gtdb_source_abundance	2	0.011516143620315056	0.021015495007091545	0	2	-8.293623487387602e-05
genus_raw_breadth_a0.01	cami2_toy_mouse_gut	3	-0.023087016439593693	-0.006801488201777062	3	0	-2.3484757596762642e-06
genus_raw_breadth_a0.01	cami3_toy_human_gut_gtdb_source_readmap	3	-0.030812914894918702	-0.00010978933673300162	3	0	-7.468922914144471e-06
genus_raw_breadth_a0.01	hmp_airskin_gtdb_source_abundance	24	-0.05767439989770736	0.01632503549544495	18	6	8.267417005184315e-05
genus_raw_breadth_a0.01	hmp_gastrooral_gtdb_source_abundance	2	0.02303228724063011	0.04203099001418309	0	2	-0.00016630682624035886
genus_raw_breadth_a0.02	cami2_toy_mouse_gut	3	-0.04617403287919597	-0.013602976403558564	3	0	-4.931218792895524e-06
genus_raw_breadth_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.06162582978979714	-0.00021957867345179238	3	0	-1.695250292691834e-05
genus_raw_breadth_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.11197777606429389	0.032650070990893454	17	7	0.00016321539831466725
genus_raw_breadth_a0.02	hmp_gastrooral_gtdb_source_abundance	2	0.04606457448127621	0.08406198002840881	0	2	-0.0003343496782378108
genus_raw_breadth_a0.05	cami2_toy_mouse_gut	3	-0.09805436350699726	0.01455356249900408	2	1	-1.4081750543404326e-05
genus_raw_breadth_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.15099410541396216	-0.0005489466836507972	3	0	-5.7445721719173726e-05
