method	samples	mean_F1	mean_L1_pp	mean_Pearson	pooled_TP	pooled_FP	pooled_FN	pooled_F1
sylph_gtdb_profile	5,6,7	0.9528057837924289	6.73152294577699	0.9940402726623159	429	13	38	0.943894389438944
minco_current_code_refresh	5,6,7	0.8938387600398774	13.76783712292629	0.9879766077266372	373	10	94	0.8776470588235294
