rule_type	feature1	op1	threshold1	feature2	op2	threshold2	sample_count	switched_samples	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	candidate_added_rows	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	metadata_candidate_raw_mass_before	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	n_candidate_calls	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	candidate_call_frac	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	candidate_raw_mass	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	candidate_raw_frac	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	u_zip_median	<=	1.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	probability_min	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	candidate_added_rows	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	metadata_candidate_raw_mass_before	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	n_candidate_calls	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	candidate_call_frac	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	candidate_raw_mass	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	candidate_raw_frac	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	u_zip_median	<=	1.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	probability_min	>=	0.0	32	28	-0.8078691339794299	0.2204793383230292	24	4	-0.4762828297290642	-0.15628335393242426	4	0
single	base_mass_multi_genus_frac	>=	0.37501510201405147				32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	base_mass_multi_genus_frac	>=	0.37501510201405147	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	candidate_added_rows	>=	0.0	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	metadata_candidate_raw_mass_before	>=	0.0	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	n_candidate_calls	>=	0.0	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	candidate_call_frac	>=	0.0	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	candidate_raw_mass	>=	0.0	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	candidate_raw_frac	>=	0.0	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	u_zip_median	<=	1.0	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	probability_min	>=	0.0	32	28	-0.8065858707829222	0.2615437606112749	24	4	-0.4458865194268531	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	u_xny_median	<=	650.0500000000001	32	26	-0.8063647801120088	0.2204793383230292	24	2	-0.5043794304454148	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	u_breadth_median	<=	0.65005	32	26	-0.8063647801120088	0.2204793383230292	24	2	-0.5043794304454148	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	u_xny_median	<=	650.0500000000001	32	26	-0.8063647801120088	0.2204793383230292	24	2	-0.5043794304454148	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	u_breadth_median	<=	0.65005	32	26	-0.8063647801120088	0.2204793383230292	24	2	-0.5043794304454148	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	u_xny_median	<=	650.0500000000001	32	26	-0.8063647801120088	0.2204793383230292	24	2	-0.5043794304454148	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	u_breadth_median	<=	0.65005	32	26	-0.8063647801120088	0.2204793383230292	24	2	-0.5043794304454148	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	blend_perturb_max_frac	>=	0.001848269724903565	32	24	-0.8061079679783216	0.0392577798145055	22	2	-0.47709466768262604	-0.16267829467420525	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	adjusted_base_row_frac	>=	0.44179566563467493	32	25	-0.8054706497575594	0.0392577798145055	23	2	-0.47548333498844075	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	blend_perturb_row_frac	>=	0.44179566563467493	32	25	-0.8054706497575594	0.0392577798145055	23	2	-0.47548333498844075	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	u_xny_median	<=	650.0500000000001	32	27	-0.8051379744928056	0.2204793383230292	24	3	-0.5039704952390136	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	u_breadth_median	<=	0.65005	32	27	-0.8051379744928056	0.2204793383230292	24	3	-0.5039704952390136	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	s_xny_median	<=	922.05	32	26	-0.8050815169155012	0.2615437606112749	24	2	-0.4739831201432036	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	s_xny_mean	<=	848.9395833333334	32	26	-0.8050815169155012	0.2615437606112749	24	2	-0.4739831201432036	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	xny_max_median	<=	922.05	32	26	-0.8050815169155012	0.2615437606112749	24	2	-0.4739831201432036	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	s_xny_median	<=	922.05	32	27	-0.8049716021132062	0.2615437606112749	24	3	-0.47394648187577193	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	s_xny_mean	<=	848.9395833333334	32	27	-0.8049716021132062	0.2615437606112749	24	3	-0.47394648187577193	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	xny_max_median	<=	922.05	32	27	-0.8049716021132062	0.2615437606112749	24	3	-0.47394648187577193	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	probability_mean	<=	0.8826788705173912	32	27	-0.8038547112962979	0.2615437606112749	24	3	-0.4735741849368025	-0.15628335393242426	4	0
single	probability_mean	<=	0.8826788705173912				32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	probability_mean	<=	0.8826788705173912	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	candidate_added_rows	>=	0.0	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	metadata_candidate_raw_mass_before	>=	0.0	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	n_candidate_calls	>=	0.0	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	candidate_call_frac	>=	0.0	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	candidate_raw_mass	>=	0.0	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	candidate_raw_frac	>=	0.0	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	u_zip_median	<=	1.0	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	probability_min	>=	0.0	32	28	-0.8037447964940029	0.2615437606112749	24	4	-0.4735375466693708	-0.15628335393242426	4	0
