case_id	dataset	sample	minco_method	sylph_method	default_status	exact_behavior	minco_seconds	sylph_seconds	seconds_delta_minco_minus_sylph	minco_peak_rss_gib	sylph_peak_rss_gib	rss_delta_minco_minus_sylph_gib	faster_than_sylph	lower_memory_than_sylph	accuracy_note	decision	source
hmp_gastrooral_sample0_current_default_exact_rerun	hmp_gastrooral_r232	0	MinCO current default exact rerun	Sylph r232 chunked profile	current_default	exact_rerun_used	240.22	207.18	33.04	3.7958	25.9178	-22.1220	false	true	same two-sample panel metrics: MinCO F1 0.9195678271308523 L1 48.98699110632436 pp; Sylph F1 0.9552995391705069 L1 5.063129406373072 pp	default_slower_than_sylph_here	results/hmp_gastrooral_exact_sidecar_speed.tsv
hmp_gastrooral_sample6_current_default_no_exact	hmp_gastrooral_r232	6	MinCO current default no exact	Sylph r232 chunked profile	current_default	exact_not_requested	123.11	118.40	4.71	3.3268	25.9110	-22.5842	false	true	same two-sample panel metrics: MinCO F1 0.9195678271308523 L1 48.98699110632436 pp; Sylph F1 0.9552995391705069 L1 5.063129406373072 pp	default_slightly_slower_than_sylph_here	results/hmp_gastrooral_exact_sidecar_speed.tsv
hmp_gastrooral_sample0_optin_exact_sidecar	hmp_gastrooral_r232	0	MinCO opt-in same-stream exact sidecar	Sylph r232 chunked profile	opt_in_speed_substrate	sidecar_used_and_matches_exact	145.93	207.18	-61.25	4.6302	25.9178	-21.2876	true	true	same two-sample panel metrics: MinCO F1 0.9195678271308523 L1 48.98699110632436 pp; Sylph F1 0.9552995391705069 L1 5.063129406373072 pp; sidecar call/abundance delta versus exact rerun is zero	sidecar_faster_than_sylph_but_not_default	results/hmp_gastrooral_exact_sidecar_speed.tsv
toymouse_sample6_current_default_lowextra_skip	cami2_toy_mouse	6	MinCO current default low-extra exact skip	Sylph GTDB profile	current_default	exact_skipped_by_low_extra_rule	107.90	110.98	-3.08	3.4335	18.8140	-15.3805	true	true	MinCO F1 0.8547486033519553 L1 19.831577274036665 pp; Sylph F1 0.9390862944162437 L1 11.759074897164671 pp	default_faster_but_accuracy_worse	results/exact_split_lowextra_skip_runtime.tsv
toymouse_sample6_optin_exact_sidecar	cami2_toy_mouse	6	MinCO opt-in same-stream exact sidecar	Sylph GTDB profile	opt_in_speed_substrate	sidecar_used_but_exact_not_needed_by_current_default	148.51	110.98	37.53	4.5020	18.8140	-14.3120	false	true	MinCO sidecar F1 0.8547486033519553 L1 20.062955823580346 pp; Sylph F1 0.9390862944162437 L1 11.759074897164671 pp	sidecar_slower_than_sylph_when_exact_not_needed	results/exact_split_lowextra_skip_runtime.tsv
