panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	L1_union_pp	Pearson_union	added_species	rule	added_rows	zero_mass_violations	added_accessions	profile
hmp_airskin_gtdb_source_abundance	16	minco_integrated_candidate_surface_hmp	10	10	10	0	0	1.0	1.0	1.0	6.914589514693759	0.9998353757011105		integrated wrapper accession-level zero-mass candidate surface	0	0		/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	17	minco_integrated_candidate_surface_hmp	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	26.525180643112833	0.9960095778891281		integrated wrapper accession-level zero-mass candidate surface	0	0		/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	18	minco_integrated_candidate_surface_hmp	27	27	26	1	1	0.9629629629629629	0.9629629629629629	0.9629629629629629	12.023034824053685	0.9947328417202754	s__Streptococcus pneumoniae	integrated wrapper accession-level zero-mass candidate surface	1	0	GCF_001457635.1	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	19	minco_integrated_candidate_surface_hmp	111	151	107	44	4	0.7086092715231788	0.963963963963964	0.816793893129771	37.17374040767123	0.9634165110040726	s__Haemophilus influenzae_D,s__Haemophilus influenzae_E,s__Haemophilus influenzae_I,s__Streptococcus salivarius_D	integrated wrapper accession-level zero-mass candidate surface	4	0	GCF_002094975.1,GCF_003494325.1,GCF_019703545.1,GCF_900475755.1	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample19.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	20	minco_integrated_candidate_surface_hmp	79	106	76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054346	0.990482300426512		integrated wrapper accession-level zero-mass candidate surface	0	0		/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample20.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	21	minco_integrated_candidate_surface_hmp	34	41	33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146761056	0.9626902136826683		integrated wrapper accession-level zero-mass candidate surface	0	0		/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample21.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	22	minco_integrated_candidate_surface_hmp	21	38	19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.64859084035785	0.9885915958918302		integrated wrapper accession-level zero-mass candidate surface	0	0		/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample22.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	23	minco_integrated_candidate_surface_hmp	33	36	31	5	2	0.8611111111111112	0.9393939393939394	0.8985507246376813	28.41923191911534	0.984447024806524		integrated wrapper accession-level zero-mass candidate surface	0	0		/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample23.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	24	minco_integrated_candidate_surface_hmp	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.776347378834924	0.9946961294046558	s__Limosilactobacillus reuteri_L	integrated wrapper accession-level zero-mass candidate surface	1	0	GCA_000236455.2	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample24.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	25	minco_integrated_candidate_surface_hmp	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.876829864906988	0.9844760524405716	s__Limosilactobacillus reuteri_L	integrated wrapper accession-level zero-mass candidate surface	1	0	GCA_000236455.2	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample25.integrated_candidate_surface.tsv
hmp_airskin_gtdb_source_abundance	28	minco_integrated_candidate_surface_hmp	12	15	12	3	0	0.8	1.0	0.888888888888889	18.35263353310751	0.9890339281762489		integrated wrapper accession-level zero-mass candidate surface	0	0		/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample28.integrated_candidate_surface.tsv
hmp_gastrooral_gtdb_source_abundance	0	minco_integrated_candidate_surface_hmp	34	35	33	2	1	0.9428571428571428	0.9705882352941176	0.9565217391304348	19.900922102529275	0.9549294426840412	s__Clostridium_F botulinum	integrated wrapper accession-level zero-mass candidate surface	1	0	GCF_001276985.1	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.integrated_candidate_surface.tsv
hmp_gastrooral_gtdb_source_abundance	6	minco_integrated_candidate_surface_hmp	47	52	45	7	2	0.8653846153846154	0.9574468085106383	0.9090909090909091	78.07306011011983	0.8096239564470539	s__Flavobacterium psychrophilum	integrated wrapper accession-level zero-mass candidate surface	1	0	GCF_002217405.1	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.integrated_candidate_surface.tsv
