route	samples	sample_count	truth_species	called_species	TP	FP	FN	mean_FN_truth_mass_pct	FN_raw_visible	FN_raw_absent	mean_FN_raw_visible_truth_mass_pct	high_truth_FN	high_truth_FN_raw_visible	FN_raw_default_major	mean_raw_species_available	diagnosis
cami3_source_readmap_extension_after_recovery	3,4,5	3	292	220	179	41	113	5.277816181504689	113	0	5.277816181504689	3	3	0	66163.33333333333	raw_visible_gate_or_surface_problem
marine_setup_truth_profile_rescore	3,4,5	3	950	907	725	182	225	17.924925141544858	223	2	17.834481049668437	10	10	29	152141.0	raw_visible_gate_or_surface_problem
