panel	sample	method	F1	official_L1_pp	official_Pearson	truth_mass_detected_pct	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	delta_L1_pp	delta_Pearson
cami2_toy_mouse_gut	5	current_selected_abundance	0.8722222222222222	15.414228172610029	0.9917478920123489	97.67162055848607	13.085848731096162	2.3283794415138734	1.7716600070103263	0.0	0.0
cami2_toy_mouse_gut	5	base_power_p0.90	0.8722222222222222	32.568520056651515	0.9924595385024347	97.67162055848607	30.2401406151376	2.3283794415138734	2.1203476806253194	17.154291884041484	0.0007116464900858155
cami2_toy_mouse_gut	5	base_power_p0.95	0.8722222222222222	23.49807574878831	0.9926403683715722	97.67162055848607	21.16969630727444	2.3283794415138734	1.9480864790830486	8.08384757617828	0.0008924763592232932
cami2_toy_mouse_gut	5	base_power_p1.05	0.8722222222222222	19.46638401925809	0.9900868787801876	97.67162055848607	17.138004577744212	2.3283794415138734	1.595488831422822	4.052155846648061	-0.0016610132321612792
cami2_toy_mouse_gut	5	base_power_p1.10	0.8722222222222222	25.602701198720666	0.9878912080168893	97.67162055848607	23.27432175720682	2.3283794415138734	1.4235664379487378	10.188473026110637	-0.0038566839954595755
cami2_toy_mouse_gut	5	base_uniform_a0.02	0.8722222222222222	17.60739286347321	0.9917300266807363	97.67162055848607	15.27901342195935	2.3283794415138734	1.797955201931848	2.1931646908631794	-1.786533161263204e-05
cami2_toy_mouse_gut	5	base_uniform_a0.05	0.8722222222222222	21.293486812594335	0.9916962954511949	97.67162055848607	18.965107371080453	2.3283794415138734	1.8373979943141314	5.879258639984306	-5.1596561154054754e-05
cami2_toy_mouse_gut	5	base_global_xny_a0.02	0.8722222222222222	15.161861270813464	0.991724331972804	97.67162055848607	12.833481829299586	2.3283794415138734	1.774903197043551	-0.25236690179656485	-2.3560039544956446e-05
cami2_toy_mouse_gut	5	base_global_xny_a0.05	0.8722222222222222	15.143760030773453	0.9916871204219966	97.67162055848607	12.815380589259592	2.3283794415138734	1.779767982093388	-0.2704681418365755	-6.077159035233759e-05
cami2_toy_mouse_gut	5	base_global_xny_a0.10	0.8722222222222222	15.22074791732325	0.991620264762149	97.67162055848607	12.892368475809388	2.3283794415138734	1.7878759571764462	-0.19348025528677937	-0.00012762725019987986
cami2_toy_mouse_gut	5	base_global_probability_a0.02	0.8722222222222222	15.336955182162832	0.991762822040436	97.67162055848607	13.008575740648956	2.3283794415138734	1.7711465500873276	-0.07727299044719693	1.493002808705679e-05
cami2_toy_mouse_gut	5	base_global_probability_a0.05	0.8722222222222222	15.222169754458594	0.9917846859203324	97.67162055848607	12.893790312944725	2.3283794415138734	1.7703763647028283	-0.19205841815143465	3.679390798350113e-05
