panel	sample	selected_F1	sylph_F1	selected_minus_sylph_F1	selected_L1_pp	sylph_L1_pp	selected_minus_sylph_L1_pp	selected_Pearson	sylph_Pearson	selected_minus_sylph_Pearson	selected_oracle_L1_pp	selected_oracle_minus_sylph_L1_pp	allocation_headroom_L1_pp	truth_mass_detected_pct	selected_TP	selected_FP	selected_FN	selected_missing_truth_mass_pp	selected_extra_pred_mass_pp	selected_matched_abs_error_pp	selected_oracle_missing_truth_mass_pp	feasibility_class
cami2_toy_mouse_gut	5	0.8722222222222222	0.934036939313984	-0.061814717091761784	15.41422817260888	6.955714543822669	8.45851362878621	0.9917478920123493	0.9973219758868755	-0.005574083874526292	4.6567588830277655	-2.2989556607949035	10.757469289581113	97.67162055848611	157	5	41	2.3283794415138734	1.7716600070103221	13.085848731095462	2.3283794415138734	allocation_only_can_close_l1_gap
cami2_toy_mouse_gut	6	0.8579387186629526	0.9390862944162436	-0.08114757575329101	19.34922376619843	11.75907489716498	7.590148869033451	0.9744771448630442	0.984875731368632	-0.010398586505587892	2.885947404936714	-8.873127492228267	16.463276361261716	98.55702629753165	154	4	47	1.4429737024683598	2.8486074814788314	17.90625006372974	1.4429737024683598	allocation_only_can_close_l1_gap
cami2_toy_mouse_gut	7	0.9545454545454544	0.9852941176470588	-0.0307486631016044	5.827122498816299	1.4797793963436037	4.347343102472695	0.9984232596633772	0.9999231107314408	-0.0014998510680636068	0.9616619618239086	-0.518117434519695	4.86546053699239	99.51916901908807	63	1	5	0.48083098091197957	0.08940614079843029	5.346291517904376	0.48083098091197957	allocation_only_can_close_l1_gap
cami3_toy_human_gut_gtdb_source_readmap	0	0.8465608465608465	0.7926829268292684	0.05387791973157807	62.22911255209164	26.227898275254685	36.00121427683696	0.9168100125114248	0.980815087824325	-0.06400507531290023	21.12958747118534	-5.098310804069346	41.099525080906304	89.43520626440734	80	16	13	10.564793735592678	10.888789779791102	40.775529036708065	10.564793735592678	allocation_only_can_close_l1_gap
cami3_toy_human_gut_gtdb_source_readmap	1	0.8585365853658536	0.7692307692307692	0.08930581613508448	67.19360511221431	34.373913493677705	32.81969161853661	0.7216589081849197	0.893738120393713	-0.1720792122087933	26.95452995867494	-7.4193835350027655	40.239075153539375	86.52273502066254	88	13	16	13.477264979337491	9.572496824451935	44.143843308424906	13.477264979337491	allocation_only_can_close_l1_gap
cami3_toy_human_gut_gtdb_source_readmap	2	0.772093023255814	0.6626506024096385	0.1094424208461755	43.81898504973305	37.29671042402411	6.522274625708938	0.9544933525370352	0.9625718887886529	-0.008078536251617696	0.9705725847263478	-36.326137839297765	42.8484124650067	99.5147137076368	83	33	16	0.4852862923631529	10.611671585916307	32.72202717145374	0.4852862923631529	allocation_only_can_close_l1_gap
hmp_airskin_gtdb_source_abundance	0	0.8405797101449276	0.9032258064516128	-0.06264609630668516	18.780365281635746	2.510443972648275	16.26992130898747	0.9895037710483946	0.9997787092984864	-0.010274938250091847	0.00958080875177264	-2.500863163896502	18.770784472883975	99.9952095956241	29	7	4	0.004790404375874205	8.65563808421218	10.11993679304769	0.004790404375874205	allocation_only_can_close_l1_gap
hmp_airskin_gtdb_source_abundance	1	0.6799999999999999	0.9902912621359222	-0.3102912621359223	18.10588369009258	2.17840634484424	15.927477345248338	0.9973939434154936	0.9999070970640817	-0.0025131536485880623	3.954356373597756e-14	-2.1784063448442006	18.10588369009254	99.99999999999997	51	48	0	0.0	6.332656980282565	11.773226709810013	0.0	allocation_only_can_close_l1_gap
hmp_airskin_gtdb_source_abundance	3	0.9574468085106383	0.989247311827957	-0.03180050331731865	12.670666989685856	2.961929499475717	9.708737490210138	0.9970245468507752	0.9999263417258692	-0.0029017948750940104	0.43565176916771553	-2.526277730308001	12.23501522051814	99.78217411541613	45	2	2	0.21782588458383687	3.789580264739139	8.663260840362875	0.21782588458383687	allocation_only_can_close_l1_gap
hmp_airskin_gtdb_source_abundance	4	0.8395061728395061	0.97196261682243	-0.1324564439829239	28.726740922959344	4.592947589588487	24.133793333370857	0.9883782682234048	0.9997707840387128	-0.01139251581530798	2.669353064048882	-1.9235945255396052	26.057387858910463	98.66532346797557	102	35	4	1.334676532024448	8.865543139952736	18.52652125098216	1.334676532024448	allocation_only_can_close_l1_gap
hmp_airskin_gtdb_source_abundance	5	0.9615384615384616	0.9433962264150944	0.018142235123367212	10.33773560459712	5.965327211488682	4.372408393108437	0.9983818025644172	0.9982783007541336	0.00010350181028362382	2.87769784172662	-3.087629369762062	7.460037762870499	98.56115107913669	25	1	1	1.4388489208633206	0.8136634300645514	8.085223253669248	1.4388489208633206	allocation_only_can_close_l1_gap
hmp_airskin_gtdb_source_abundance	6	0.9696969696969696	0.9411764705882352	0.028520499108734443	22.192749202192346	3.4030134955207005	18.789735706671646	0.9144670910865694	0.9989848198040682	-0.08451772871749874	0.0	-3.4030134955207005	22.192749202192346	100.0	16	1	0	0.0	10.87576426722284	11.316984934969504	0.0	allocation_only_can_close_l1_gap
hmp_airskin_gtdb_source_abundance	7	0.8414634146341463	0.9605263157894736	-0.11906290115532725	27.609399687248192	5.2057183591225575	22.403681328125636	0.9875542782678018	0.999444413468746	-0.011890135200944174	1.4505643710257439	-3.7551539880968137	26.158835316222447	99.27471781448712	69	20	6	0.7252821855128653	4.040275521872296	22.84384197986302	0.7252821855128653	allocation_only_can_close_l1_gap
