method	samples	mean_F1	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only
sylph_gtdb_source_abundance	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.9609328477275184	1061	43	34	0.9649840836743975	5.356745059601248	4.655257419222468	0.9979498059022434	0.9983246156962114
minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8695844068735173	1032	307	63	0.8479868529170089	22.538526482578405	16.915586755726192	0.9809237855745333	0.9876424418902087
