method	mean_delta_F1	min_delta_F1	sample_worsen_n	sample_improve_n	mean_delta_L1_union_pp	mean_delta_Pearson_union	total_TP_delta	total_FP_delta	total_FN_delta	rescued_TP	rescued_FP	panel_worsen_n	panel_improve_n	min_panel_delta_pooled_F1	mean_panel_delta_pooled_F1	strict_pass
raw_ani0.97_xny650_breadth0.30	0.0019664311153838186	0.0	0	6	0.0	2.2115245694111896e-06	30	3	-30	30	3	0	3	0.0	0.004594291896822446	True
raw_ani0.97_xny650_breadth0.50	0.0019664311153838186	0.0	0	6	0.0	2.2115245694111896e-06	30	3	-30	30	3	0	3	0.0	0.004594291896822446	True
raw_ani0.95_xny650_breadth0.20_depth5	0.0017007964110218967	0.0	0	8	0.0	1.7672715074612803e-06	12	3	-12	12	3	0	5	0.0	0.0027590275892082233	True
raw_ani0.95_xny650_breadth0.30_depth5	0.0017007964110218967	0.0	0	8	0.0	1.7672715074612803e-06	12	3	-12	12	3	0	5	0.0	0.0027590275892082233	True
raw_ani0.93_xny500_breadth0.20	0.0030915027020504272	-0.05305514157973168	6	24	0.0	0.00015665423759128928	77	58	-77	77	58	0	7	0.00104799230515229	0.0064820489469853415	False
raw_ani0.93_xny500_breadth0.05	0.002787061639628863	-0.05305514157973168	6	24	0.0	0.0001570446379417836	77	62	-77	77	62	0	7	0.00104799230515229	0.00552922997460887	False
raw_ani0.93_xny500_breadth0.10	0.002787061639628863	-0.05305514157973168	6	24	0.0	0.0001570446379417836	77	62	-77	77	62	0	7	0.00104799230515229	0.00552922997460887	False
raw_ani0.95_xny100_breadth0.20	0.0047796193287627945	-0.004417320546352688	1	14	0.0	9.924461777060433e-05	97	38	-97	97	38	0	7	0.0007216341678618621	0.008957683071786317	False
raw_ani0.95_xny250_breadth0.20	0.004545675752387825	-0.004417320546352688	1	14	0.0	9.886880110506731e-05	91	37	-91	91	37	0	7	0.0007216341678618621	0.008498509115104318	False
raw_ani0.95_xny100_breadth0.30	0.004089970531588854	-0.004417320546352688	1	14	0.0	9.495100760308815e-05	73	28	-73	73	28	0	7	0.0007216341678618621	0.007791629266436617	False
raw_ani0.95_xny250_breadth0.30	0.004089970531588854	-0.004417320546352688	1	14	0.0	9.495100760308815e-05	73	28	-73	73	28	0	7	0.0007216341678618621	0.007791629266436617	False
raw_ani0.95_xny500_breadth0.20	0.0031512045000857613	-0.004417320546352688	1	14	0.0	8.559642665107409e-05	51	25	-51	51	25	0	7	0.0007216341678618621	0.005959486369859213	False
raw_ani0.95_xny500_breadth0.05	0.0030919006404134045	-0.004417320546352688	1	14	0.0	8.73353467473967e-05	51	27	-51	51	27	0	7	0.0007216341678618621	0.005840971210224454	False
raw_ani0.95_xny500_breadth0.10	0.0030919006404134045	-0.004417320546352688	1	14	0.0	8.73353467473967e-05	51	27	-51	51	27	0	7	0.0007216341678618621	0.005840971210224454	False
raw_ani0.95_xny500_breadth0.30	0.0030789538422666563	-0.004417320546352688	1	14	0.0	8.559642665107409e-05	50	25	-50	50	25	0	7	0.0007216341678618621	0.005771960275426258	False
raw_ani0.95_xny500_breadth0.20_depth2	0.002440578047042793	-0.004417320546352688	1	12	0.0	7.834488639034248e-05	34	15	-34	34	15	0	7	0.0007216341678618621	0.003991365525999673	False
raw_ani0.95_xny500_breadth0.30_depth2	0.002440578047042793	-0.004417320546352688	1	12	0.0	7.834488639034248e-05	34	15	-34	34	15	0	7	0.0007216341678618621	0.003991365525999673	False
raw_ani0.93_xny500_breadth0.30	0.0033077404043461156	-0.0045033112582780754	3	17	0.0	8.932183320413884e-05	55	32	-55	55	32	0	7	0.00062198505353106	0.006009460765549249	False
raw_ani0.93_xny500_breadth0.20_depth2	0.0023811486506017995	-0.05305514157973168	6	23	0.0	0.00014945444441032872	60	48	-60	60	48	0	7	0.0005730816916931225	0.004513813937222356	False
raw_ani0.93_xny500_breadth0.30_depth2	0.0026693646091222522	-0.0045033112582780754	3	15	0.0	8.207029294340724e-05	39	22	-39	39	22	0	7	0.0002872134769401624	0.0042289135990322135	False
raw_ani0.95_xny500_breadth0.20_depth5	0.0015212744151756213	-0.0007062146892656829	1	7	0.0	1.7442426504848823e-05	14	6	-14	14	6	0	5	0.0	0.002273353020702275	False
raw_ani0.95_xny500_breadth0.30_depth5	0.0015212744151756213	-0.0007062146892656829	1	7	0.0	1.7442426504848823e-05	14	6	-14	14	6	0	5	0.0	0.002273353020702275	False
raw_ani0.93_xny100_breadth0.30	0.004146153302857603	-0.0045033112582780754	5	16	0.0	0.0001009305521722295	78	38	-78	78	38	1	6	-0.0004540763673891446	0.007631987114733008	False
raw_ani0.93_xny250_breadth0.30	0.004146153302857603	-0.0045033112582780754	5	16	0.0	0.0001009305521722295	78	38	-78	78	38	1	6	-0.0004540763673891446	0.007631987114733008	False
raw_ani0.93_xny650_breadth0.20_depth5	0.004604385170129709	-0.0023809153296712182	1	17	0.0	1.3393386717226503e-05	24	8	-24	24	8	1	6	-0.0010313126425659513	0.003986210777987728	False
raw_ani0.93_xny650_breadth0.30_depth5	0.0024981104144092257	-0.0023809153296712182	1	12	0.0	2.0240454394619656e-06	16	5	-16	16	5	1	6	-0.0010313126425659513	0.0033214569147022983	False
raw_ani0.93_xny500_breadth0.30_depth5	0.0015430691411203715	-0.0045033112582780754	4	11	0.0	2.116783305791358e-05	18	13	-18	18	13	1	6	-0.0010313126425659513	0.0021538459568444085	False
raw_ani0.93_xny500_breadth0.20_depth5	0.0007812429631426623	-0.05305514157973168	9	18	0.0	8.758105047621173e-05	35	36	-35	35	36	2	5	-0.0026064542142477665	0.0018170036320917435	False
raw_ani0.97_xny100_breadth0.10	-0.0004218389634337036	-0.10416666666666663	3	5	0.0	0.00024671114258521646	110	43	-110	110	43	2	2	-0.013928546556166932	0.0057345147236191095	False
raw_ani0.97_xny250_breadth0.10	-0.0015634699630381668	-0.10416666666666663	3	5	0.0	0.0002318600887570312	71	34	-71	71	34	2	2	-0.013928546556166932	0.002935158892840049	False
raw_ani0.93_xny100_breadth0.20	-0.016046675659482368	-0.19999999999999996	30	11	0.0	0.00039519433643922324	129	168	-129	129	168	5	2	-0.014719526184335585	0.00011047565483433632	False
raw_ani0.93_xny250_breadth0.20	-0.016280252716238692	-0.19999999999999996	30	11	0.0	0.00039482269635953603	123	167	-123	123	167	5	2	-0.014719526184335585	-0.0003472915033890007	False
raw_ani0.97_xny250_breadth0.05	-0.002735351387162475	-0.10416666666666663	3	5	0.0	0.000248060915713107	71	39	-71	71	39	2	2	-0.029299014238773236	0.0006405691858779594	False
raw_ani0.97_xny100_breadth0.05	-0.003634718289716133	-0.14251012145748987	4	5	0.0	0.000327743811648568	118	58	-118	118	58	2	2	-0.034306718399019775	0.0029266962214992936	False
raw_ani0.95_xny100_breadth0.10	-5.5356421211032406e-05	-0.11698717948717952	5	14	0.0	0.0003503524932005045	140	74	-140	140	74	2	5	-0.039258156220387086	0.005514311543668564	False
raw_ani0.95_xny250_breadth0.10	-0.001227560279593437	-0.11698717948717952	4	13	0.0	0.0003309683443983057	93	61	-93	93	61	2	5	-0.039258156220387086	0.0023043024623679337	False
raw_ani0.93_xny100_breadth0.10	-0.022944037808275194	-0.22638888888888886	30	11	0.0	0.0006433071778504152	178	229	-178	178	229	5	2	-0.058519793459552494	-0.005571457973927647	False
raw_ani0.93_xny250_breadth0.10	-0.023981803688559237	-0.22638888888888886	29	12	0.0	0.000625469624293964	127	211	-127	127	211	5	2	-0.058519793459552494	-0.008842722014008677	False
raw_ani0.95_xny250_breadth0.05	-0.0029588752065881773	-0.11698717948717952	4	13	0.0	0.00035556403253288795	93	69	-93	93	69	2	5	-0.06320363420896702	-0.001264215417900291	False
raw_ani0.95_xny100_breadth0.05	-0.004823313903636359	-0.16410256410256419	5	14	0.0	0.0004573046806786034	152	101	-152	152	101	2	5	-0.0814380516719283	-0.00046759564571071825	False
raw_ani0.93_xny250_breadth0.05	-0.02633973445902792	-0.24184782608695643	29	12	0.0	0.000665852478356697	127	222	-127	127	222	5	2	-0.08587541655985642	-0.012982971073333889	False
raw_ani0.93_xny100_breadth0.05	-0.02874446261707051	-0.284438775510204	29	13	0.0	0.0007573194649167864	199	275	-199	199	275	4	3	-0.11974428325547093	-0.01385726499525313	False
