panel	method	samples	sample_count	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_official_L1_pp	mean_Pearson_union	mean_added_mass_before_norm
cami2_toy_mouse_gut	normalized_depth_alpha0.05	5,6,7	3	374	10	93	0.8789659224441834	13.763729024107873	0.9875981446883011	2.6566666666666668e-05
cami2_toy_mouse_gut	normalized_depth_alpha0.1	5,6,7	3	374	10	93	0.8789659224441834	13.759653409823587	0.9875997031156175	5.3133333333333335e-05
cami2_toy_mouse_gut	normalized_depth_alpha0.25	5,6,7	3	374	10	93	0.8789659224441834	13.747486039611694	0.9876042788502138	0.00013283333333333333
cami2_toy_mouse_gut	normalized_depth_alpha0.25_cap0.001	5,6,7	3	374	10	93	0.8789659224441834	13.747486039611694	0.9876042788502138	0.00013283333333333333
cami2_toy_mouse_gut	normalized_depth_alpha0.25_cap0.003	5,6,7	3	374	10	93	0.8789659224441834	13.747486039611694	0.9876042788502138	0.00013283333333333333
cami2_toy_mouse_gut	normalized_depth_alpha0.25_cap0.005	5,6,7	3	374	10	93	0.8789659224441834	13.747486039611694	0.9876042788502138	0.00013283333333333333
cami2_toy_mouse_gut	normalized_depth_alpha0.25_cap0.01	5,6,7	3	374	10	93	0.8789659224441834	13.747486039611694	0.9876042788502138	0.00013283333333333333
cami2_toy_mouse_gut	normalized_depth_alpha0.25_cap0.02	5,6,7	3	374	10	93	0.8789659224441834	13.747486039611694	0.9876042788502138	0.00013283333333333333
cami2_toy_mouse_gut	normalized_depth_alpha0.25_cap0.05	5,6,7	3	374	10	93	0.8789659224441834	13.747486039611694	0.9876042788502138	0.00013283333333333333
cami2_toy_mouse_gut	normalized_depth_alpha0.5	5,6,7	3	374	10	93	0.8789659224441834	13.727220008820403	0.9876115732186954	0.00026566666666666666
cami2_toy_mouse_gut	normalized_depth_alpha0.5_cap0.001	5,6,7	3	374	10	93	0.8789659224441834	13.727220008820403	0.9876115732186954	0.00026566666666666666
cami2_toy_mouse_gut	normalized_depth_alpha0.5_cap0.003	5,6,7	3	374	10	93	0.8789659224441834	13.727220008820403	0.9876115732186954	0.00026566666666666666
cami2_toy_mouse_gut	normalized_depth_alpha0.5_cap0.005	5,6,7	3	374	10	93	0.8789659224441834	13.727220008820403	0.9876115732186954	0.00026566666666666666
cami2_toy_mouse_gut	normalized_depth_alpha0.5_cap0.01	5,6,7	3	374	10	93	0.8789659224441834	13.727220008820403	0.9876115732186954	0.00026566666666666666
cami2_toy_mouse_gut	normalized_depth_alpha0.5_cap0.02	5,6,7	3	374	10	93	0.8789659224441834	13.727220008820403	0.9876115732186954	0.00026566666666666666
cami2_toy_mouse_gut	normalized_depth_alpha0.5_cap0.05	5,6,7	3	374	10	93	0.8789659224441834	13.727220008820403	0.9876115732186954	0.00026566666666666666
cami2_toy_mouse_gut	normalized_depth_alpha1	5,6,7	3	374	10	93	0.8789659224441834	13.686736326201368	0.9876249172775452	0.0005313333333333333
cami2_toy_mouse_gut	normalized_depth_alpha10	5,6,7	3	374	10	93	0.8789659224441834	13.498092786050703	0.9875812042962306	0.005313333333333333
cami2_toy_mouse_gut	normalized_depth_alpha1_cap0.001	5,6,7	3	374	10	93	0.8789659224441834	13.716902487743424	0.987615129548778	0.0003333333333333333
cami2_toy_mouse_gut	normalized_depth_alpha1_cap0.003	5,6,7	3	374	10	93	0.8789659224441834	13.686736326201368	0.9876249172775452	0.0005313333333333333
cami2_toy_mouse_gut	normalized_depth_alpha1_cap0.005	5,6,7	3	374	10	93	0.8789659224441834	13.686736326201368	0.9876249172775452	0.0005313333333333333
cami2_toy_mouse_gut	normalized_depth_alpha1_cap0.01	5,6,7	3	374	10	93	0.8789659224441834	13.686736326201368	0.9876249172775452	0.0005313333333333333
cami2_toy_mouse_gut	normalized_depth_alpha1_cap0.02	5,6,7	3	374	10	93	0.8789659224441834	13.686736326201368	0.9876249172775452	0.0005313333333333333
cami2_toy_mouse_gut	normalized_depth_alpha1_cap0.05	5,6,7	3	374	10	93	0.8789659224441834	13.686736326201368	0.9876249172775452	0.0005313333333333333
cami2_toy_mouse_gut	normalized_depth_alpha2	5,6,7	3	374	10	93	0.8789659224441834	13.60596193872049	0.987646625235865	0.0010626666666666666
cami2_toy_mouse_gut	normalized_depth_alpha2_cap0.001	5,6,7	3	374	10	93	0.8789659224441834	13.716902487743424	0.987615129548778	0.0003333333333333333
cami2_toy_mouse_gut	normalized_depth_alpha2_cap0.003	5,6,7	3	374	10	93	0.8789659224441834	13.615475299934625	0.9876444104139493	0.001
