sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	kept_rows	removed_rows	removed_tp_rows	removed_fp_rows
8	current_calls	56	80	55	25	1	0.6875	0.9821428571428571	0.8088235294117647	19.710972221830687	14.985493079808073	0.9757098818181669	0.9829198285049858	80	0	0	0
8	min_xny_ge_25	56	60	55	5	1	0.9166666666666666	0.9821428571428571	0.9482758620689654	19.699022029402013	14.982845288008534	0.9749833516890513	0.9829198285049859	60	20	0	20
8	min_breadth_ge_0.05	56	58	55	3	1	0.9482758620689655	0.9821428571428571	0.9649122807017544	19.557355407245268	14.951801538876557	0.9748710360379179	0.9829198285049863	58	22	0	22
8	drop_prob_lt_0.5_and_xny_lt_500	56	56	52	4	4	0.9285714285714286	0.9285714285714286	0.9285714285714286	19.76089835647337	15.097291222142273	0.974888841692891	0.9828971645251161	56	24	3	21
8	drop_prob_lt_0.7_and_breadth_lt_0.2	56	51	51	0	5	1.0	0.9107142857142857	0.9532710280373832	15.4818147356637	15.4818147356637	0.9828897690883468	0.9828897690883468	51	29	4	25
8	drop_prob_lt_0.5_and_breadth_lt_0.05	56	59	55	4	1	0.9322033898305084	0.9821428571428571	0.9565217391304348	19.614237418718943	14.964157624050378	0.9749276683544784	0.9829198285049863	59	21	0	21
8	drop_prob_lt_0.5_and_realaf_lt_0.3	56	58	54	4	2	0.9310344827586207	0.9642857142857143	0.9473684210526316	19.676980341914877	15.023169137303267	0.9749160820117396	0.9829126818620038	58	22	1	21
8	drop_ani_lt_0.95_and_breadth_lt_0.05	56	78	55	23	1	0.7051282051282052	0.9821428571428571	0.8208955223880596	19.569266861976832	14.95438898164439	0.9756497136638727	0.9829198285049855	78	2	0	2
