panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta	method
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	-0.05171725580526498	-5.145161140607257e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.007181122966365194	0.00036404274630796873	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	-0.3004087610265813	0.001105449020138427	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-0.08035808539537115	1.631708408011967e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.0790285481198918	7.464622064579096e-06	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-0.0601496214192796	2.6731937354806945e-06	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-0.3815709846424298	9.152265067324805e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.05707951691908164	4.434774476724801e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-0.4204520116860877	0.0009570419186629708	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	-0.3270769548475947	0.0002694363237470965	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	-0.9916921503059797	0.002716500855216908	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-0.022730669271883386	2.17006748869375e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-0.016661216857670524	3.1622080680082654e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.0007034547347046782	9.142547783924648e-05	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	-0.46532071443203904	0.001013536284605876	genus_xny_a0.05
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	-0.15385096168841983	0.00043011744554621867	genus_xny_a0.05
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	0.042386833469482355	-0.00017684443555687768	genus_xny_a0.05
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	-0.12278611430427588	0.0010107954961443566	genus_xny_a0.05
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	-0.33796815925002477	7.504507321265397e-05	genus_xny_a0.10
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	-0.08909525082854586	-0.00015524830487023689	genus_xny_a0.10
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	-0.015057669579784161	-5.9228282231371665e-05	genus_xny_a0.10
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	-0.10497824614794382	0.0002997535294667619	genus_xny_a0.10
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	-0.07133666917084724	0.0003841440171430399	genus_xny_a0.10
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	-0.5622275327402306	0.00034948766658537966	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	-0.6982972093221811	0.0013968236976797943	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	-0.31118299388528214	0.00010133871615758405	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	-0.2047988801977123	1.8913791540176028e-05	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	-0.5216846572029219	0.00022936900292358509	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	-0.13576387926206657	-8.39555954612603e-06	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	0.3744985465323012	-0.00166859737983438	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	-0.7865459482010273	0.0003368497564198991	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	-1.4793900051150963	0.001164443081269284	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	-0.09713265779725688	-0.00011120952751764168	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.014362245932765916	0.0007140451141871562	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	-0.6008175220530774	0.002188085072633239	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-0.1607161707906819	3.189100572686954e-05	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.15805709623974273	1.4678351541008716e-05	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-0.12029924283851656	5.259864276130344e-06	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-0.7574967586202668	0.00017940286948670003	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.09722278185783395	8.809432435374909e-05	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-0.7419720177850948	0.0018668971357596043	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	-0.6541539096951539	0.0005248499391370398	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	-1.7351153658846599	0.005228263015254697	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-0.04546133854378809	4.1889860461385986e-05	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-0.03332243371535526	5.845280127758645e-05	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.0014069094693738293	0.0001773213355034109	genus_xny_a0.10
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	-0.8534386441344282	0.0019564739225264027	genus_xny_a0.10
