panel	sample	profile	selected_F1	selected_L1_pp	selected_Pearson	n_calls	n_base_calls	n_candidate_calls	candidate_call_frac	candidate_raw_frac	abundance_entropy	top1_abundance	top3_abundance	raw_mass_sum	base_raw_mass	s_xny_median	s_xny_mean	u_xny_median	xny_max_median	xny_max_mean	s_breadth_median	u_breadth_median	s_depth_median	u_depth_median	s_zip_median	u_zip_median	probability_mean	probability_min	reported_ani_median	base_genus_count	multi_species_genus_count	max_species_per_genus	base_mass_multi_genus_frac	evidence_group
hmp_airskin_gtdb_source_abundance	13	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample13.integrated_candidate_surface_abundance.tsv	0.925	54.74798404447642	0.9105244185423929	40.0	40.0	0.0	0.0	0.0	2.247694461410896	0.349584274004052	0.699637758315744	73.84212257489807	73.84212257489807	309.0	487.025	218.0	309.0	487.025	0.2551565	0.218	0.26559	0.2255	1.0	1.0	0.8313151421599437	0.394052863565713	1.0	13.0	5.0	12.0	0.9723627662797748	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	14	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample14.integrated_candidate_surface_abundance.tsv	0.8999999999999999	14.247572698891384	0.9988928181803316	32.0	30.0	2.0	0.0625	0.0069158381034475	1.9220750703134448	0.5687834518979213	0.7157296336174724	695.3589189688282	690.5499292614517	918.0	800.5	641.5	918.0	800.5	0.739814	0.6415	4.6237055	0.717	0.8299425	1.0	0.8259008443779762	0.0	1.0	20.0	4.0	5.0	0.8444018655207838	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	15	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample15.integrated_candidate_surface_abundance.tsv	0.9583333333333334	8.654145647602354	0.9996229749681824	24.0	22.0	2.0	0.0833333333333333	0.0044540724797257	1.2180868551400073	0.7182847046139309	0.853233500013144	673.5257222094492	670.5257898257688	834.5	708.7083333333334	574.5	834.5	708.7083333333334	0.614458	0.5745	2.004049	0.6695	0.6719005	1.0	0.7681231122048104	0.0	1.0	10.0	3.0	8.0	0.921685340398388	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	16	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface_abundance.tsv	1.0	6.914589514693759	0.9998353757011104	10.0	10.0	0.0	0.0	0.0	1.1552525099779345	0.71788102649343	0.8440494861254986	700.4183300548	700.4183300548	923.5	856.7	677.0	923.5	856.7	0.7847235	0.677	20.177993	1.19	0.7847235	0.9923665	0.8893429581675196	0.609185135408064	0.98898	5.0	1.0	6.0	0.8873258813092646	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	17	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface_abundance.tsv	0.773109243697479	26.52518064311284	0.996009577889128	73.0	73.0	0.0	0.0	0.0	2.398346652777461	0.5062832210182114	0.6412523749243779	765.7900750735467	765.7900750735467	594.0	558.2328767123288	322.0	594.0	558.2328767123288	0.4141	0.322	1.170239	0.352	0.732249	1.0	0.7428647843864737	0.3856249602568238	0.985835	32.0	13.0	11.0	0.9270131475020652	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	18	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface_abundance.tsv	0.9629629629629628	11.411039745670228	0.9950982254305216	27.0	26.0	1.0	0.037037037037037	0.0048345139313216	1.9334373776247105	0.3546945258790364	0.780422392405311	773.9832960573382	770.2414630299387	944.0	857.7407407407408	651.0	944.0	857.7407407407408	0.780363	0.651	3.189823	0.865	0.8236	1.0	0.8614170694964692	0.0	1.0	17.0	4.0	6.0	0.4829930883645831	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	19	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample19.integrated_candidate_surface_abundance.tsv	0.816793893129771	37.16496661201054	0.964017170345746	151.0	147.0	4.0	0.0264900662251655	0.0104320255862695	3.9703170517910777	0.1387712971485335	0.2606281826084841	871.0695745187003	861.9825544299003	662.0	576.1986754966888	316.0	662.0	576.1986754966888	0.442876	0.316	1.305214	0.385	0.655225	1.0	0.714599158205944	0.0	0.980783	69.0	20.0	28.0	0.870935776884278	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	20	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample20.integrated_candidate_surface_abundance.tsv	0.8216216216216216	25.952986359054343	0.990482300426512	106.0	106.0	0.0	0.0	0.0	2.8814190841566005	0.3966736609315463	0.5216915261115583	724.4890725705683	724.4890725705683	619.5	533.566037735849	348.0	619.5	533.566037735849	0.4319225	0.348	0.9391045	0.3755	0.7843195000000001	1.0	0.7480924038646374	0.4119697462899382	0.988957	50.0	15.0	16.0	0.9381864563008664	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	21	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample21.integrated_candidate_surface_abundance.tsv	0.8800000000000001	34.744967146761056	0.9626902136826684	41.0	41.0	0.0	0.0	0.0	2.617338491044714	0.2656787040768778	0.53269249891724	391.7033044552195	391.7033044552195	653.0	607.9268292682926	382.0	653.0	607.9268292682926	0.468217	0.382	1.078487	0.432	0.651591	1.0	0.7737325184737605	0.40907579840477	0.98053	22.0	10.0	6.0	0.9198079629646788	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	22	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample22.integrated_candidate_surface_abundance.tsv	0.6440677966101696	20.64859084035785	0.9885915958918302	38.0	38.0	0.0	0.0	0.0	2.291796190280048	0.3792830690760033	0.5642660520152663	848.8703787107715	848.8703787107715	461.0	456.078947368421	135.5	461.0	456.078947368421	0.2510185	0.1355	2.1209435	0.196	0.737776	1.0	0.6555107563597196	0.4057023585796319	0.9861765	26.0	5.0	5.0	0.545823604508478	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	23	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample23.integrated_candidate_surface_abundance.tsv	0.8985507246376813	28.41923191911534	0.984447024806524	36.0	36.0	0.0	0.0	0.0	1.9350439942190685	0.4999916132807124	0.7532725879318107	464.9654682128142	464.9654682128142	530.5	556.3333333333334	238.0	530.5	556.3333333333334	0.2924065	0.238	0.8019215	0.2565	0.6248415	1.0	0.7486860426503821	0.351842551771164	0.9786195	16.0	6.0	9.0	0.8847284235502406	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	24	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample24.integrated_candidate_surface_abundance.tsv	0.9285714285714286	13.48240281413944	0.9950654879951978	27.0	26.0	1.0	0.037037037037037	0.0047770700636942	2.49968174916058	0.2255969911269918	0.5376168579180101	807.3040000154564	803.4474522446819	876.0	825.3333333333334	713.0	876.0	825.3333333333334	0.801606	0.713	6.768028	1.077	0.801606	1.0	0.8371612627863052	0.0	1.0	14.0	7.0	6.0	0.727914078856979	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	25	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample25.integrated_candidate_surface_abundance.tsv	0.73015873015873	23.82652637144698	0.9845564248854468	77.0	76.0	1.0	0.0129870129870129	0.0023504623107957	3.1973554189963105	0.1580310624663621	0.41338682285868	649.7266726252701	648.1995145689457	524.0	470.46753246753246	130.0	524.0	470.46753246753246	0.217014	0.13	0.865539	0.133	0.644305	1.0	0.6570522560369159	0.0	0.980019	44.0	16.0	8.0	0.9088149119014302	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	28	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample28.integrated_candidate_surface_abundance.tsv	0.888888888888889	18.35263353310751	0.9890339281762488	15.0	15.0	0.0	0.0	0.0	2.0907917516529606	0.4383429447488456	0.5905027701971798	36.13808924085987	36.13808924085987	848.0	747.6666666666666	575.0	848.0	747.6666666666666	0.600815	0.575	1.318033	1.098	1.0	1.0	0.6792409548581196	0.0070467015331292	1.0	8.0	2.0	5.0	0.8259409560651796	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	3	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample3.integrated_candidate_surface_abundance.tsv	0.9574468085106383	12.670666989685856	0.9970245468507752	47.0	47.0	0.0	0.0	0.0	2.1251718315774086	0.5492772773556349	0.6611939024027145	843.9592241304858	843.9592241304858	760.0	733.4893617021277	508.0	760.0	733.4893617021277	0.584087	0.508	2.256168	0.685	0.69341	1.0	0.8506839891467379	0.3757683932807379	1.0	26.0	13.0	6.0	0.9481030574518384	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	4	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample4.integrated_candidate_surface_abundance.tsv	0.8395061728395061	28.726740922959344	0.9883782682234048	137.0	137.0	0.0	0.0	0.0	3.212097233592452	0.261071425440598	0.5210641531805225	699.6853467325391	699.6853467325391	477.0	499.4817518248176	268.0	477.0	499.4817518248176	0.343312	0.268	0.642374	0.297	0.595753	1.0	0.7347940189481543	0.3551996818902455	0.976458	60.0	24.0	16.0	0.916174235632834	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	5	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface_abundance.tsv	0.9615384615384616	10.33773560459712	0.9983818025644172	26.0	26.0	0.0	0.0	0.0	2.39904478962427	0.3842552463633354	0.5720820757787146	573.7486646829607	573.7486646829607	808.0	784.9615384615385	640.5	808.0	784.9615384615385	0.669617	0.6405000000000001	5.368493	0.8265	0.6825785	1.0	0.8839778628949915	0.4088406006976751	1.0	16.0	4.0	6.0	0.3630175479751035	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	6	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv	0.9696969696969696	22.192749202192346	0.9144670910865694	17.0	16.0	1.0	0.0588235294117647	0.0124100552457815	2.1951861164458526	0.2105747634141996	0.559432929034342	994.8354944947027	982.4895310475592	1000.0	930.0	558.0	1000.0	930.0	0.730534	0.558	13.597066	1.656	0.750435	0.99174	0.8691674567078276	0.0	0.999623	15.0	1.0	2.0	0.289447948046596	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	7	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface_abundance.tsv	0.8414634146341463	27.609399687248192	0.9875542782678018	89.0	89.0	0.0	0.0	0.0	2.48640702116496	0.4095192195654438	0.6349195553383437	687.4666704624319	687.4666704624319	503.0	482.8314606741573	295.0	503.0	482.8314606741573	0.348356	0.295	0.618033	0.317	0.597708	1.0	0.7417102480403621	0.3620153403656558	0.976607	33.0	13.0	15.0	0.9687283892089228	selected_cached_wrapper
hmp_airskin_gtdb_source_abundance	9	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface_abundance.tsv	0.9292929292929292	31.5269302502451	0.9866666556242838	102.0	102.0	0.0	0.0	0.0	2.7006520938017053	0.3064669943179232	0.5973802310674768	699.3135248795265	699.3135248795265	369.5	470.0392156862745	279.5	369.5	470.0392156862745	0.3088575	0.2794999999999999	0.4603655	0.289	0.6406925	1.0	0.7939919801116325	0.3693380898944734	0.979763	46.0	14.0	23.0	0.9546279474109736	selected_cached_wrapper
hmp_gastrooral_gtdb_source_abundance	0	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv	0.9565217391304348	14.879895462236314	0.9819928784641778	35.0	34.0	1.0	0.0285714285714285	0.0594661906311546	2.4982622980063542	0.3104449403655411	0.5074370013060663	561.1881518889805	527.8164302688051	808.0	779.1714285714286	684.0	808.0	779.1714285714286	0.733363	0.684	2.52652	0.722	0.833398	1.0	0.8413353530251445	0.0	1.0	23.0	4.0	6.0	0.6731245347668775	selected_cached_wrapper
hmp_gastrooral_gtdb_source_abundance	6	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv	0.9090909090909092	77.83598901257037	0.8105695195652595	52.0	51.0	1.0	0.0192307692307692	0.0071130421659233	3.3778160457679505	0.1292569937991806	0.308573537458535	82.48870603485827	81.90196039061986	832.0	760.25	496.5	832.0	760.25	0.6525935	0.4965	0.817909	0.685	1.0	1.0	0.7896682853409669	0.0	1.0	31.0	8.0	10.0	0.621088592780652	selected_cached_wrapper
plant_holdout	3	/tmp/minco_exactsplit_universal_20260626/plant_holdout3_universal_exactsplit_strategy.tsv	0.6181818181818182	1.0469200616844558	0.9921425285240929	80.0	80.0	0.0	0.0	0.0	3.119901303723326	0.170316413589927	0.4069286055791142	167.44547386658593	167.44547386658593	217.0	300.8125	78.0	217.0	300.8125	0.09546550000000001	0.078	0.16103499999999998	0.113	0.5719065000000001	1.0	0.7319973440069705	0.361560571142655	0.0	55.0	15.0	7.0	0.7940090375391571	external_exactsplit_diagnostic
plant_holdout	4	/tmp/minco_exactsplit_universal_20260626/plant_holdout4_universal_exactsplit_strategy.tsv	0.6296296296296297	0.47369915881872293	0.9981029922806188	78.0	78.0	0.0	0.0	0.0	2.705017351641129	0.3634363116061767	0.5217563270950231	183.99737843964698	183.99737843964698	197.5	314.64102564102564	101.0	197.5	314.64102564102564	0.118278	0.101	0.1491875	0.121	0.615953	0.972307	0.7702548139541169	0.3895753249474346	0.0	58.0	13.0	5.0	0.7627789041968822	external_exactsplit_diagnostic
plant_holdout	5	/tmp/minco_exactsplit_universal_20260626/plant_holdout5_universal_exactsplit_strategy.tsv	0.5882352941176472	0.9483396147682904	0.7768171258847472	64.0	64.0	0.0	0.0	0.0	2.9239636301531684	0.1586869343497302	0.43499781608558286	188.05124817505	188.05124817505	271.0	382.921875	147.0	271.0	382.921875	0.1733285	0.147	0.27467699999999995	0.20850000000000002	0.6641355	0.9660614999999999	0.797186255124563	0.3565312551989218	0.0	46.0	12.0	4.0	0.7627621328639334	external_exactsplit_diagnostic
strainmadness	0	/tmp/minco_exactsplit_universal_20260626/strain0_universal_exactsplit_strategy.tsv	0.47058823529411764	0.6538287291428433	0.8939718661852695	14.0	14.0	0.0	0.0	0.0	1.9952724091057494	0.2567181129343474	0.639609780557272	181.61172011808728	181.61172011808728	666.0	632.5714285714286	240.0	666.0	632.5714285714286	0.3308135	0.24	1.9726195	0.8755	0.533049	0.916615	0.6891447427950259	0.0272122758231736	0.0	11.0	3.0	2.0	0.6278510169316203	external_exactsplit_diagnostic
strainmadness	1	/tmp/minco_exactsplit_universal_20260626/strain1_universal_exactsplit_strategy.tsv	0.6976744186046512	0.8734446798401095	0.7930644499006302	23.0	23.0	0.0	0.0	0.0	2.3297259573763545	0.2659244886466135	0.5409802822644814	226.5938526354472	226.5938526354472	389.0	498.3478260869565	138.0	389.0	498.3478260869565	0.183133	0.138	0.554911	0.253	0.328526	1.0	0.7475106480544207	0.3643093611924362	0.0	15.0	5.0	5.0	0.827329587120802	external_exactsplit_diagnostic
strainmadness	2	/tmp/minco_exactsplit_universal_20260626/strain2_universal_exactsplit_strategy.tsv	0.717948717948718	0.7520632692341463	0.7844286373343009	19.0	19.0	0.0	0.0	0.0	1.8765662649195487	0.3075527118771338	0.6946990101058554	253.31339461674096	253.31339461674096	316.0	420.6842105263158	96.0	316.0	420.6842105263158	0.115844	0.096	0.348119	0.304	0.493698	1.0	0.6616242461691251	0.3503208557504212	0.0	14.0	3.0	4.0	0.7047093426382435	external_exactsplit_diagnostic
