panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	L1_union_pp	Pearson_union	added_species	rule	added_rows	nonzero_added_rows	added_raw_mass	added_abundance_mass	base_called_raw_mass	max_added_raw_mass_delta	added_policy_values	added_accessions	profile
hmp_airskin_gtdb_source_abundance	13	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	40	40	37	3	3	0.925	0.925	0.925	54.74798404447642	0.9105244185423927		integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	0	0	0.0	0.0	73.84212257489807	0.0			/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample13.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	14	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	28	32	27	5	1	0.84375	0.9642857142857143	0.8999999999999999	14.247572698891384	0.9988928181803315	s__Streptococcus pneumoniae,s__Streptococcus pseudopneumoniae	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	2	2	4.808989707376749	0.0069158381034475	690.5499292614517	4.440892098500626e-16	normalized-depth-alpha2	GCF_001457635.1,GCF_002087075.1	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample14.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	15	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	24	24	23	1	1	0.9583333333333334	0.9583333333333334	0.9583333333333334	8.654145647602354	0.9996229749681823	s__Streptococcus mitis_AK,s__Streptococcus pneumoniae	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	2	2	2.9999323836804885	0.0044540724797256	670.5257898257688	8.881784197001252e-16	normalized-depth-alpha2	GCF_001281025.1,GCF_001457635.1	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample15.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	16	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	10	10	10	0	0	1.0	1.0	1.0	6.914589514693759	0.9998353757011105		integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	0	0	0.0	0.0	700.4183300548	0.0			/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	17	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	26.525180643112833	0.9960095778891281		integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	0	0	0.0	0.0	765.7900750735467	0.0			/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	18	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	27	27	26	1	1	0.9629629629629629	0.9629629629629629	0.9629629629629629	11.411039745670227	0.9950982254305217	s__Streptococcus pneumoniae	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	1	1	3.741833027399443	0.0048345139313216	770.2414630299387	4.440892098500626e-16	normalized-depth-alpha2	GCF_001457635.1	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	19	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	111	151	107	44	4	0.7086092715231788	0.963963963963964	0.816793893129771	37.16496661201054	0.9640171703457461	s__Haemophilus influenzae_D,s__Haemophilus influenzae_E,s__Haemophilus influenzae_I,s__Streptococcus salivarius_D	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	4	4	9.08702008880001	0.0104320255862693	861.9825544299003	6.661338147750939e-16	normalized-depth-alpha2	GCF_002094975.1,GCF_003494325.1,GCF_019703545.1,GCF_900475755.1	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample19.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	20	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	79	106	76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054346	0.990482300426512		integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	0	0	0.0	0.0	724.4890725705683	0.0			/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample20.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	21	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	34	41	33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146761056	0.9626902136826683		integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	0	0	0.0	0.0	391.7033044552195	0.0			/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample21.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	22	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	21	38	19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.64859084035785	0.9885915958918302		integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	0	0	0.0	0.0	848.8703787107715	0.0			/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample22.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	23	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	33	36	31	5	2	0.8611111111111112	0.9393939393939394	0.8985507246376813	28.41923191911534	0.984447024806524		integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	0	0	0.0	0.0	464.9654682128142	0.0			/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample23.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	24	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.48240281413944	0.9950654879951978	s__Limosilactobacillus reuteri_L	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	1	1	3.856547770774472	0.0047770700636942	803.4474522446819	8.881784197001252e-16	normalized-depth-alpha2	GCA_000236455.2	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample24.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	25	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.82652637144698	0.9845564248854469	s__Limosilactobacillus reuteri_L	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	1	1	1.527158056324436	0.0023504623107957	648.1995145689457	0.0	normalized-depth-alpha2	GCA_000236455.2	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample25.integrated_candidate_surface_abundance.tsv
hmp_airskin_gtdb_source_abundance	28	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	12	15	12	3	0	0.8	1.0	0.888888888888889	18.35263353310751	0.9890339281762489		integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	0	0	0.0	0.0	36.13808924085987	0.0			/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample28.integrated_candidate_surface_abundance.tsv
hmp_gastrooral_gtdb_source_abundance	0	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	34	35	33	2	1	0.9428571428571428	0.9705882352941176	0.9565217391304348	14.879895462236314	0.9819928784641778	s__Clostridium_F botulinum	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	1	1	33.37172162017547	0.0594661906311546	527.8164302688051	0.0	normalized-depth-alpha2	GCF_001276985.1	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv
hmp_gastrooral_gtdb_source_abundance	6	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	47	52	45	7	2	0.8653846153846154	0.9574468085106383	0.9090909090909091	77.83598901257037	0.8105695195652595	s__Flavobacterium psychrophilum	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	1	1	0.5867456442384007	0.0071130421659233	81.90196039061986	0.0	normalized-depth-alpha2	GCF_002217405.1	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv
