sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_fallback_mapped	minco_profile	sylph_reference_release	release_grade_candidate
2	minco_current_default_gtdb_source_abundance_sample2	26	29	24	5	2	0.8275862068965517	0.9230769230769231	0.8727272727272727	35.2477525658852	28.245328454362205	0.9400352082065155	0.9413092905469258	29	0	29.0	0.0	/tmp/minco_current_code_hmp_airskin2_20260627/minco_sample2_current_default.tsv		
2	sylph_gtdb_source_abundance	26	30	25	5	1	0.8333333333333334	0.9615384615384616	0.8928571428571429	6.585787718359545	3.9510929877490066	0.9972639639246484	0.998333789367247	30	0				gtdb_r232	True
