sample	method	path	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	selected_rows	renorm_pred	truth_species	pred_sum_on_truth	pred_sum_all	pearson	spearman	mae_pct_points	l1_pct_points
5	minco_block_universal	/tmp/minco_exact_skip_audit_20260627/mouse5_block_universal.tsv	198	161	156	5	42	0.968944099378882	0.7878787878787878	0.8690807799442897	161	True	198	0.9822443047891568	1.0	0.9919228074015811	0.7890303757852482	0.07676007569895749	15.198494988393582
5	minco_exact_split_universal	/tmp/minco_exact_skip_audit_20260627/mouse5_exact_universal.tsv	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	162	True	198	0.9822833999298968	0.9999999999999998	0.9917478920123491	0.7913017334545498	0.0778496372353971	15.414228172608627
5	sylph_gtdb_profile	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample5/profile.tsv	198	181	177	4	21	0.9779005524861878	0.8939393939393939	0.9340369393139841	181	True	198	0.9824529473588414	0.9999999999999996	0.9973219758868748	0.9642413357539522	0.035129871433447556	6.955714543822617
6	minco_block_universal	/tmp/minco_exact_skip_audit_20260627/mouse6_block_universal.tsv	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	157	True	201	0.9714232824951508	1.0	0.9743309596769615	0.8157708507902922	0.09866456355242122	19.831577274036665
6	minco_exact_split_universal	/tmp/minco_exact_skip_audit_20260627/mouse6_exact_universal.tsv	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	157	True	201	0.9714455663451781	0.9999999999999997	0.973754513728038	0.8142888186178643	0.09981570061482758	20.062955823580346
6	sylph_gtdb_profile	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample6/profile.tsv	201	193	185	8	16	0.9585492227979274	0.9203980099502488	0.9390862944162437	193	True	201	0.9666727678075799	0.9999999999999998	0.9848757313686317	0.9621091464521571	0.058502860184898864	11.759074897164671
7	minco_block_universal	/tmp/minco_exact_skip_audit_20260627/mouse7_block_universal.tsv	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	64	True	68	0.9991059385920157	0.9999999999999999	0.9984232596633762	0.8895924512809894	0.08569297792376834	5.827122498816248
7	minco_exact_split_universal	/tmp/minco_exact_skip_audit_20260627/mouse7_exact_universal.tsv	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	64	True	68	0.9991065324034705	0.9999999999999999	0.9984274174395246	0.891065543190902	0.08568128489102796	5.826327372589901
7	sylph_gtdb_profile	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample7/profile.tsv	68	68	67	1	1	0.9852941176470589	0.9852941176470589	0.9852941176470589	68	True	68	0.9992899978699932	1.0	0.9999231107314411	0.9828579915541447	0.021761461710936483	1.4797793963436807
