panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	L1_union_pp	Pearson_union	added_species	rule	added_rows	zero_mass_violations	profile
hmp_airskin_gtdb_source_abundance	13	raw_side_candidate_surface_hmp	40	40	37	3	3	0.925	0.925	0.925	54.74798404447642	0.9105244185423927		profile with appended zero-mass accession-level raw-side rescue rows	0	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample13.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	14	raw_side_candidate_surface_hmp	28	32	27	5	1	0.84375	0.9642857142857143	0.8999999999999999	14.824167972260854	0.9986364303601222	s__Streptococcus pneumoniae,s__Streptococcus pseudopneumoniae	profile with appended zero-mass accession-level raw-side rescue rows	2	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample14.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	15	raw_side_candidate_surface_hmp	24	24	23	1	1	0.9583333333333334	0.9583333333333334	0.9583333333333334	8.896279874750313	0.9995246530616625	s__Streptococcus mitis_AK,s__Streptococcus pneumoniae	profile with appended zero-mass accession-level raw-side rescue rows	2	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample15.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	16	raw_side_candidate_surface_hmp	10	10	10	0	0	1.0	1.0	1.0	6.914589514693759	0.9998353757011105		profile with appended zero-mass accession-level raw-side rescue rows	0	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample16.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	17	raw_side_candidate_surface_hmp	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	26.525180643112833	0.9960095778891281		profile with appended zero-mass accession-level raw-side rescue rows	0	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample17.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	18	raw_side_candidate_surface_hmp	27	27	26	1	1	0.9629629629629629	0.9629629629629629	0.9629629629629629	12.023034824053685	0.9947328417202754	s__Streptococcus pneumoniae	profile with appended zero-mass accession-level raw-side rescue rows	1	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample18.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	19	raw_side_candidate_surface_hmp	111	151	107	44	4	0.7086092715231788	0.963963963963964	0.816793893129771	37.17374040767123	0.9634165110040726	s__Haemophilus influenzae_D,s__Haemophilus influenzae_E,s__Haemophilus influenzae_I,s__Streptococcus salivarius_D	profile with appended zero-mass accession-level raw-side rescue rows	4	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample19.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	20	raw_side_candidate_surface_hmp	79	106	76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054346	0.990482300426512		profile with appended zero-mass accession-level raw-side rescue rows	0	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample20.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	21	raw_side_candidate_surface_hmp	34	41	33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146761056	0.9626902136826683		profile with appended zero-mass accession-level raw-side rescue rows	0	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample21.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	22	raw_side_candidate_surface_hmp	21	38	19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.64859084035785	0.9885915958918302		profile with appended zero-mass accession-level raw-side rescue rows	0	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample22.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	23	raw_side_candidate_surface_hmp	33	36	31	5	2	0.8611111111111112	0.9393939393939394	0.8985507246376813	28.41923191911534	0.984447024806524		profile with appended zero-mass accession-level raw-side rescue rows	0	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample23.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	24	raw_side_candidate_surface_hmp	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.776347378834924	0.9946961294046558	s__Limosilactobacillus reuteri_L	profile with appended zero-mass accession-level raw-side rescue rows	1	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample24.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	25	raw_side_candidate_surface_hmp	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.876829864906988	0.9844760524405716	s__Limosilactobacillus reuteri_L	profile with appended zero-mass accession-level raw-side rescue rows	1	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample25.raw_side_rescue.tsv
hmp_airskin_gtdb_source_abundance	28	raw_side_candidate_surface_hmp	12	15	12	3	0	0.8	1.0	0.888888888888889	18.35263353310751	0.9890339281762489		profile with appended zero-mass accession-level raw-side rescue rows	0	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample28.raw_side_rescue.tsv
hmp_gastrooral_gtdb_source_abundance	0	raw_side_candidate_surface_hmp	34	35	33	2	1	0.9428571428571428	0.9705882352941176	0.9565217391304348	19.900922102529275	0.9549294426840412	s__Clostridium_F botulinum	profile with appended zero-mass accession-level raw-side rescue rows	1	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.raw_side_rescue.tsv
hmp_gastrooral_gtdb_source_abundance	6	raw_side_candidate_surface_hmp	47	52	45	7	2	0.8653846153846154	0.9574468085106383	0.9090909090909091	78.07306011011983	0.8096239564470539	s__Flavobacterium psychrophilum	profile with appended zero-mass accession-level raw-side rescue rows	1	0	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.raw_side_rescue.tsv
