sample	method	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	abundance_column	tp_abundance_n	tp_abundance_pearson	tp_abundance_mae	bacteria_scope_l1	dataset	sample_key	current_bacteria_scope_l1	current_tp_abundance_pearson	delta_current_l1	delta_current_tp_pearson
3	current_calibrated_abundance	85	80	51	29	34	0.6375	0.6	0.6181818181818182	current_raw_for_external	51	0.992142528524093	0.0016780966748911198	1.046920061684456	plant_holdout	plant_holdout3	1.046920061684456	0.992142528524093	0.0	0.0
3	rf_log_leaf3_blend0.25	85	80	51	29	34	0.6375	0.6	0.6181818181818182	rf_blend0.25_raw	51	0.9921125311085646	0.0016830336149212522	1.0470355795571176	plant_holdout	plant_holdout3	1.046920061684456	0.992142528524093	0.00011551787266150804	-2.9997415528448812e-05
3	rf_log_leaf3_blend0.5	85	80	51	29	34	0.6375	0.6	0.6181818181818182	rf_blend0.5_raw	51	0.9920519691008277	0.0016928928311851156	1.0472662721889823	plant_holdout	plant_holdout3	1.046920061684456	0.992142528524093	0.00034621050452621205	-9.055942326530175e-05
3	rf_log_leaf3_blend0.75	85	80	51	29	34	0.6375	0.6	0.6181818181818182	rf_blend0.75_raw	51	0.9918658610986548	0.0017223536907140617	1.0479556173701652	plant_holdout	plant_holdout3	1.046920061684456	0.992142528524093	0.001035555685709122	-0.0002766674254381929
3	rf_log_leaf3_full	85	80	51	29	34	0.6375	0.6	0.6181818181818182	rf_full_raw	51	0.8875156781046679	0.012086626837820342	1.3027630041316358	plant_holdout	plant_holdout3	1.046920061684456	0.992142528524093	0.25584294244717976	-0.1046268504194251
4	current_calibrated_abundance	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	current_raw_for_external	51	0.9981029922806184	0.0013381241817579381	0.47369915881872265	plant_holdout	plant_holdout4	0.47369915881872265	0.9981029922806184	0.0	0.0
4	rf_log_leaf3_blend0.25	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	rf_blend0.25_raw	51	0.9980941494215034	0.001342854392987193	0.47388686397994134	plant_holdout	plant_holdout4	0.47369915881872265	0.9981029922806184	0.00018770516121868752	-8.842859114954749e-06
4	rf_log_leaf3_blend0.5	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	rf_blend0.5_raw	51	0.9980763082480787	0.00135229602361284	0.47426152860121523	plant_holdout	plant_holdout4	0.47369915881872265	0.9981029922806184	0.0005623697824925777	-2.6684032539692204e-05
4	rf_log_leaf3_blend0.75	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	rf_blend0.75_raw	51	0.9980215679500832	0.0013804714731395658	0.47537959226465415	plant_holdout	plant_holdout4	0.47369915881872265	0.9981029922806184	0.0016804334459314951	-8.142433053515141e-05
4	rf_log_leaf3_full	84	78	51	27	33	0.6538461538461539	0.6071428571428571	0.6296296296296297	rf_full_raw	51	0.9581052090312393	0.0092879288862963	0.798391543650954	plant_holdout	plant_holdout4	0.47369915881872265	0.9981029922806184	0.32469238483223134	-0.03999778324937908
5	current_calibrated_abundance	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	current_raw_for_external	35	0.7768171258847472	0.011782496410616837	0.9483396147682913	plant_holdout	plant_holdout5	0.9483396147682913	0.7768171258847472	0.0	0.0
5	rf_log_leaf3_blend0.25	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	rf_blend0.25_raw	35	0.7766600670558363	0.011786029305647757	0.948414164570188	plant_holdout	plant_holdout5	0.9483396147682913	0.7768171258847472	7.454980189669502e-05	-0.00015705882891081657
5	rf_log_leaf3_blend0.5	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	rf_blend0.5_raw	35	0.7763459322433707	0.011793087758755873	0.9485631093523856	plant_holdout	plant_holdout5	0.9483396147682913	0.7768171258847472	0.00022349458409431922	-0.00047119364137648834
5	rf_log_leaf3_blend0.75	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	rf_blend0.75_raw	35	0.7754034030741759	0.01181420460491599	0.9490087089765311	plant_holdout	plant_holdout5	0.9483396147682913	0.7768171258847472	0.0006690942082397955	-0.001413722810571283
5	rf_log_leaf3_full	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	rf_full_raw	35	0.1905166090181008	0.026436257551087028	1.3194590586131731	plant_holdout	plant_holdout5	0.9483396147682913	0.7768171258847472	0.3711194438448818	-0.5863005168666464
0	current_calibrated_abundance	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	current_raw_for_external	8	0.8939718661852692	0.0515179016873588	0.6538287291428436	strainmadness	strain0	0.6538287291428436	0.8939718661852692	0.0	0.0
0	rf_log_leaf3_blend0.25	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	rf_blend0.25_raw	8	0.8942494082306708	0.051508390451640365	0.6536546059154635	strainmadness	strain0	0.6538287291428436	0.8939718661852692	-0.00017412322738008523	0.0002775420454015354
0	rf_log_leaf3_blend0.5	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	rf_blend0.5_raw	8	0.8948012955628586	0.05148939998922076	0.6533069454532661	strainmadness	strain0	0.6538287291428436	0.8939718661852692	-0.0005217836895775596	0.0008294293775893413
0	rf_log_leaf3_blend0.75	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	rf_blend0.75_raw	8	0.8964315195814092	0.051432683385762	0.6522686284214284	strainmadness	strain0	0.6538287291428436	0.8939718661852692	-0.001560100721415214	0.0024596533961399603
0	rf_log_leaf3_full	20	14	8	6	12	0.5714285714285714	0.4	0.47058823529411764	rf_full_raw	8	0.6570734641105139	0.07607658776361874	0.6757151190719348	strainmadness	strain0	0.6538287291428436	0.8939718661852692	0.0218863899290912	-0.23689840207475532
1	current_calibrated_abundance	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	current_raw_for_external	15	0.79306444990063	0.04342494942591353	0.8734446798401099	strainmadness	strain1	0.8734446798401099	0.79306444990063	0.0	0.0
1	rf_log_leaf3_blend0.25	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	rf_blend0.25_raw	15	0.7931775086233634	0.043417196733585905	0.8733664848012199	strainmadness	strain1	0.8734446798401099	0.79306444990063	-7.819503888994994e-05	0.00011305872273348339
1	rf_log_leaf3_blend0.5	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	rf_blend0.5_raw	15	0.7934033832509626	0.04340170351069902	0.8732102173892071	strainmadness	strain1	0.8734446798401099	0.79306444990063	-0.00023446245090275042	0.0003389333503326375
1	rf_log_leaf3_blend0.75	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	rf_blend0.75_raw	15	0.7940790647397901	0.0433553209076037	0.8727423941737893	strainmadness	strain1	0.8734446798401099	0.79306444990063	-0.000702285666320579	0.0010146148391600995
1	rf_log_leaf3_full	20	23	15	8	5	0.6521739130434783	0.75	0.6976744186046512	rf_full_raw	15	0.5655709620526365	0.040378926842624854	0.9733846731789482	strainmadness	strain1	0.8734446798401099	0.79306444990063	0.0999399933388383	-0.2274934878479935
