dataset	sample	class	scope	profile_exists	profile_rows	final_called_taxids	needed_ref_accessions	taxmap_accessions_mapped	unique_rows	unique_scoped_rows	unique_strict_candidate_taxids	block_rows	block_scoped_rows	block_strict_candidate_rows	block_strict_candidate_taxids	exact_rows	exact_scoped_rows	exact_strict_candidate_rows	exact_strict_candidate_taxids	exact_rows_with_final_called_taxids	exact_called_taxid_keep_fraction	exact_rows_eliminable_posthoc	exact_rows_eliminable_posthoc_fraction	final_called_taxids_seen_in_exact	final_called_taxids_missing_in_exact	strict_exact_rows_vs_block_delta	posthoc_filter_saves_output_rows	true_subset_exact_rerun_safety_from_aggregate_outputs	decision	reason	profile	unique	block	exact	taxmap
hmp_gastrooral_r232	0	exact_needed_sidecar_matches_rerun	bacteria	true	35611	34	140353	140352	91082	87072	34	137162	132008	64	43	140705	135508	33	32	190	0.00140213	135318	0.99859787	34	0	-31	true	not_proven	posthoc_output_filter_only_not_safe_scan_restriction	aggregate ref rows omit per-context competitor closure needed for best-diff exact assignment	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/minco_sample0_sidecar.tsv	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/sample0_work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/sample0_work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_hmp_gastrooral_sidecar_speed_20260627/sample0_work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv
cami2_toy_mouse	6	exact_sidecar_available_but_current_default_skips	bacteria	true	157	157	106483	106482	64369	60378	151	106765	101601	145	145	106814	101649	143	143	157	0.00154453	101492	0.99845547	157	0	-2	true	not_proven	posthoc_output_filter_only_not_safe_scan_restriction	aggregate ref rows omit per-context competitor closure needed for best-diff exact assignment	/tmp/minco_exact_split_sidecar_wrapper_20260627/sample6_sidecar_p16.tsv	/tmp/minco_exact_split_sidecar_wrapper_20260627/sample6_sidecar_p16_work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_exact_split_sidecar_wrapper_20260627/sample6_sidecar_p16_work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_exact_split_sidecar_wrapper_20260627/sample6_sidecar_p16_work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv
