panel	method	samples	sample_count	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_Pearson_union	added_rows	zero_mass_violations
hmp_airskin_gtdb_source_abundance	raw_side_candidate_surface_hmp	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	0.876885081381079	0.8528209321340964	1043	308	52	22.53852648257859	0.9809240826458007	12	0
hmp_gastrooral_gtdb_source_abundance	raw_side_candidate_surface_hmp	0,6	2	0.9328063241106719	0.9285714285714286	78	9	3	48.98699110632455	0.8822766995655476	2	0
