sample	method	truth_species	pred_species	TP	FP	FN	FN_truth_mass_pct	FP_pred_mass_pct	TP_pred_mass_pct	oracle_fixed_call_L1_pp
0	current_calibrated_abundance	93	94	78	16	15	22.96126993116107	11.685471854414745	88.31452814558524	45.92253986232214
0	split_mean_depth	93	94	78	16	15	22.96126993116107	4.35268495111485	95.64731504888509	45.92253986232214
0	split_mean_over_zip_p0.25	93	94	78	16	15	22.96126993116107	5.392099508016727	94.60790049198324	45.92253986232214
1	current_calibrated_abundance	104	99	86	13	18	32.48620108803477	9.582587231811548	90.41741276818844	64.97240217606954
1	split_mean_depth	104	99	86	13	18	32.48620108803477	5.379351661986418	94.62064833801355	64.97240217606954
1	split_mean_over_zip_p0.25	104	99	86	13	18	32.48620108803477	6.192203723760814	93.80779627623917	64.97240217606954
2	current_calibrated_abundance	99	115	82	33	17	7.302785229682102	11.430808915061094	88.56919108493886	14.605570459364204
2	split_mean_depth	99	115	82	33	17	7.302785229682102	12.40980963816364	87.59019036183638	14.605570459364204
2	split_mean_over_zip_p0.25	99	115	82	33	17	7.302785229682102	14.869564731795784	85.13043526820422	14.605570459364204
