panel	sample	truth_species	called_truth_species	FN	FN_truth_mass_pct	FN_candidate_visible	FN_candidate_absent	FN_candidate_visible_truth_mass_pct	high_truth_FN	high_truth_FN_mass_pct	high_truth_FN_candidate_visible	high_truth_FN_candidate_absent	high_truth_threshold_pct	candidate_rows	candidate_rows_mapped	called_rows	uncalled_candidate_rows	full_emitted_candidate_surface	profile_path
cami2_toy_mouse_gut	5	198	157	41	2.3283794415138734	41	0	2.3283794415138734	0	0.0	0	0	1.0	96500	96500	162	96338	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	6	201	153	48	2.2185683250128796	48	0	2.2185683250128796	0	0.0	0	0	1.0	101649	101649	157	101492	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv
cami2_toy_mouse_gut	7	68	63	5	0.48083098091197957	5	0	0.48083098091197957	0	0.0	0	0	1.0	98457	98457	64	98393	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv
hmp_airskin_gtdb_source_abundance	0	33	29	4	0.004790404375874205	0	4	0.0	0	0.0	0	0	1.0	36	36	36	0	False	/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv
hmp_airskin_gtdb_source_abundance	1	51	51	0	0.0	0	0	0.0	0	0.0	0	0	1.0	99	99	99	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv
hmp_airskin_gtdb_source_abundance	3	47	45	2	0.21782588458383687	0	2	0.0	0	0.0	0	0	1.0	47	47	47	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv
hmp_airskin_gtdb_source_abundance	4	106	102	4	1.334676532024448	0	4	0.0	1	1.3059733568633956	0	1	1.0	137	137	137	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv
hmp_airskin_gtdb_source_abundance	5	26	25	1	1.4388489208633206	0	1	0.0	1	1.4388489208633206	0	1	1.0	26	26	26	0	False	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv
hmp_airskin_gtdb_source_abundance	6	16	15	1	1.886792452830171	1	0	1.886792452830171	1	1.886792452830171	1	0	1.0	25555	25555	16	25539	True	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv
hmp_airskin_gtdb_source_abundance	7	75	69	6	0.7252821855128652	0	6	0.0	0	0.0	0	0	1.0	89	89	89	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv
hmp_airskin_gtdb_source_abundance	9	96	92	4	0.07085578170228189	0	4	0.0	0	0.0	0	0	1.0	102	102	102	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv
hmp_airskin_gtdb_source_abundance	10	69	63	6	1.7498936375851832	0	6	0.0	0	0.0	0	0	1.0	69	69	69	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv
hmp_airskin_gtdb_source_abundance	11	33	32	1	0.005282413547989002	1	0	0.005282413547989002	0	0.0	0	0	1.0	35185	35185	32	35153	True	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv
hmp_airskin_gtdb_source_abundance	13	40	37	3	0.02246516913736668	0	3	0.0	0	0.0	0	0	1.0	40	40	40	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv
hmp_airskin_gtdb_source_abundance	14	28	25	3	2.9197080291968933	0	3	0.0	1	1.4598540145984116	0	1	1.0	30	30	30	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv
hmp_airskin_gtdb_source_abundance	15	24	21	3	1.5786110808983413	0	3	0.0	1	1.2762190825972712	0	1	1.0	22	22	22	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv
hmp_airskin_gtdb_source_abundance	16	10	10	0	0.0	0	0	0.0	0	0.0	0	0	1.0	10	10	10	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv
hmp_airskin_gtdb_source_abundance	17	46	46	0	0.0	0	0	0.0	0	0.0	0	0	1.0	73	73	73	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv
hmp_airskin_gtdb_source_abundance	18	27	25	2	1.7472722709803796	0	2	0.0	1	1.7391304347829428	0	1	1.0	26	26	26	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv
