sample	method	path	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	renorm_pred	truth_species	pred_sum_on_truth	pred_sum_all	pearson	spearman	mae_pct_points	l1_pct_points
5	minco_current_code_refresh	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	True	198	0.9822833999298968	0.9999999999999998	0.9917478920123491	0.7913017334545498	0.0778496372353971	15.414228172608627
5	sylph_gtdb_profile	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample5/profile.tsv	198	181	177	4	21	0.9779005524861878	0.8939393939393939	0.9340369393139841	True	198	0.9824529473588414	0.9999999999999996	0.9973219758868748	0.9642413357539522	0.035129871433447556	6.955714543822617
6	minco_current_code_refresh	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	True	201	0.9714455663451781	0.9999999999999997	0.973754513728038	0.8142888186178643	0.09981570061482758	20.062955823580346
6	sylph_gtdb_profile	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample6/profile.tsv	201	193	185	8	16	0.9585492227979274	0.9203980099502488	0.9390862944162437	True	201	0.9666727678075799	0.9999999999999998	0.9848757313686317	0.9621091464521571	0.058502860184898864	11.759074897164671
7	minco_current_code_refresh	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	True	68	0.9991065324034705	0.9999999999999999	0.9984274174395246	0.891065543190902	0.08568128489102796	5.826327372589901
7	sylph_gtdb_profile	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample7/profile.tsv	68	68	67	1	1	0.9852941176470589	0.9852941176470589	0.9852941176470589	True	68	0.9992899978699932	1.0	0.9999231107314411	0.9828579915541447	0.021761461710936483	1.4797793963436807
