panel	panel_label	samples	grade	grade_caveat	candidate_pooled_F1	sylph_pooled_F1	delta_F1_vs_sylph	candidate_L1_pp	sylph_L1_pp	delta_L1_pp_vs_sylph	candidate_Pearson	sylph_Pearson	delta_Pearson_vs_sylph	wins_F1_vs_sylph	wins_L1_vs_sylph	wins_Pearson_vs_sylph	delta_F1_vs_previous_minco	delta_L1_pp_vs_previous_minco	delta_Pearson_vs_previous_minco
cami2_toy_mouse_gut	CAMI2 Toy Mouse	5,6,7	release	clean GTDB species comparison	0.8789659224441834	0.943894389438944	-0.06492846699476063	13.53019147920787	6.73152294577699	6.79866853343088	0.9882160988462569	0.994040272662316	-0.005824173816059042	0	0	0	0.0013188636206539206	-0.23764564371841956	0.00023949111961973912
cami3_toy_human_gut_gtdb_source_readmap	CAMI3 ToyGut source-readmap	0,1,2	release	accepted exact-binomial source-readmap GTDB truth	0.8607594936708861	0.7626168224299065	0.09814267124097964	55.91934390274664	31.103233539391326	24.816110363355314	0.8665925597981697	0.9472030132111673	-0.08061045341299755	1	0	0	0.009124581992100348	-5.964823944071417	0.040307588275556215
hmp_airskin_gtdb_source_abundance	HMP airskin source-abundance	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	release	same-release GTDB source-abundance comparison	0.8528209321340964	0.9649840836743976	-0.11216315154030121	22.413096181610623	5.356745059601248	17.056351122009374	0.9810950005106674	0.9979498059022434	-0.01685480539157591	0	0	0	0.00483407921708745	-0.12543030096778196	0.0001712149361342563
hmp_gastrooral_gtdb_source_abundance	HMP gastrooral source-abundance	0,6	release	same-release GTDB source-abundance comparison	0.9285714285714286	0.9570552147239264	-0.028483786152497803	46.35794223740334	5.063129406373072	41.29481283103027	0.8962811990147186	0.9991248095933803	-0.10284361057866176	0	0	0	0.012908777969019014	-2.629048868921018	0.014004499449171037
