method	samples	mean_F1	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only
sylph_source_profile	3,4,5	0.7433951259735232	177	46	76	0.7436974789915967	84.47085060283327	54.35899514413649	0.602894858074484	0.7606626269106286
minco_candidate_refined_allocator_source_profile	3,4,5	0.6613354373588293	157	63	96	0.6638477801268499	97.93176448600946	62.583936874281505	0.5563306511754836	0.7031359557736921
minco_candidate_source_profile	3,4,5	0.6613354373588293	157	63	96	0.6638477801268499	97.93176448600953	62.58393687428156	0.5563306511754836	0.7031359557736921
