method	panel	sample	source_profile	adjusted_profile	alpha	cap_sample_base_frac	called_rows	candidate_added_rows	eligible_base_rows	adjusted_base_rows	capped_genus_count	min_effective_alpha	base_raw_mass_before	base_raw_mass_after	candidate_raw_mass_before	candidate_raw_mass_after	called_raw_mass_before	called_raw_mass_after
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	9	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample9.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample9.genus_xny_a0.02.tsv	0.02		102	0	102	70	0	0.02	699.3135248795265	699.3135248795265	0.0	0.0	699.3135248795265	699.3135248795265
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	10	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample10.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample10.genus_xny_a0.02.tsv	0.02		69	0	69	46	0	0.02	544.9605847625855	544.9605847625853	0.0	0.0	544.9605847625855	544.9605847625853
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	11	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample11.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample11.genus_xny_a0.02.tsv	0.02		32	0	32	20	0	0.02	721.1873437604959	721.1873437604959	0.0	0.0	721.1873437604959	721.1873437604959
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	13	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample13.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample13.genus_xny_a0.02.tsv	0.02		40	0	40	32	0	0.02	73.84212257489807	73.84212257489807	0.0	0.0	73.84212257489807	73.84212257489807
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	14	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample14.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample14.genus_xny_a0.02.tsv	0.02		32	2	30	14	0	0.02	690.5499292614517	690.5499292614516	4.808989707376749	4.808989707376749	695.3589189688282	695.3589189688282
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	15	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample15.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample15.genus_xny_a0.02.tsv	0.02		24	2	22	15	0	0.02	670.5257898257688	670.5257898257687	3.7965170219935023	3.7965170219935023	674.3223068477622	674.3223068477622
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	16	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample16.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample16.genus_xny_a0.02.tsv	0.02		10	0	10	6	0	0.02	700.4183300548	700.4183300548001	0.0	0.0	700.4183300548	700.4183300548001
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	17	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample17.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample17.genus_xny_a0.02.tsv	0.02		73	0	73	54	0	0.02	765.7900750735467	765.7900750735469	0.0	0.0	765.7900750735467	765.7900750735469
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	18	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample18.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample18.genus_xny_a0.02.tsv	0.02		27	1	26	13	0	0.02	770.2414630299387	770.2414630299388	4.602962983066915	4.602962983066915	774.8444260130057	774.8444260130058
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	19	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample19.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample19.genus_xny_a0.02.tsv	0.02		151	4	147	92	0	0.02	861.9825544299003	861.9825544299002	9.08702008880001	9.08702008880001	871.0695745187003	871.0695745187002
