dataset	sample	mode	threads	reads	ref	strategy	exact_split_source	wall_time	seconds	peak_rss_kb	peak_rss_gib	output	check	interpretation
CAMI2 toy mouse	first50k C smoke	c_block_standalone	1	/tmp/toymouse_sample0_50000_reads.fq.gz	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno	NA	NA	0:05.37	5.37	2549932	2.4318	/tmp/minco_exact_split_sidecar_bench_20260627/block_standalone_50k.tsv	md5 matches block_with_sidecar_50k.tsv	standalone block pass control
CAMI2 toy mouse	first50k C smoke	c_exact_standalone	1	/tmp/toymouse_sample0_50000_reads.fq.gz	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno	NA	rerun	0:05.42	5.42	2550576	2.4324	/tmp/minco_exact_split_sidecar_bench_20260627/exact_standalone_50k.tsv	md5 matches exact_sidecar_50k.tsv	standalone exact pass control
CAMI2 toy mouse	first50k C smoke	c_block_plus_exact_sidecar	1	/tmp/toymouse_sample0_50000_reads.fq.gz	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno	NA	sidecar	0:08.42	8.42	2593872	2.4737	/tmp/minco_exact_split_sidecar_bench_20260627/block_with_sidecar_50k.tsv	exact sidecar md5 equals standalone exact; block output md5 equals standalone block	one process produces block and exact evidence 22.0% faster than two separate C passes on this subset
CAMI2 toy mouse	first50k wrapper forced exact	wrapper_legacy_exact_rerun	1	/tmp/toymouse_sample0_50000_reads.fq.gz	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno	universal-auto-exact	rerun	0:20.64	20.64	2586276	2.4665	/tmp/minco_exact_split_sidecar_wrapper_20260627/legacy_p1_50k.tsv	call_diff=0 versus sidecar; abundance and ANI identical	legacy wrapper path forced to run exact rerun
CAMI2 toy mouse	first50k wrapper forced exact	wrapper_same_stream_exact_sidecar	1	/tmp/toymouse_sample0_50000_reads.fq.gz	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno	universal-auto-exact	sidecar	0:18.30	18.30	2630364	2.5085	/tmp/minco_exact_split_sidecar_wrapper_20260627/sidecar_p1_50k.tsv	call_diff=0 versus legacy; abundance and ANI identical	wrapper exact path 11.3% faster than legacy forced exact on this subset
CAMI2 toy mouse	sample6 wrapper full	wrapper_same_stream_exact_sidecar	16	/tmp/cami2_toymouse_samples5_7_20260625/data/sample_6/2017.12.29_11.37.26_sample_6/reads/anonymous_reads.fq.gz	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno	universal-auto-exact	sidecar	2:28.51	148.51	4720688	4.5020	/tmp/minco_exact_split_sidecar_wrapper_20260627/sample6_sidecar_p16.tsv	auto_exact_split_used=true; source=sidecar	improves old exact default 249.65s to 148.51s but remains slower than Sylph 110.98s on this sample
