method	panel_count	mean_panel_L1_delta_pp	max_panel_worse_L1_delta_pp	improved_panels	worsened_panels	sample_count	improved_samples	worsened_samples	max_sample_worse_L1_delta_pp	mean_panel_Pearson_delta
genus_xny_a0.15	4	-0.309376313503147	-0.11146396934252589	4	0	32	28	4	0.5808056704830982	0.0006354158025338244
genus_xny_a0.10	4	-0.22276683881341708	-0.07625019040685377	4	0	32	28	4	0.3744985465323012	0.0004404149710925999
genus_xny_a0.05	4	-0.12271883140733986	-0.040199640417396765	4	0	32	28	4	0.16819142258147934	0.0002286698941822221
genus_xny_a0.02	4	-0.050841769409480486	-0.016079856166927975	4	0	32	28	4	0.04440714821099334	9.351038376018603e-05
genus_xny_a0.25	4	-0.46592522350908827	-0.1562833539324243	4	0	32	26	6	0.9934199183847312	0.0009759186595515422
genus_xny_a0.25_cap0.005	4	-0.4131741931193683	-0.1562833539324243	4	0	32	26	6	0.9494742433848771	0.0008623929521205861
