sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_fallback_mapped	minco_profile	sylph_reference_release	release_grade_candidate
11	minco_current_default_gtdb_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750638947	22.345748750638947	0.9390039844436856	0.9390039844436856	32	0	32.0	0.0	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv		
11	sylph_gtdb_source_abundance	33	33	33	0	0	1.0	1.0	1.0	6.864304715532866	6.864304715532866	0.994159624664273	0.994159624664273	33	0				gtdb_r232	True
13	minco_current_default_gtdb_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28	40	40	37	3	3	0.925	0.925	0.925	54.74798404447627	54.192298858512224	0.9105244185423925	0.9100458154509378	40	0	40.0	0.0	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv		
13	sylph_gtdb_source_abundance	40	41	40	1	0	0.975609756097561	1.0	0.9876543209876543	8.344358782582221	8.299658693182044	0.997402892612516	0.9973977617370001	41	0				gtdb_r232	True
17	minco_current_default_gtdb_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	26.525180643112705	17.668557178190746	0.996009577889128	0.9967890063916132	73	0	73.0	0.0	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv		
17	sylph_gtdb_source_abundance	46	48	46	2	0	0.9583333333333334	1.0	0.9787234042553191	1.8725768878823958	1.5343775642810433	0.9999665749948404	0.9999794496100465	48	0				gtdb_r232	True
18	minco_current_default_gtdb_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28	27	26	25	1	2	0.9615384615384616	0.9259259259259259	0.9433962264150944	12.023034824053608	10.640124279496893	0.9947328417202751	0.995104419479662	26	0	26.0	0.0	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv		
18	sylph_gtdb_source_abundance	27	27	27	0	0	1.0	1.0	1.0	1.8827650603233312	1.8827650603233312	0.9999303274396941	0.9999303274396941	27	0				gtdb_r232	True
21	minco_current_default_gtdb_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28	34	41	33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.74496714676101	18.167816526634173	0.9626902136826684	0.991588574591961	41	0	41.0	0.0	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv		
21	sylph_gtdb_source_abundance	34	34	33	1	1	0.9705882352941176	0.9705882352941176	0.9705882352941176	2.197983021433104	1.9535835102321264	0.9998887705925338	0.9999037206858025	34	0				gtdb_r232	True
22	minco_current_default_gtdb_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28	21	38	19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.648590840357787	12.056025115448799	0.9885915958918304	0.9968326827201656	38	0	38.0	0.0	/tmp/minco_current_code_hmp_airskin22_20260627/minco_sample22_current_default.tsv		
22	sylph_gtdb_source_abundance	21	23	20	3	1	0.8695652173913043	0.9523809523809523	0.909090909090909	6.04369201147041	3.135789103567501	0.9970787600380688	0.9992223881418046	23	0				gtdb_r232	True
25	minco_current_default_gtdb_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28	49	76	45	31	4	0.5921052631578947	0.9183673469387755	0.72	23.876829864906867	14.822596296490397	0.984476052440572	0.9924411161891388	76	0	76.0	0.0	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv		
25	sylph_gtdb_source_abundance	49	48	47	1	2	0.9791666666666666	0.9591836734693877	0.9690721649484536	4.836648420574486	4.72074853647437	0.9988670457680718	0.9988715421272467	48	0				gtdb_r232	True
28	minco_current_default_gtdb_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28	12	15	12	3	0	0.8	1.0	0.888888888888889	18.352633533107475	10.977119798332348	0.9890339281762488	0.9978801202854538	15	0	15.0	0.0	/tmp/minco_current_code_hmp_airskin28_20260627/minco_sample28_current_default.tsv		
28	sylph_gtdb_source_abundance	12	14	12	2	0	0.8571428571428571	1.0	0.923076923076923	1.80306342230474	1.595963629404533	0.9999332238502313	0.999931664517538	14	0				gtdb_r232	True
