sample	method	gtdb_species	truth_abundance	pred_abundance	abs_error_pp
6	minco_current_calibrated_abundance	s__Bifidobacterium sp947289115	0.0	0.11012429121004756	11.012429121004756
6	minco_current_calibrated_abundance	s__Prevotella intermedia	0.30188679245282735	0.21322084589126247	8.866594656156487
6	minco_current_calibrated_abundance	s__Bifidobacterium swidsinskii	0.01886792452830171	0.0	1.886792452830171
6	minco_current_calibrated_abundance	s__Clostridioides difficile	0.023584905660377138	0.018441837588684708	0.514306807169243
6	minco_current_calibrated_abundance	s__Bifidobacterium vaginale	0.19811320754716796	0.19496431214018878	0.3148895406979185
6	minco_current_calibrated_abundance	s__Allisonella pneumosinta	0.15566037735848912	0.1582776051891367	0.2617227830647578
6	minco_current_calibrated_abundance	s__Mycoplasma mycoides	0.004716981132075427	0.005497315328188602	0.07803341961131749
6	minco_current_calibrated_abundance	s__Slackia heliotrinireducens	0.03773584905660342	0.038496456253122216	0.07606071965187977
6	minco_current_calibrated_abundance	s__Prevotella sp000163055	0.07547169811320684	0.07622710215533363	0.07554040421267894
6	minco_current_calibrated_abundance	s__Enteroscipio sp000270285	0.009433962264150855	0.009985916285740805	0.055195402158995065
6	minco_current_calibrated_abundance	s__Denitrobacterium detoxificans	0.032275296111273284	0.03260471535039482	0.032941923912153254
6	minco_current_calibrated_abundance	s__Cryptobacterium curtum	0.000743571813264144	0.0008846552609370004	0.014108344767285643
6	minco_current_calibrated_abundance	s__Adlercreutzia equolifaciens	0.11320754716981025	0.11310178802366405	0.010575914614620319
6	minco_current_calibrated_abundance	s__Lancefieldella parvula	0.004716981132075427	0.004625591381444902	0.00913897506305255
6	minco_current_calibrated_abundance	s__Negativicoccus massiliensis_A	0.004716981132075427	0.0046644258980554016	0.005255523402002572
6	minco_current_calibrated_abundance	s__Ureaplasma parvum	0.009433962264150855	0.009450599692656603	0.0016637428505748147
6	minco_current_calibrated_abundance	s__Bifidobacterium pseudocatenulatum	0.009433962264150855	0.009432542351141703	0.00014199130091516882
6	minco_current_calibrated_abundance	s__Bifidobacterium vaginale_C	0.0	0.0	0.0
6	sylph_r232_taxonomic_abundance	s__Bifidobacterium sp947289115	0.0	0.013736027472054945	1.3736027472054946
6	sylph_r232_taxonomic_abundance	s__Prevotella intermedia	0.30188679245282735	0.2921675843351687	0.971920811765864
6	sylph_r232_taxonomic_abundance	s__Clostridioides difficile	0.023584905660377138	0.019641039282078564	0.3943866378298574
6	sylph_r232_taxonomic_abundance	s__Bifidobacterium swidsinskii	0.01886792452830171	0.01673203346406693	0.2135891064234778
6	sylph_r232_taxonomic_abundance	s__Bifidobacterium vaginale_C	0.0	0.001397002794005588	0.1397002794005588
6	sylph_r232_taxonomic_abundance	s__Bifidobacterium vaginale	0.19811320754716796	0.19887039774079548	0.07571901936275216
6	sylph_r232_taxonomic_abundance	s__Prevotella sp000163055	0.07547169811320684	0.07488314976629953	0.05885483469073027
6	sylph_r232_taxonomic_abundance	s__Denitrobacterium detoxificans	0.032275296111273284	0.03191706383412767	0.0358232277145612
6	sylph_r232_taxonomic_abundance	s__Slackia heliotrinireducens	0.03773584905660342	0.03805507611015222	0.03192270535488026
6	sylph_r232_taxonomic_abundance	s__Adlercreutzia equolifaciens	0.11320754716981025	0.11293822587645176	0.02693212933584932
