panel	method	samples	sample_count	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_L1_union_pp	mean_Pearson_union	mean_added_mass_before_norm
hmp_airskin_gtdb_source_abundance	depth_share_alpha1_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.437409451766985	0.9810775677755883	0.0019105988672904707
hmp_airskin_gtdb_source_abundance	depth_share_alpha1_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.433727645213523	0.9810853133296923	0.001967810875061487
hmp_airskin_gtdb_source_abundance	depth_share_alpha1_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.433727645213523	0.9810853133296923	0.001967810875061487
hmp_airskin_gtdb_source_abundance	depth_share_alpha2	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.448118156085528	0.9811268355702092	0.003935621750122974
hmp_airskin_gtdb_source_abundance	depth_share_alpha2_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51082477535844	0.980960434465555	0.0005
hmp_airskin_gtdb_source_abundance	depth_share_alpha2_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.48382832140942	0.9810128298439528	0.0014230461326575463
hmp_airskin_gtdb_source_abundance	depth_share_alpha2_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.485163644677545	0.9810384618466798	0.002320461336995304
hmp_airskin_gtdb_source_abundance	depth_share_alpha2_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.444995763285178	0.98108543213882	0.003404531067914275
hmp_airskin_gtdb_source_abundance	depth_share_alpha2_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.429004053451937	0.9811237506761774	0.0038211977345809413
hmp_airskin_gtdb_source_abundance	depth_share_alpha2_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.448118156085528	0.9811268355702092	0.003935621750122974
hmp_airskin_gtdb_source_abundance	depth_share_alpha5	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	23.05208310989079	0.9805154421589949	0.009839054375307436
hmp_airskin_gtdb_source_abundance	depth_share_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.511780503215437	0.9809603151970391	0.0004823563996621064
hmp_airskin_gtdb_source_abundance	depth_share_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.482704089771886	0.9810123886598108	0.0013326016109873942
hmp_airskin_gtdb_source_abundance	depth_share_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.45514659349371	0.981042810764197	0.0017022655339571375
hmp_airskin_gtdb_source_abundance	depth_share_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.437409451766985	0.9810775677755883	0.0019105988672904707
hmp_airskin_gtdb_source_abundance	depth_share_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.433727645213523	0.9810853133296923	0.001967810875061487
hmp_airskin_gtdb_source_abundance	depth_share_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.433727645213523	0.9810853133296923	0.001967810875061487
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.53519851201085	0.9809297113746388	4.8500000000000007e-05
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.1	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.531871902033075	0.9809352667200497	9.700000000000001e-05
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.521900225694015	0.9809514917344817	0.00024249999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.523994953181585	0.9809460928028882	0.00021871874999999997
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.521900225694015	0.9809514917344817	0.00024249999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.521900225694015	0.9809514917344817	0.00024249999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.521900225694015	0.9809514917344817	0.00024249999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.521900225694015	0.9809514917344817	0.00024249999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.521900225694015	0.9809514917344817	0.00024249999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.50551715338216	0.9809770590843788	0.00048499999999999997
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.515573890926458	0.980955613002965	0.00037035416666666667
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.506023554174703	0.9809758213978764	0.0004791041666666667
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.50551715338216	0.9809770590843788	0.00048499999999999997
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.50551715338216	0.9809770590843788	0.00048499999999999997
