sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	panel	collapse_rule	kept_rows	dropped_rows
5	current_calls	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619205	15.414228172608885	0.9913799211896311	0.9917478920123491	cami2_toy_mouse_gut	max	162	0
5	drop_prob_lt_0.7_and_breadth_lt_0.2	198	140	137	3	61	0.9785714285714285	0.6919191919191919	0.8106508875739645	17.265232919372583	15.491397669945853	0.9914809192612296	0.9918635013699584	cami2_toy_mouse_gut	max	140	22
6	current_calls	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189063045	20.062955823580815	0.9729828392129993	0.9737545137280396	cami2_toy_mouse_gut	max	157	0
6	drop_prob_lt_0.7_and_breadth_lt_0.2	201	142	138	4	63	0.971830985915493	0.6865671641791045	0.8046647230320699	23.17946985450254	20.26954584304213	0.973033910781545	0.9738254002943884	cami2_toy_mouse_gut	max	142	15
7	current_calls	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.9156741322429225	5.826327372589971	0.9984269486093539	0.9984274174395251	cami2_toy_mouse_gut	max	64	0
7	drop_prob_lt_0.7_and_breadth_lt_0.2	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.9156741322429225	5.826327372589971	0.9984269486093539	0.9984274174395251	cami2_toy_mouse_gut	max	64	0
0	current_calls	33	36	29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	18.780365281635632	10.124727197423452	0.9895037710483946	0.9957539782840136	hmp_airskin_gtdb_source_abundance	sum	36	0
0	drop_prob_lt_0.7_and_breadth_lt_0.2	33	29	28	1	5	0.9655172413793104	0.8484848484848485	0.9032258064516129	11.658200155584469	7.591637788462475	0.9914774800800686	0.9957558406567488	hmp_airskin_gtdb_source_abundance	sum	29	7
1	current_calls	51	99	51	48	0	0.5151515151515151	1.0	0.6799999999999999	18.1058836900925	11.773226709809936	0.9973939434154936	0.9978165192517793	hmp_airskin_gtdb_source_abundance	sum	99	0
1	drop_prob_lt_0.7_and_breadth_lt_0.2	51	51	49	2	2	0.9607843137254902	0.9607843137254902	0.9607843137254902	12.494509000261885	11.754542722473854	0.9977516038082963	0.9977763787494437	hmp_airskin_gtdb_source_abundance	sum	51	48
3	current_calls	47	47	45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106385	12.670666989685692	8.881086724946552	0.9970245468507755	0.9993927980330461	hmp_airskin_gtdb_source_abundance	sum	47	0
3	drop_prob_lt_0.7_and_breadth_lt_0.2	47	47	45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106385	12.670666989685692	8.881086724946552	0.9970245468507755	0.9993927980330461	hmp_airskin_gtdb_source_abundance	sum	47	0
4	current_calls	106	137	102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	28.726740922959127	19.861197783006386	0.9883782682234049	0.9913715332528884	hmp_airskin_gtdb_source_abundance	sum	137	0
4	drop_prob_lt_0.7_and_breadth_lt_0.2	106	95	92	3	14	0.968421052631579	0.8679245283018868	0.9154228855721392	17.959602078015184	17.25417836688548	0.9913622959942252	0.9913852329802144	hmp_airskin_gtdb_source_abundance	sum	95	42
5	current_calls	26	26	25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597114	9.524072174532563	0.9983818025644174	0.9984813848525255	hmp_airskin_gtdb_source_abundance	sum	26	0
5	drop_prob_lt_0.7_and_breadth_lt_0.2	26	26	25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597114	9.524072174532563	0.9983818025644174	0.9984813848525255	hmp_airskin_gtdb_source_abundance	sum	26	0
6	current_calls	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468812	12.202962601464055	0.9122239933982667	0.976002571771857	hmp_airskin_gtdb_source_abundance	sum	16	0
6	drop_prob_lt_0.7_and_breadth_lt_0.2	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468812	12.202962601464055	0.9122239933982667	0.976002571771857	hmp_airskin_gtdb_source_abundance	sum	16	0
7	current_calls	75	89	69	20	6	0.7752808988764045	0.92	0.8414634146341463	27.609399687248022	23.569124165375715	0.9875542782678016	0.9880750272858686	hmp_airskin_gtdb_source_abundance	sum	89	0
7	drop_prob_lt_0.7_and_breadth_lt_0.2	75	63	60	3	15	0.9523809523809523	0.8	0.8695652173913043	21.21468000265437	20.740092526634022	0.9882204092349139	0.9882067554228685	hmp_airskin_gtdb_source_abundance	sum	63	26
9	current_calls	96	102	92	10	4	0.9019607843137255	0.9583333333333334	0.9292929292929293	31.52693025024469	22.68679514645133	0.9866666556242832	0.9927120918834782	hmp_airskin_gtdb_source_abundance	sum	102	0
9	drop_prob_lt_0.7_and_breadth_lt_0.2	96	80	79	1	17	0.9875	0.8229166666666666	0.8977272727272727	21.413245211191693	20.491970576404288	0.9924472642110502	0.9926206602650243	hmp_airskin_gtdb_source_abundance	sum	80	22
10	current_calls	69	69	63	6	6	0.9130434782608695	0.9130434782608695	0.9130434782608695	20.729208359157205	18.003822216673804	0.9889496865549157	0.9899775618885671	hmp_airskin_gtdb_source_abundance	sum	69	0
