panel	sample	profile	unique	split	out	table_source	auto_exact_split_used	candidate_abundance_policy	status	added_rows	nonzero_added_rows	added_raw_mass	added_abundance_mass	base_called_raw_mass	max_added_raw_mass_delta	added_policy_values	added_species	added_accessions
hmp_airskin_gtdb_source_abundance	13	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample13.integrated_candidate_surface_abundance.tsv	work	False	normalized-depth-alpha2	replayed	0	0	0.0	0.0	73.84212257489807	0.0			
hmp_airskin_gtdb_source_abundance	14	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample14.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	2	2	4.808989707376749	0.0069158381034475	690.5499292614517	4.440892098500626e-16	normalized-depth-alpha2	s__Streptococcus pneumoniae,s__Streptococcus pseudopneumoniae	GCF_001457635.1,GCF_002087075.1
hmp_airskin_gtdb_source_abundance	15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample15.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	2	2	2.9999323836804885	0.0044540724797256	670.5257898257688	8.881784197001252e-16	normalized-depth-alpha2	s__Streptococcus mitis_AK,s__Streptococcus pneumoniae	GCF_001281025.1,GCF_001457635.1
hmp_airskin_gtdb_source_abundance	16	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	700.4183300548	0.0			
hmp_airskin_gtdb_source_abundance	17	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	765.7900750735467	0.0			
hmp_airskin_gtdb_source_abundance	18	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	1	1	3.741833027399443	0.0048345139313216	770.2414630299387	4.440892098500626e-16	normalized-depth-alpha2	s__Streptococcus pneumoniae	GCF_001457635.1
hmp_airskin_gtdb_source_abundance	19	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample19.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	4	4	9.08702008880001	0.0104320255862693	861.9825544299003	6.661338147750939e-16	normalized-depth-alpha2	s__Haemophilus influenzae_D,s__Haemophilus influenzae_E,s__Haemophilus influenzae_I,s__Streptococcus salivarius_D	GCF_002094975.1,GCF_003494325.1,GCF_019703545.1,GCF_900475755.1
hmp_airskin_gtdb_source_abundance	20	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample20.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	724.4890725705683	0.0			
hmp_airskin_gtdb_source_abundance	21	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample21.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	391.7033044552195	0.0			
hmp_airskin_gtdb_source_abundance	22	/tmp/minco_current_code_hmp_airskin22_20260627/minco_sample22_current_default.tsv	/tmp/minco_current_code_hmp_airskin22_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin22_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample22.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	848.8703787107715	0.0			
hmp_airskin_gtdb_source_abundance	23	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample23.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	0	0	0.0	0.0	464.9654682128142	0.0			
hmp_airskin_gtdb_source_abundance	24	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample24.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	1	1	3.856547770774472	0.0047770700636942	803.4474522446819	8.881784197001252e-16	normalized-depth-alpha2	s__Limosilactobacillus reuteri_L	GCA_000236455.2
hmp_airskin_gtdb_source_abundance	25	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample25.integrated_candidate_surface_abundance.tsv	work	True	normalized-depth-alpha2	replayed	1	1	1.527158056324436	0.0023504623107957	648.1995145689457	0.0	normalized-depth-alpha2	s__Limosilactobacillus reuteri_L	GCA_000236455.2
hmp_airskin_gtdb_source_abundance	28	/tmp/minco_current_code_hmp_airskin28_20260627/minco_sample28_current_default.tsv	/tmp/minco_current_code_hmp_airskin28_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin28_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample28.integrated_candidate_surface_abundance.tsv	work	False	normalized-depth-alpha2	replayed	0	0	0.0	0.0	36.13808924085987	0.0			
hmp_gastrooral_gtdb_source_abundance	0	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	/tmp/minco_current_code_hmp_gastrooral_20260627/sample0_work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_gastrooral_20260627/sample0_work/minco.best_diff_split.exact.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv	sample0_work	True	normalized-depth-alpha2	replayed	1	1	33.37172162017547	0.0594661906311546	527.8164302688051	0.0	normalized-depth-alpha2	s__Clostridium_F botulinum	GCF_001276985.1
hmp_gastrooral_gtdb_source_abundance	6	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv	/tmp/minco_current_code_hmp_gastrooral_20260627/sample6_work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_gastrooral_20260627/sample6_work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv	sample6_work	False	normalized-depth-alpha2	replayed	1	1	0.5867456442384007	0.0071130421659233	81.90196039061986	0.0	normalized-depth-alpha2	s__Flavobacterium psychrophilum	GCF_002217405.1
