method	sample_key	dataset	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	FP_plus_FN	L1	Pearson	tp_abundance_n	added	abundance_mode	source	p_extra	count_ratio	base_n	prob035_n	old_mode	median_uaf	tail_rule_triggered	tail_rescue_added_n	tail_rescue_median_uaf_threshold	tail_rescue_probability_threshold	prob_min	s_xny_min	s_ani_min	s_af_min	s_breadth_min	s_mean_depth_min	topn_per_genus
baseline_tail_low_uaf_probability	plant0	plant	45	54	33	21	12	0.6111111111111112	0.7333333333333333	0.6666666666666666	33	0.7273589956080311	0.849168148240612	33	0	tail_safe	cached20	0.0863375247644302	1.1020408163265305	49	54	probability	0.285	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	plant0	plant	45	60	33	27	12	0.55	0.7333333333333333	0.6285714285714286	39	0.8543008057549575	0.8491681482406119	33	6	tail_safe	cached20	0.0863375247644302	1.1020408163265305	49	54	probability	0.285	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	plant0	plant	45	60	33	27	12	0.55	0.7333333333333333	0.6285714285714286	39	1.246580969842559	0.36686756001192755	33	6	zip_p025	cached20	0.0863375247644302	1.1020408163265305	49	54	probability	0.285	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	plant1	plant	47	59	35	24	12	0.5932203389830508	0.7446808510638298	0.6603773584905661	36	0.5289578080252769	0.9937920754884787	35	0	tail_safe	cached20	0.01609904149512291	1.2340425531914894	47	58	probability	0.233	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	plant1	plant	47	62	35	27	12	0.5645161290322581	0.7446808510638298	0.6422018348623854	39	0.5793355195421851	0.9937920754884797	35	3	tail_safe	cached20	0.01609904149512291	1.2340425531914894	47	58	probability	0.233	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	plant1	plant	47	62	35	27	12	0.5645161290322581	0.7446808510638298	0.6422018348623854	39	0.6238135024120088	0.9771847891165387	35	3	zip_p025	cached20	0.01609904149512291	1.2340425531914894	47	58	probability	0.233	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	plant2	plant	37	46	23	23	14	0.5	0.6216216216216216	0.5542168674698795	37	0.9810169926311446	0.9691784478697686	23	0	tail_safe	cached20	0.04418870803615432	1.0952380952380953	42	46	probability	0.259	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	plant2	plant	37	50	23	27	14	0.46	0.6216216216216216	0.5287356321839081	41	1.0211517463268935	0.9691784478697687	23	4	tail_safe	cached20	0.04418870803615432	1.0952380952380953	42	46	probability	0.259	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	plant2	plant	37	50	23	27	14	0.46	0.6216216216216216	0.5287356321839081	41	1.231398311907975	0.8334493908501207	23	4	zip_p025	cached20	0.04418870803615432	1.0952380952380953	42	46	probability	0.259	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	strain0	strain	20	13	8	5	12	0.6153846153846154	0.4	0.4848484848484849	17	0.2940342475929612	0.9676959149201451	8	0	tail_safe	cached20	0.30312992790955784	1.0	13	13	probability	0.238	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
