method	samples	mean_F1	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only
sylph_gtdb_r232_gastrooral_source_abundance	1	0.9382716049382716	38	4	1	0.9382716049382716	8.099610014595344	5.3344127797925776	0.9986541312423596	0.9996871507410113
minco_current_default_callfilter_diagnostic_gastrooral_sample1_source_abundance	1	0.8717948717948718	34	5	5	0.8717948717948718	18.585816400530007	12.07721968917301	0.9855838199510083	0.9929554027290616
