sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_taxid_mapped	pred_rows_name_mapped	profile	selected_default_profile_preset
0	minco_candidate_default_binomial_fallback	102	96	88	8	14	0.9166666666666666	0.8627450980392157	0.888888888888889	61.248489209674915	52.110525532573284	0.9167330572371721	0.9278209289289101	96	0	96.0	0.0	0.0	/tmp/minco_candidate_preset_replay_20260629/cami3_sample0.candidate_preset.tsv	candidate
0	sylph_binomial_fallback	102	71	69	2	33	0.971830985915493	0.6764705882352942	0.7976878612716763	25.612226850811314	19.47773298530519	0.9807516748327523	0.9903843430732777	71	0					
1	minco_candidate_default_binomial_fallback	110	101	93	8	17	0.9207920792079208	0.8454545454545455	0.8815165876777251	67.1438350886866	59.03343185982531	0.7230086909684869	0.7407189466992823	101	0	101.0	0.0	0.0	/tmp/minco_candidate_preset_replay_20260629/cami3_sample1.candidate_preset.tsv	candidate
1	sylph_binomial_fallback	110	78	74	4	36	0.9487179487179487	0.6727272727272727	0.7872340425531915	33.8456620790412	29.057238136921487	0.893804131378265	0.9067190773402158	78	0					
2	minco_candidate_default_binomial_fallback	107	116	91	25	16	0.7844827586206896	0.8504672897196262	0.8161434977578476	39.36570740987837	33.73421912288591	0.9600359311888502	0.9632881245554804	116	0	116.0	0.0	0.0	/tmp/minco_candidate_preset_replay_20260629/cami3_sample2.candidate_preset.tsv	candidate
2	sylph_binomial_fallback	107	67	61	6	46	0.9104477611940298	0.5700934579439252	0.7011494252873562	33.85181168832146	32.40220878911566	0.9670532334224848	0.9672857621045534	67	0					
