comparison	datasets	sample_count	mean_delta_L1_pp	max_delta_L1_pp	min_delta_L1_pp	improved_L1_count	unchanged_L1_count	worsened_L1_count	mean_delta_F1	max_delta_F1	min_delta_F1	improved_F1_count	unchanged_F1_count	worsened_F1_count	decision	source
adaptive_edge_em_vs_edge_marker	CAMI3 ToyGut,CAMI2 Marine,CAMI2 Strain Madness	3	-0.123826970396	0	-0.308340466942	2	1	0	0	0	0	0	3	0	narrow positive: improves edge-marker abundance without F1 cost	research/experiments/2026-06-24_cross_domain_spot_comparison/results/adaptive_edge_em_delta.tsv
adaptive_edge_em_vs_current_best_minco	CAMI3 ToyGut,CAMI2 Marine,CAMI2 Strain Madness	3	-18.5786236509	0.279517909319	-37.5583452898	2	0	1	-0.0150869449894	0.0151515151515	-0.0335796239563	1	0	2	not promotable: F1 is lower on CAMI3 and marine	research/experiments/2026-06-24_cross_domain_spot_comparison/results/adaptive_edge_em_delta.tsv
adaptive_edge_em_vs_sylph	CAMI3 ToyGut,CAMI2 Marine,CAMI2 Strain Madness	3	1.11145511515	15.6853537214	-18.097153528	1	0	2	-0.0514250837048	-0.00525775313206	-0.0789473684211	0	0	3	not promotable: F1 is lower on all three spot samples	research/experiments/2026-06-24_cross_domain_spot_comparison/results/adaptive_edge_em_delta.tsv
