panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	L1_union_pp	Pearson_union	rescued_species	rescued_TP	rescued_FP	rule
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny650_breadth0.50
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.05	198	165	159	6	39	0.9636363636363636	0.803030303030303	0.8760330578512396	17.185888179619642	0.991380913351835	3	2	1	zero-mass raw candidate retention rule raw_ani0.95_xny100_breadth0.05
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.10	198	165	159	6	39	0.9636363636363636	0.803030303030303	0.8760330578512396	17.185888179619642	0.991380913351835	3	2	1	zero-mass raw candidate retention rule raw_ani0.95_xny100_breadth0.10
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.20	198	165	159	6	39	0.9636363636363636	0.803030303030303	0.8760330578512396	17.185888179619642	0.991380913351835	3	2	1	zero-mass raw candidate retention rule raw_ani0.95_xny100_breadth0.20
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.30	198	164	158	6	40	0.9634146341463414	0.797979797979798	0.8729281767955802	17.185888179619642	0.991380913351835	2	1	1	zero-mass raw candidate retention rule raw_ani0.95_xny100_breadth0.30
cami2_toy_mouse_gut	5	raw_ani0.95_xny100_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny100_breadth0.50
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.05	198	165	159	6	39	0.9636363636363636	0.803030303030303	0.8760330578512396	17.185888179619642	0.991380913351835	3	2	1	zero-mass raw candidate retention rule raw_ani0.95_xny250_breadth0.05
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.10	198	165	159	6	39	0.9636363636363636	0.803030303030303	0.8760330578512396	17.185888179619642	0.991380913351835	3	2	1	zero-mass raw candidate retention rule raw_ani0.95_xny250_breadth0.10
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.20	198	165	159	6	39	0.9636363636363636	0.803030303030303	0.8760330578512396	17.185888179619642	0.991380913351835	3	2	1	zero-mass raw candidate retention rule raw_ani0.95_xny250_breadth0.20
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.30	198	164	158	6	40	0.9634146341463414	0.797979797979798	0.8729281767955802	17.185888179619642	0.991380913351835	2	1	1	zero-mass raw candidate retention rule raw_ani0.95_xny250_breadth0.30
cami2_toy_mouse_gut	5	raw_ani0.95_xny250_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny250_breadth0.50
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.05	198	164	159	5	39	0.9695121951219512	0.803030303030303	0.8784530386740331	17.185888179619642	0.991379921189631	2	2	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.05
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.10	198	164	159	5	39	0.9695121951219512	0.803030303030303	0.8784530386740331	17.185888179619642	0.991379921189631	2	2	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.10
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.20	198	164	159	5	39	0.9695121951219512	0.803030303030303	0.8784530386740331	17.185888179619642	0.991379921189631	2	2	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.20
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.30	198	163	158	5	40	0.9693251533742331	0.797979797979798	0.8753462603878116	17.185888179619642	0.991379921189631	1	1	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.30
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.50
