method	sample_count	mean_sample_L1_delta_pp	max_sample_worse_L1_delta_pp	improved_samples	worsened_samples	panel_count	mean_panel_L1_delta_pp	max_panel_worse_L1_delta_pp	improved_panels	worsened_panels	mean_Pearson_delta
genus_u_rel_depth_a0.02	32	0.05379242765485365	0.684519114542887	16	16	4	0.02995120977472752	0.12324198919719453	2	2	-7.174717595381103e-06
genus_max_norm_depth_a0.25	32	0.0979236395078533	2.403020375731799	16	16	4	0.3451133883746789	1.4537128274963882	1	3	2.9379196692037174e-05
genus_max_rel_depth_a0.25	32	0.0979236395078533	2.403020375731799	16	16	4	0.3451133883746789	1.4537128274963882	1	3	2.9379196692037174e-05
global_max_hit_breadth_a0.1	32	0.5679438486338408	11.709626004164928	16	16	4	0.6120022999824523	0.9786908182493264	0	4	-0.0008556320305217399
genus_max_hit_breadth_a0.1	32	-0.17072086278519452	0.5978222188365692	15	17	4	0.03678216040000713	0.36202743973509044	2	2	0.00032273529805916523
global_sum_norm_depth_a0.02	32	-0.007909696968890573	0.5418890725205046	15	17	4	-0.076010739353685	0.09261880256589095	2	2	0.00015122146666530015
global_sum_rel_depth_a0.02	32	-0.007909696968890573	0.5418890725205046	15	17	4	-0.076010739353685	0.09261880256589095	2	2	0.00015122146666530015
global_sum_norm_depth_a0.01	32	-0.0075593881561510645	0.2697773955455176	15	17	4	-0.039946065584389574	0.04476076229426962	2	2	7.873130683026461e-05
global_sum_rel_depth_a0.01	32	-0.0075593881561510645	0.2697773955455176	15	17	4	-0.039946065584389574	0.04476076229426962	2	2	7.873130683026461e-05
global_sum_norm_depth_a0.005	32	-0.004486050610312126	0.13488869777276946	15	17	4	-0.020355957389505425	0.021903056522973863	2	2	4.0147937095495745e-05
global_sum_rel_depth_a0.005	32	-0.004486050610312126	0.13488869777276946	15	17	4	-0.020355957389505425	0.021903056522973863	2	2	4.0147937095495745e-05
genus_zip_norm_depth_a0.02	32	0.0026777382356683865	0.32129068759682866	15	17	4	0.042976308262267233	0.21489186419450057	3	1	8.148615839101425e-07
genus_prob_norm_depth_a0.25	32	0.07365962359500952	2.6040327516139	15	17	4	0.3104163238336684	1.5874147808669106	1	3	5.5093094984255686e-05
global_max_mean_breadth_a0.25	32	0.07630503756270385	7.089991106521978	15	17	4	0.6867510349882551	2.9820070124838813	2	2	-0.0015622145167951546
genus_sum_norm_depth_a0.25	32	0.2609988737956615	2.9668174188688	15	17	4	0.3330917892051014	1.2393742845030067	1	3	-0.00021026344852662082
genus_sum_rel_depth_a0.25	32	0.2609988737956615	2.9668174188688	15	17	4	0.3330917892051014	1.2393742845030067	1	3	-0.00021026344852662082
genus_realaf_norm_depth_a0.25	32	-0.09638640659007205	2.0962233464691415	14	18	4	0.2001861026707381	1.222544609560554	2	2	0.0002627391588501775
genus_xny_norm_depth_a0.25	32	-0.09638640659007205	2.0962233464691415	14	18	4	0.2001861026707381	1.222544609560554	2	2	0.0002627391588501775
global_max_norm_depth_a0.1	32	0.03169820810939364	1.8725400803661252	14	18	4	-0.1616994937384938	0.6111933703911916	1	3	0.0006043336788569796
global_max_rel_depth_a0.1	32	0.03169820810939364	1.8725400803661252	14	18	4	-0.1616994937384938	0.6111933703911916	1	3	0.0006043336788569796
genus_max_mean_breadth_a0.25	32	-0.19385143109230984	3.0607734629168704	13	19	4	0.279576705170952	1.685310731823055	2	2	-0.00029630978562214874
genus_raw_zip_a0.005	32	0.005724960620956038	0.03739271443271264	13	19	4	0.007870686440512309	0.02690014112029626	1	3	-8.525394005719222e-06
genus_raw_zip_a0.01	32	0.011496134036741296	0.07478542886541106	13	19	4	0.01576900551369827	0.05380028224058808	1	3	-1.734350464903736e-05
genus_raw_zip_a0.02	32	0.024045614389621717	0.16867590141620425	13	19	4	0.03191065581311297	0.10760056448116995	1	3	-3.585828190185228e-05
genus_max_hit_breadth_a0.25	32	-0.006662556486897897	1.6560000363265885	12	20	4	0.2913645953102071	0.9050685993377208	1	3	0.00038763375646007694
global_zip_norm_depth_a0.005	32	0.0033591114759757845	0.1519239040537137	12	20	4	-0.020073205665539717	0.0493802665329488	2	2	2.677144847520671e-05
global_zip_norm_depth_a0.01	32	0.009049671029954576	0.3049112638064244	12	20	4	-0.03859725644968626	0.09971518231421239	2	2	5.0782907220527085e-05
genus_zip_norm_depth_a0.05	32	0.05014135872043926	0.8032267189920219	12	20	4	0.13163863307065032	0.5372296604862541	2	2	-2.706800753632041e-05
global_sum_norm_depth_a0.05	32	0.05682223509266765	1.368303501887283	12	20	4	-0.09781738950492994	0.31164686469264247	1	3	0.0003315767952530718
global_sum_rel_depth_a0.05	32	0.05682223509266765	1.368303501887283	12	20	4	-0.09781738950492994	0.31164686469264247	1	3	0.0003315767952530718
genus_raw_zip_a0.05	32	0.06599671751965619	0.4788633055945333	12	20	4	0.0852519578634941	0.2690014112029395	1	3	-9.843814607241388e-05
genus_raw_zip_a0.1	32	0.14538001537468218	0.995842312558409	12	20	4	0.1855960797564646	0.5380028224058373	1	3	-0.00022623405512553138
genus_zip_norm_depth_a0.1	32	0.1904361983816036	1.6064534379840438	12	20	4	0.31946769486496773	1.0744593209725108	1	3	-0.00015134198637432525
genus_u_norm_depth_a0.05	32	0.20982257695660791	1.7381102685356993	12	20	4	0.11150224427650286	0.333881203818585	2	2	-7.288143321506138e-05
genus_u_rel_depth_a0.05	32	0.20982257695660791	1.7381102685356993	12	20	4	0.11150224427650286	0.333881203818585	2	2	-7.288143321506138e-05
global_prob_norm_depth_a0.25	32	0.7663387806552218	5.213586640484731	12	20	4	0.6186082239995999	2.8273063263211933	1	3	5.7621459981786055e-05
global_raw_norm_depth_a0.25	32	2.893427681461957	17.798607519179654	12	20	4	4.835529475806559	14.388089529070852	0	4	-0.003441083971166107
global_zip_norm_depth_a0.02	32	0.03778143258239414	0.6154826392098478	11	21	4	-0.04504589508404544	0.21269044793125058	1	3	9.057040031591745e-05
global_zip_norm_depth_a0.05	32	0.19527710515046046	1.6122261910519846	11	21	4	-0.0015673873487982992	0.5900933985001346	1	3	0.00014480905379707712
