method	panels	mean_panel_pooled_F1	mean_panel_official_L1_pp	mean_panel_Pearson_union	mean_panel_added_mass_before_norm	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson_union	improved_samples_L1	worsened_samples_L1	unchanged_samples_L1	improved_panels_L1	worsened_panels_L1	mean_added_mass_before_norm
raw_abundance_scaled_alpha0.5	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	43.53081933850897	0.8497620739009231	0.16898293229166667	2.461558682896026	50.95425266632673	-0.025966144942880024	10.0	3.0	19.0	2.0	2.0	0.06339965624999999
raw_abundance_scaled_alpha0.5_cap0.001	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.89193884510169	0.919178043971933	0.0008425885416666666	-0.05375718589146633	0.0	0.00019476187697763103	13.0	0.0	19.0	4.0	0.0	0.000527765625
raw_abundance_scaled_alpha0.5_cap0.003	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.70241192552857	0.9201178531178309	0.002215453125	-0.12461710872798004	0.0	0.0005362094532066659	13.0	0.0	19.0	4.0	0.0	0.001061953125
raw_abundance_scaled_alpha0.5_cap0.005	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.52996992536008	0.9210131600530689	0.0034654531250000002	-0.18525405248627047	0.0	0.0008521572073496679	13.0	0.0	19.0	4.0	0.0	0.001499453125
raw_abundance_scaled_alpha0.5_cap0.01	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.13926913440504	0.9231519382132364	0.0065904531249999995	-0.3217646393820076	0.0	0.0016066793331418402	13.0	0.0	19.0	4.0	0.0	0.002593203125
raw_abundance_scaled_alpha0.5_cap0.02	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.53559379895199	0.9267113125268309	0.012316265625	-0.5366508944378385	0.0	0.0028898195418353943	13.0	0.0	19.0	4.0	0.0	0.00464965625
raw_abundance_scaled_alpha0.5_cap0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	34.46264156787064	0.9330449859285898	0.027316265625	-0.9390079810933469	0.9432600305391254	0.005264947067494967	12.0	1.0	19.0	3.0	1.0	0.01027465625
raw_abundance_scaled_alpha1	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	51.26350659070219	0.7881080628007174	0.33796586458333333	5.371312555483957	81.59274987278457	-0.04918338657858544	9.0	4.0	19.0	2.0	2.0	0.12679931249999998
raw_abundance_scaled_alpha10	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	77.63651448604224	0.6925568671894698	3.3796586458333335	15.160293987066455	160.49327652832943	-0.08336673384290245	2.0	11.0	19.0	0.0	4.0	1.2679931249999998
raw_abundance_scaled_alpha1_cap0.001	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.89115908015311	0.9191791963252305	0.0008674791666666667	-0.05609648073721413	0.0	0.00019821893687010234	13.0	0.0	19.0	4.0	0.0	0.0006024375000000001
raw_abundance_scaled_alpha1_cap0.003	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.67596756591887	0.9201474826292516	0.002458302083333333	-0.14662462288515432	0.0	0.0005593513506575859	13.0	0.0	19.0	4.0	0.0	0.0013749062500000003
raw_abundance_scaled_alpha1_cap0.005	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.49672473207294	0.9210570544994323	0.0038018854166666665	-0.21387353090985628	0.0	0.0008903786484246445	13.0	0.0	19.0	4.0	0.0	0.0018930937499999998
raw_abundance_scaled_alpha1_cap0.01	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.10568004324815	0.923196594238607	0.0069309062500000004	-0.35141581141485045	0.0	0.0016471855112383561	13.0	0.0	19.0	4.0	0.0	0.00299890625
raw_abundance_scaled_alpha1_cap0.02	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.43968046136035	0.9270349660064298	0.013180906249999999	-0.5818831280793708	0.0	0.00300007508348896	13.0	0.0	19.0	4.0	0.0	0.00518640625
raw_abundance_scaled_alpha1_cap0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	34.21264114979789	0.934055623087647	0.029632531249999997	-1.0227619848551575	0.9432600305391254	0.005546948529013131	12.0	1.0	19.0	3.0	1.0	0.0111743125
raw_abundance_scaled_alpha2	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	60.276621056323506	0.7468642810804154	0.6759317291666667	8.734872554716105	113.38714549451268	-0.0647642428180861	9.0	4.0	19.0	2.0	2.0	0.25359862499999997
raw_abundance_scaled_alpha2_cap0.001	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.89100210079246	0.9191792179811851	0.0008703750000000001	-0.05656741881915378	0.0	0.00019828390473382654	13.0	0.0	19.0	4.0	0.0	0.000611125
raw_abundance_scaled_alpha2_cap0.003	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.67373881526132	0.9201515946404146	0.0025689791666666665	-0.15331087485778683	0.0	0.0005716873841467227	13.0	0.0	19.0	4.0	0.0	0.0017069375000000001
raw_abundance_scaled_alpha2_cap0.005	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.49965716059772	0.9210851984369202	0.0041561875	-0.23475061903109057	0.0	0.0009180243016195765	13.0	0.0	19.0	4.0	0.0	0.0024685625000000003
raw_abundance_scaled_alpha2_cap0.01	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.120931101123425	0.9232534636145646	0.007603770833333333	-0.38046180799375956	0.0	0.0017038136271125132	13.0	0.0	19.0	4.0	0.0	0.0037861874999999996
