source	method	samples	mean_F1	mean_L1	mean_Pearson	mean_FP_plus_FN	mean_added
cached20	baseline_tail_low_uaf_probability	20	0.6927288885449827	0.6139562942560401	0.9327316028331823	41.6	0.0
cached20	loose_cami3_split_rescue_tail_safe	20	0.6864718851670591	0.6421443802859531	0.9322043730375867	43.65	2.65
cached20	loose_cami3_split_rescue_zip_p025	20	0.6864718851670591	0.7119673452575384	0.8709502448498831	43.65	2.65
cami3_current	baseline_tail_low_uaf_probability	6	0.7647449184553891	0.6544471762755539	0.9605642271169281	44.5	0.0
cami3_current	loose_cami3_split_rescue_tail_safe	6	0.7564410295374477	0.6583767084199396	0.956679185647824	46.833333333333336	2.6666666666666665
cami3_current	loose_cami3_split_rescue_zip_p025	6	0.7564410295374477	0.6612438745506856	0.9659597839020079	46.833333333333336	2.6666666666666665
