method	mean_delta_F1	min_delta_F1	sample_worsen_n	sample_improve_n	mean_delta_L1_union_pp	mean_delta_Pearson_union	total_TP_delta	total_FP_delta	total_FN_delta	rescued_TP	rescued_FP	panel_worsen_n	panel_improve_n	min_panel_delta_pooled_F1	mean_panel_delta_pooled_F1	strict_pass
wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_normalized-depth-alpha2	0.0066714037833090455	0.0	0	20	-0.4880580349883114	0.004763419405295767	30	5	-30	0	0	0	6	0.0	0.00613564801603634	True
wrapper_accession-current-or-ani93-xny650-br20_maxcalls250_zero	0.0066714037833090455	0.0	0	20	-0.018777001680657022	0.00032245675730632425	30	5	-30	0	0	0	6	0.0	0.00613564801603634	True
