sample	wall_time	seconds	peak_rss_kb	peak_rss_gib	user_time_s	system_time_s	profile	exists	profile_strategy	adaptive_mode	auto_exact_split_requested	auto_exact_split_used	auto_exact_split_source	auto_exact_split_unavailable_reason	low_extra_split_rescue_added_n	probability_extra_mass_ratio	time_log
0	4:00.22	240.22	3980208	3.7958	948.40	21.18	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	true	universal-auto-exact	base	True	True	rerun		0	0.0016991656510694	/tmp/minco_current_code_hmp_gastrooral_20260627/sample0_current_default.time.log
6	2:03.11	123.11	3488428	3.3268	523.58	13.53	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv	true	universal-auto-exact	rescue	False	False			0	0.3104491763906995	/tmp/minco_current_code_hmp_gastrooral_20260627/sample6_current_default.time.log
