route	sample	rule	TP	FP	FN	F1	base_TP	base_FP	base_FN	base_F1	delta_F1	added_species	added_TP	added_FP
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny500_breadth0.10	294	78	73	0.7956698240866035	279	69	88	0.7804195804195804	0.0152502436670231	24	15	9
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny500_breadth0.20	294	77	73	0.7967479674796748	279	69	88	0.7804195804195804	0.01632838706009443	23	15	8
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny500_breadth0.30	294	77	73	0.7967479674796748	279	69	88	0.7804195804195804	0.01632838706009443	23	15	8
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny500_breadth0.50	290	71	77	0.7967032967032968	279	69	88	0.7804195804195804	0.016283716283716387	13	11	2
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.05	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.10	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.20	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.30	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.50	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny100_breadth0.05	314	81	53	0.8241469816272966	279	69	88	0.7804195804195804	0.04372740120771623	47	35	12
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny100_breadth0.10	312	80	55	0.8221343873517788	279	69	88	0.7804195804195804	0.04171480693219842	44	33	11
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny100_breadth0.20	305	76	62	0.8155080213903741	279	69	88	0.7804195804195804	0.03508844097079378	33	26	7
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny100_breadth0.30	300	75	67	0.8086253369272237	279	69	88	0.7804195804195804	0.028205756507643343	27	21	6
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny100_breadth0.50	290	71	77	0.7967032967032968	279	69	88	0.7804195804195804	0.016283716283716387	13	11	2
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny250_breadth0.05	305	76	62	0.8155080213903741	279	69	88	0.7804195804195804	0.03508844097079378	33	26	7
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny250_breadth0.10	305	76	62	0.8155080213903741	279	69	88	0.7804195804195804	0.03508844097079378	33	26	7
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny250_breadth0.20	305	76	62	0.8155080213903741	279	69	88	0.7804195804195804	0.03508844097079378	33	26	7
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny250_breadth0.30	300	75	67	0.8086253369272237	279	69	88	0.7804195804195804	0.028205756507643343	27	21	6
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny250_breadth0.50	290	71	77	0.7967032967032968	279	69	88	0.7804195804195804	0.016283716283716387	13	11	2
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny500_breadth0.05	293	74	74	0.7983651226158038	279	69	88	0.7804195804195804	0.017945542196223463	19	14	5
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny500_breadth0.10	293	74	74	0.7983651226158038	279	69	88	0.7804195804195804	0.017945542196223463	19	14	5
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny500_breadth0.20	293	74	74	0.7983651226158038	279	69	88	0.7804195804195804	0.017945542196223463	19	14	5
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny500_breadth0.30	293	74	74	0.7983651226158038	279	69	88	0.7804195804195804	0.017945542196223463	19	14	5
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny500_breadth0.50	290	71	77	0.7967032967032968	279	69	88	0.7804195804195804	0.016283716283716387	13	11	2
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny650_breadth0.05	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny650_breadth0.10	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny650_breadth0.20	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny650_breadth0.30	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.97_xny650_breadth0.50	289	70	78	0.7961432506887052	279	69	88	0.7804195804195804	0.0157236702691248	11	10	1
marine_setup_truth_profile_rescore	3	raw_ani0.93_xny500_breadth0.20_depth2	287	75	80	0.7873799725651578	279	69	88	0.7804195804195804	0.006960392145577421	14	8	6
marine_setup_truth_profile_rescore	3	raw_ani0.93_xny500_breadth0.20_depth5	281	70	86	0.7827298050139276	279	69	88	0.7804195804195804	0.0023102245943472655	3	2	1
marine_setup_truth_profile_rescore	3	raw_ani0.93_xny500_breadth0.30_depth2	287	73	80	0.7895460797799175	279	69	88	0.7804195804195804	0.00912649936033716	12	8	4
marine_setup_truth_profile_rescore	3	raw_ani0.93_xny500_breadth0.30_depth5	281	69	86	0.7838214783821478	279	69	88	0.7804195804195804	0.0034018979625674017	2	2	0
marine_setup_truth_profile_rescore	3	raw_ani0.93_xny650_breadth0.20_depth2	286	71	81	0.7900552486187845	279	69	88	0.7804195804195804	0.00963566819920414	9	7	2
marine_setup_truth_profile_rescore	3	raw_ani0.93_xny650_breadth0.20_depth5	281	70	86	0.7827298050139276	279	69	88	0.7804195804195804	0.0023102245943472655	3	2	1
marine_setup_truth_profile_rescore	3	raw_ani0.93_xny650_breadth0.30_depth2	286	70	81	0.7911479944674966	279	69	88	0.7804195804195804	0.010728414047916246	8	7	1
marine_setup_truth_profile_rescore	3	raw_ani0.93_xny650_breadth0.30_depth5	281	69	86	0.7838214783821478	279	69	88	0.7804195804195804	0.0034018979625674017	2	2	0
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny500_breadth0.20_depth2	287	73	80	0.7895460797799175	279	69	88	0.7804195804195804	0.00912649936033716	12	8	4
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny500_breadth0.20_depth5	281	69	86	0.7838214783821478	279	69	88	0.7804195804195804	0.0034018979625674017	2	2	0
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny500_breadth0.30_depth2	287	73	80	0.7895460797799175	279	69	88	0.7804195804195804	0.00912649936033716	12	8	4
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny500_breadth0.30_depth5	281	69	86	0.7838214783821478	279	69	88	0.7804195804195804	0.0034018979625674017	2	2	0
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.20_depth2	286	70	81	0.7911479944674966	279	69	88	0.7804195804195804	0.010728414047916246	8	7	1
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.20_depth5	281	69	86	0.7838214783821478	279	69	88	0.7804195804195804	0.0034018979625674017	2	2	0
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.30_depth2	286	70	81	0.7911479944674966	279	69	88	0.7804195804195804	0.010728414047916246	8	7	1
marine_setup_truth_profile_rescore	3	raw_ani0.95_xny650_breadth0.30_depth5	281	69	86	0.7838214783821478	279	69	88	0.7804195804195804	0.0034018979625674017	2	2	0
marine_setup_truth_profile_rescore	4	baseline_no_raw_add	209	54	56	0.7916666666666667	209	54	56	0.7916666666666667	0.0	0	0	0
marine_setup_truth_profile_rescore	4	raw_default_major	218	55	47	0.8104089219330856	209	54	56	0.7916666666666667	0.018742255266418817	10	9	1
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny100_breadth0.05	245	79	20	0.8319185059422751	209	54	56	0.7916666666666667	0.04025183927560838	61	36	25
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny100_breadth0.10	245	78	20	0.8333333333333334	209	54	56	0.7916666666666667	0.04166666666666663	60	36	24
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny100_breadth0.20	232	72	33	0.8154657293497363	209	54	56	0.7916666666666667	0.023799062683069527	41	23	18
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny100_breadth0.30	225	62	40	0.8152173913043478	209	54	56	0.7916666666666667	0.023550724637681042	24	16	8
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny100_breadth0.50	218	55	47	0.8104089219330856	209	54	56	0.7916666666666667	0.018742255266418817	10	9	1
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny250_breadth0.05	231	75	34	0.809106830122592	209	54	56	0.7916666666666667	0.01744016345592525	43	22	21
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny250_breadth0.10	231	75	34	0.809106830122592	209	54	56	0.7916666666666667	0.01744016345592525	43	22	21
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny250_breadth0.20	231	72	34	0.8133802816901409	209	54	56	0.7916666666666667	0.02171361502347413	40	22	18
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny250_breadth0.30	225	62	40	0.8152173913043478	209	54	56	0.7916666666666667	0.023550724637681042	24	16	8
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny250_breadth0.50	218	55	47	0.8104089219330856	209	54	56	0.7916666666666667	0.018742255266418817	10	9	1
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny500_breadth0.05	219	64	46	0.7992700729927008	209	54	56	0.7916666666666667	0.007603406326034068	20	10	10
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny500_breadth0.10	219	64	46	0.7992700729927008	209	54	56	0.7916666666666667	0.007603406326034068	20	10	10
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny500_breadth0.20	219	62	46	0.8021978021978023	209	54	56	0.7916666666666667	0.010531135531135605	18	10	8
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny500_breadth0.30	219	61	46	0.8036697247706424	209	54	56	0.7916666666666667	0.012003058103975617	17	10	7
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny500_breadth0.50	218	55	47	0.8104089219330856	209	54	56	0.7916666666666667	0.018742255266418817	10	9	1
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny650_breadth0.05	217	56	48	0.8066914498141264	209	54	56	0.7916666666666667	0.015024783147459697	10	8	2
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny650_breadth0.10	217	56	48	0.8066914498141264	209	54	56	0.7916666666666667	0.015024783147459697	10	8	2
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny650_breadth0.20	217	56	48	0.8066914498141264	209	54	56	0.7916666666666667	0.015024783147459697	10	8	2
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny650_breadth0.30	217	56	48	0.8066914498141264	209	54	56	0.7916666666666667	0.015024783147459697	10	8	2
marine_setup_truth_profile_rescore	4	raw_ani0.93_xny650_breadth0.50	217	55	48	0.8081936685288641	209	54	56	0.7916666666666667	0.016527001862197355	9	8	1
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny100_breadth0.05	243	71	22	0.8393782383419689	209	54	56	0.7916666666666667	0.047711571675302156	51	34	17
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny100_breadth0.10	243	71	22	0.8393782383419689	209	54	56	0.7916666666666667	0.047711571675302156	51	34	17
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny100_breadth0.20	231	66	34	0.8220640569395019	209	54	56	0.7916666666666667	0.030397390272835167	34	22	12
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny100_breadth0.30	225	61	40	0.8166969147005444	209	54	56	0.7916666666666667	0.025030248033877656	23	16	7
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny100_breadth0.50	218	55	47	0.8104089219330856	209	54	56	0.7916666666666667	0.018742255266418817	10	9	1
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny250_breadth0.05	230	68	35	0.8170515097690942	209	54	56	0.7916666666666667	0.0253848431024275	35	21	14
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny250_breadth0.10	230	68	35	0.8170515097690942	209	54	56	0.7916666666666667	0.0253848431024275	35	21	14
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny250_breadth0.20	230	66	35	0.8199643493761141	209	54	56	0.7916666666666667	0.028297682709447325	33	21	12
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny250_breadth0.30	225	61	40	0.8166969147005444	209	54	56	0.7916666666666667	0.025030248033877656	23	16	7
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny250_breadth0.50	218	55	47	0.8104089219330856	209	54	56	0.7916666666666667	0.018742255266418817	10	9	1
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny500_breadth0.05	219	62	46	0.8021978021978023	209	54	56	0.7916666666666667	0.010531135531135605	18	10	8
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny500_breadth0.10	219	62	46	0.8021978021978023	209	54	56	0.7916666666666667	0.010531135531135605	18	10	8
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny500_breadth0.20	219	61	46	0.8036697247706424	209	54	56	0.7916666666666667	0.012003058103975617	17	10	7
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny500_breadth0.30	219	61	46	0.8036697247706424	209	54	56	0.7916666666666667	0.012003058103975617	17	10	7
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny500_breadth0.50	218	55	47	0.8104089219330856	209	54	56	0.7916666666666667	0.018742255266418817	10	9	1
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny650_breadth0.05	217	56	48	0.8066914498141264	209	54	56	0.7916666666666667	0.015024783147459697	10	8	2
marine_setup_truth_profile_rescore	4	raw_ani0.95_xny650_breadth0.10	217	56	48	0.8066914498141264	209	54	56	0.7916666666666667	0.015024783147459697	10	8	2
