rule	mean_route_delta_pooled_F1	min_route_delta_pooled_F1	route_worsen_n	route_improve_n	sample_worsen_n	sample_improve_n	added_species	added_TP	added_FP	strict_pass
raw_ani0.93_xny500_breadth0.20	0.010848563581989434	0.009837126685934505	0	2	1	5	65	39	26	False
raw_ani0.93_xny500_breadth0.05	0.010228629305368608	0.009837126685934505	0	2	1	5	68	39	29	False
raw_ani0.93_xny500_breadth0.10	0.010228629305368608	0.009837126685934505	0	2	1	5	68	39	29	False
raw_ani0.93_xny500_breadth0.20_depth2	0.008475359742999455	0.0071135928000644055	0	2	1	5	41	25	16	False
raw_ani0.93_xny100_breadth0.30	0.01510770068886702	0.004843145551257311	0	2	1	5	83	58	25	False
raw_ani0.93_xny250_breadth0.30	0.01510770068886702	0.004843145551257311	0	2	1	5	83	58	25	False
raw_ani0.93_xny500_breadth0.30	0.008973452691721229	0.004843145551257311	0	2	1	5	60	37	23	False
raw_ani0.93_xny500_breadth0.30_depth2	0.006604383122187196	0.004843145551257311	0	2	1	5	36	23	13	False
raw_ani0.95_xny500_breadth0.20_depth5	0.0020643175400525404	0.001592999115192728	0	2	1	3	10	6	4	False
raw_ani0.95_xny500_breadth0.30_depth5	0.0020643175400525404	0.001592999115192728	0	2	1	3	10	6	4	False
raw_ani0.93_xny500_breadth0.30_depth5	0.0019623183560460444	0.001592999115192728	0	2	2	4	13	7	6	False
raw_ani0.93_xny500_breadth0.20_depth5	0.0027992167156253855	0.0007552878799934604	0	2	2	4	16	8	8	False
baseline_no_raw_add	0.0	0.0	0	0	0	0	0	0	0	False
raw_ani0.93_xny100_breadth0.05	0.022880507805135397	-0.0024202565913371554	1	1	2	4	244	144	100	False
raw_ani0.93_xny100_breadth0.10	0.021143255612855127	-0.0024202565913371554	1	1	2	4	214	128	86	False
raw_ani0.93_xny250_breadth0.05	0.009882762112213561	-0.0024202565913371554	1	1	2	4	152	80	72	False
raw_ani0.93_xny250_breadth0.10	0.009882762112213561	-0.0024202565913371554	1	1	2	4	152	80	72	False
raw_ani0.93_xny100_breadth0.20	0.012701344595750286	-0.004879127358490498	1	1	2	4	141	83	58	False
raw_ani0.93_xny250_breadth0.20	0.011099159541968606	-0.004879127358490498	1	1	2	4	134	77	57	False
