method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_FP_plus_FN	mean_abundance_l1	mean_tp_abundance_pearson	mean_tp_abundance_mae
sylph_default	gastrooral0,gastrooral6	0.9015873015873017	0.8999999999999999	72	7	9	8.0	0.3116283347743381	0.9968388046816734	0.00178075110151135
minco_current_universal_tablemode	gastrooral0,gastrooral6	0.8616464963394592	0.8554216867469879	71	14	10	12.0	0.7661912197893734	0.8670239982831627	0.016197537106507752
minco_unique_direct_ani0.95	gastrooral0,gastrooral6	0.8329962925513987	0.8258064516129032	64	10	17	13.5	0.9865464438705666	0.8413528753734447	0.01692279552567325
minco_split_direct_ani0.95	gastrooral0,gastrooral6	0.778180938558297	0.7717391304347826	71	32	10	21.0	0.8370399038996367	0.8154209273819806	0.017334895452504648
minco_profile_default	gastrooral0,gastrooral6	0.761625380269448	0.7591240875912408	52	4	29	16.5	1.0173989785091693	0.8228938651678444	0.02157006546664125
