route	rule	pooled_F1	base_pooled_F1	delta_pooled_F1	mean_delta_F1	worsened_samples	improved_samples	TP	FP	FN	added_species	added_TP	added_FP
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.20	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.20_depth2	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.20_depth5	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.30	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.30_depth2	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.30_depth5	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.50	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.05	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.10	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.20	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.20_depth2	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.20_depth5	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.30	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.30_depth2	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.30_depth5	0.7017543859649124	0.69921875	0.0025356359649123528	0.0030207970256768135	0	1	180	41	112	1	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny650_breadth0.50	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny100_breadth0.05	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny100_breadth0.10	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny100_breadth0.20	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny100_breadth0.30	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny100_breadth0.50	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
