sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	panel	official_L1_pp	official_Pearson	current_official_L1_pp	current_official_Pearson	delta_current_L1_pp	delta_current_Pearson
5	current_calibrated_abundance	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.18588817961991	15.414228172609581	0.9913799211896311	0.9917478920123489	cami2_toy_mouse_gut	15.414228172609581	0.9917478920123489	15.414228172609581	0.9917478920123489	0.0	0.0
6	current_calibrated_abundance	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189063205	20.062955823580985	0.9729828392129997	0.9737545137280396	cami2_toy_mouse_gut	20.062955823580985	0.9737545137280396	20.062955823580985	0.9737545137280396	0.0	0.0
7	current_calibrated_abundance	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.91567413224301	5.826327372590053	0.9984269486093535	0.9984274174395251	cami2_toy_mouse_gut	5.826327372590053	0.9984274174395251	5.826327372590053	0.9984274174395251	0.0	0.0
0	current_calibrated_abundance	93	94	78	16	15	0.8297872340425532	0.8387096774193549	0.8342245989304814	63.076452718461915	51.39098086404711	0.910778777663967	0.9228891836223625	cami3_toy_human_gut_gtdb_source_readmap	63.076452718461915	0.910778777663967	63.076452718461915	0.910778777663967	0.0	0.0
1	current_calibrated_abundance	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	75.04358937786795	65.46100214605637	0.6504147643645247	0.6658588506113589	cami3_toy_human_gut_gtdb_source_readmap	75.04358937786795	0.6504147643645247	75.04358937786795	0.6504147643645247	0.0	0.0
2	current_calibrated_abundance	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	50.07604500394414	38.645236088882996	0.9105517870034342	0.9212311577120739	cami3_toy_human_gut_gtdb_source_readmap	50.07604500394414	0.9105517870034342	50.07604500394414	0.9105517870034342	0.0	0.0
11	current_calibrated_abundance	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750639142	22.345748750639142	0.9390039844436854	0.9390039844436854	hmp_airskin_gtdb_source_abundance	22.345748750639142	0.9390039844436854	22.345748750639142	0.9390039844436854	0.0	0.0
28	current_calibrated_abundance	12	15	12	3	0	0.8	1.0	0.888888888888889	18.352633533107504	10.977119798332371	0.9890339281762488	0.9978801202854538	hmp_airskin_gtdb_source_abundance	18.352633533107504	0.9890339281762488	18.352633533107504	0.9890339281762488	0.0	0.0
6	current_calibrated_abundance	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468816	12.202962601464062	0.9122239933982667	0.9760025717718571	hmp_airskin_gtdb_source_abundance	23.215391722468816	0.9122239933982667	23.215391722468816	0.9122239933982667	0.0	0.0
0	current_calibrated_abundance	34	34	32	2	2	0.9411764705882353	0.9411764705882353	0.9411764705882353	19.900922102529307	18.889892034209794	0.954929442684041	0.9547660906648995	hmp_gastrooral_gtdb_source_abundance	19.900922102529307	0.954929442684041	19.900922102529307	0.954929442684041	0.0	0.0
6	current_calibrated_abundance	47	51	44	7	3	0.8627450980392157	0.9361702127659575	0.8979591836734694	78.07306011011974	74.3612682333869	0.8096239564470536	0.8103926404276288	hmp_gastrooral_gtdb_source_abundance	78.07306011011974	0.8096239564470536	78.07306011011974	0.8096239564470536	0.0	0.0
5	lopo_ridge_log_alpha1_blend1	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	88.29582982547547	87.42806978198401	0.9363829857199463	0.936500215627734	cami2_toy_mouse_gut	87.42806978198401	0.936500215627734	15.414228172609581	0.9917478920123489	72.01384160937442	-0.05524767638461492
6	lopo_ridge_log_alpha1_blend1	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	61.29178019328172	56.99390751701057	0.8884205441512194	0.8899296202071029	cami2_toy_mouse_gut	56.99390751701057	0.8899296202071029	20.062955823580985	0.9737545137280396	36.930951693429584	-0.0838248935209367
7	lopo_ridge_log_alpha1_blend1	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	135.26588168183596	134.5137515519144	-0.0027698116523024747	-0.005279298760519394	cami2_toy_mouse_gut	134.5137515519144	-0.005279298760519394	5.826327372590053	0.9984274174395251	128.68742417932435	-1.0037067162000446
5	lopo_ridge_log_alpha1_blend0.75	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.290785100527	15.52607841735859	0.9910821648166216	0.9914447475173512	cami2_toy_mouse_gut	15.52607841735859	0.9914447475173512	15.414228172609581	0.9917478920123489	0.11185024474900906	-0.0003031444949976869
6	lopo_ridge_log_alpha1_blend0.75	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.933868429248115	20.076150080286194	0.9729135945950925	0.9736862625261791	cami2_toy_mouse_gut	20.076150080286194	0.9736862625261791	20.062955823580985	0.9737545137280396	0.013194256705208574	-6.825120186049194e-05
7	lopo_ridge_log_alpha1_blend0.75	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.930941563883819	5.841174100906018	0.9984284362908535	0.9984288701228679	cami2_toy_mouse_gut	5.841174100906018	0.9984288701228679	5.826327372590053	0.9984274174395251	0.01484672831596523	1.4526833427286334e-06
5	lopo_ridge_log_alpha1_blend0.5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.07457097531721	15.305240690639627	0.9912813780377214	0.9916475307683688	cami2_toy_mouse_gut	15.305240690639627	0.9916475307683688	15.414228172609581	0.9917478920123489	-0.10898748196995456	-0.00010036124398016266
6	lopo_ridge_log_alpha1_blend0.5	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.92356102992353	20.067358538424664	0.9729597645777426	0.9737317704457955	cami2_toy_mouse_gut	20.067358538424664	0.9737317704457955	20.062955823580985	0.9737545137280396	0.004402714843678268	-2.2743282244053198e-05
