panel	sample	policy	profile	rows	called	candidate_rescue_added	candidate_surface_added	candidate_added	candidate_added_called	candidate_added_raw_mass	candidate_added_abundance	surface_switch_values	abundance_policy_values	guard_blocked_values	guard_blocked_rows	surface_called_species_n_max	surface_max_called_species_values
hmp_airskin_gtdb_source_abundance	5	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample5.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	26	26	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	26	250
hmp_airskin_gtdb_source_abundance	5	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample5.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	26	26	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	26	250
hmp_airskin_gtdb_source_abundance	6	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	18	18	1	1	2	2	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	17	250
hmp_airskin_gtdb_source_abundance	6	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	18	18	1	1	2	2	57.85291354620446	0.0556094907468617	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	17	250
hmp_airskin_gtdb_source_abundance	7	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	89	89	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	89	250
hmp_airskin_gtdb_source_abundance	7	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	89	89	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	89	250
hmp_airskin_gtdb_source_abundance	9	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	102	102	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	102	250
hmp_airskin_gtdb_source_abundance	9	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	102	102	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	102	250
hmp_airskin_gtdb_source_abundance	10	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	70	70	0	1	1	1	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	69	250
hmp_airskin_gtdb_source_abundance	10	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	70	70	0	1	1	1	9.60547526702533	0.0173207052492762	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	69	250
hmp_airskin_gtdb_source_abundance	11	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample11.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	32	32	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	32	250
hmp_airskin_gtdb_source_abundance	11	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample11.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	32	32	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	32	250
hmp_airskin_gtdb_source_abundance	13	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample13.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	41	41	0	1	1	1	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	40	250
hmp_airskin_gtdb_source_abundance	13	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample13.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	41	41	0	1	1	1	1.8057352654465575	0.0238702762642344	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	40	250
hmp_airskin_gtdb_source_abundance	14	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample14.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	32	32	2	0	2	2	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	32	250
hmp_airskin_gtdb_source_abundance	14	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample14.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	32	32	2	0	2	2	4.808989707376749	0.0069158381034475	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	32	250
hmp_airskin_gtdb_source_abundance	15	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample15.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	24	24	2	0	2	2	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	24	250
hmp_airskin_gtdb_source_abundance	15	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample15.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	24	24	2	0	2	2	3.7965170219935023	0.0056301222478325995	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	24	250
hmp_airskin_gtdb_source_abundance	16	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample16.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	10	10	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	10	250
hmp_airskin_gtdb_source_abundance	16	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample16.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	10	10	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	10	250
hmp_airskin_gtdb_source_abundance	17	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample17.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	73	73	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	73	250
hmp_airskin_gtdb_source_abundance	17	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample17.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	73	73	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	73	250
hmp_airskin_gtdb_source_abundance	18	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample18.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	27	27	1	0	1	1	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	27	250
