method	rule_type	feature1	op1	threshold1	feature2	op2	threshold2	sample_count	switched_samples	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	max_species_per_genus	>=	6.0	32	27	-0.722654664140172	0.2856267231103935	24	3	-0.6125612428479013	-0.0380794357240637	4	0
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	max_species_per_genus	>=	6.0	32	27	-0.722654664140172	0.2856267231103935	24	3	-0.6125612428479013	-0.0380794357240637	4	0
base_global_xny_a0.10	two_feature_and	reported_ani_median	<=	1.0	max_species_per_genus	>=	6.0	32	27	-0.722654664140172	0.2856267231103935	24	3	-0.6125612428479013	-0.0380794357240637	4	0
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	6.0	u_depth_median	<=	1.0558000000000005	32	25	-0.7217888703388096	0.031727930329179	23	2	-0.6122726449141137	-0.0380794357240637	4	0
base_global_xny_a0.10	single	u_depth_median	<=	1.0558000000000005				32	28	-0.7201487743691408	0.8259990627319382	25	3	-0.5514968479333537	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	5.0	u_depth_median	<=	1.0558000000000005	32	28	-0.7201487743691408	0.8259990627319382	25	3	-0.5514968479333537	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	n_candidate_calls	>=	0.0	u_depth_median	<=	1.0558000000000005	32	28	-0.7201487743691408	0.8259990627319382	25	3	-0.5514968479333537	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_call_frac	>=	0.0	u_depth_median	<=	1.0558000000000005	32	28	-0.7201487743691408	0.8259990627319382	25	3	-0.5514968479333537	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_raw_frac	>=	0.0	u_depth_median	<=	1.0558000000000005	32	28	-0.7201487743691408	0.8259990627319382	25	3	-0.5514968479333537	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	u_depth_median	<=	1.0558000000000005	32	28	-0.7201487743691408	0.8259990627319382	25	3	-0.5514968479333537	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	u_depth_median	<=	1.0558000000000005	32	28	-0.7201487743691408	0.8259990627319382	25	3	-0.5514968479333537	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	reported_ani_median	<=	1.0	u_depth_median	<=	1.0558000000000005	32	28	-0.7201487743691408	0.8259990627319382	25	3	-0.5514968479333537	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	5.0	u_xny_median	<=	650.0500000000001	32	27	-0.7192190108224292	0.8259990627319382	24	3	-0.5398341236583325	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	5.0	u_breadth_median	<=	0.65005	32	27	-0.7192190108224292	0.8259990627319382	24	3	-0.5398341236583325	0.20754499792517936	2	2
base_global_xny_a0.10	single	s_depth_median	<=	5.294014250000002				32	28	-0.7144233956065813	0.8259990627319382	25	3	-0.5495883883458339	0.20754499792517936	3	1
