panel	sample	profile	profile_strategy_values	candidate_rescue_switch_values	candidate_surface_switch_values	called_rows	candidate_added_rows	candidate_rescue_added_rows	candidate_surface_added_rows	nonzero_candidate_rows	candidate_added_abundance_sum	candidate_added_raw_sum	candidate_added_norm_mass_sum	base_called_raw_mass	max_candidate_raw_mass_delta
hmp_airskin_gtdb_source_abundance	16	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample16.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	10	0	0	0	0	0.0	0.0	0.0	700.4183300548	0.0
hmp_airskin_gtdb_source_abundance	17	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample17.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	73	0	0	0	0	0.0	0.0	0.0	765.7900750735467	0.0
hmp_airskin_gtdb_source_abundance	18	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample18.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	27	1	1	0	1	0.0059404995745425	4.602962983066915	0.005976	770.2414630299387	8.881784197001252e-16
hmp_airskin_gtdb_source_abundance	19	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample19.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	151	4	0	4	4	0.0104320255862693	9.08702008880001	0.010542	861.9825544299003	6.661338147750939e-16
hmp_airskin_gtdb_source_abundance	20	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample20.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	106	0	0	0	0	0.0	0.0	0.0	724.4890725705683	0.0
hmp_airskin_gtdb_source_abundance	21	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample21.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	41	0	0	0	0	0.0	0.0	0.0	391.7033044552195	0.0
hmp_airskin_gtdb_source_abundance	22	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample22.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	38	0	0	0	0	0.0	0.0	0.0	848.8703787107715	0.0
hmp_airskin_gtdb_source_abundance	23	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample23.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	36	0	0	0	0	0.0	0.0	0.0	464.9654682128142	0.0
hmp_airskin_gtdb_source_abundance	24	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample24.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	27	1	0	1	1	0.0047770700636942	3.856547770774472	0.0048	803.4474522446819	8.881784197001252e-16
hmp_airskin_gtdb_source_abundance	25	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample25.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	77	1	0	1	1	0.0023504623107957	1.527158056324436	0.002356	648.1995145689457	0.0
hmp_airskin_gtdb_source_abundance	28	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample28.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	15	0	0	0	0	0.0	0.0	0.0	36.13808924085987	0.0
hmp_gastrooral_gtdb_source_abundance	0	/tmp/minco_candidate_preset_replay_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	35	1	0	1	1	0.0594661906311546	33.37172162017547	0.063226	527.8164302688051	0.0
hmp_gastrooral_gtdb_source_abundance	6	/tmp/minco_candidate_preset_replay_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.candidate_preset.tsv	universal-auto-exact	emitted-ani90-xny100-br01-af70	accession-ani90-xny100-br01-af70	52	1	0	1	1	0.0071130421659233	0.5867456442384007	0.007164	81.90196039061986	0.0
